Equipo_Local;Equipo_Visitante;Temporada;Goles_Local;Goles_Visitante;Puntos_Locales;Puntos_Visitantes;Resultado
Elche;Granada;2020/2021;0;1;0;3;2
Barcelona;Levante;2020/2021;1;0;3;0;1
Celta;Cádiz;2020/2021;4;0;3;0;1
Athletic;Huesca;2020/2021;2;0;3;0;1
Atlético;Elche;2020/2021;3;1;3;0;1
Barcelona;Valencia;2020/2021;2;2;1;1;x
Levante;R. Sociedad;2020/2021;2;1;3;0;1
Osasuna;Villarreal;2020/2021;1;3;0;3;2
Sevilla;Real Valladolid;2020/2021;1;1;1;1;x
Celta;Alavés;2020/2021;2;0;3;0;1
Granada;Betis;2020/2021;2;0;3;0;1
Cádiz;Getafe;2020/2021;0;2;0;3;2
Eibar;Real Madrid;2020/2021;1;3;0;3;2
Elche;Osasuna;2020/2021;2;2;1;1;x
Valencia;Sevilla;2020/2021;0;1;0;3;2
Huesca;Levante;2020/2021;1;1;1;1;x
R. Sociedad;Atlético;2020/2021;0;2;0;3;2
Villarreal;Athletic;2020/2021;1;1;1;1;x
Real Valladolid;Barcelona;2020/2021;0;3;0;3;2
Getafe;Celta;2020/2021;1;1;1;1;x
Real Madrid;Granada;2020/2021;2;0;3;0;1
Alavés;Eibar;2020/2021;2;1;3;0;1
Betis;Cádiz;2020/2021;1;0;3;0;1
Sevilla;Villarreal;2020/2021;2;0;3;0;1
Barcelona;Eibar;2020/2021;1;1;1;1;x
Levante;Betis;2020/2021;4;3;3;0;1
Cádiz;Real Valladolid;2020/2021;0;0;1;1;x
Granada;Valencia;2020/2021;2;1;3;0;1
Atlético;Getafe;2020/2021;1;0;3;0;1
Celta;Huesca;2020/2021;2;1;3;0;1
Elche;Real Madrid;2020/2021;1;1;1;1;x
Athletic;R. Sociedad;2020/2021;0;1;0;3;2
Osasuna;Alavés;2020/2021;1;1;1;1;x
Villarreal;Levante;2020/2021;2;1;3;0;1
Betis;Sevilla;2020/2021;1;1;1;1;x
Getafe;Real Valladolid;2020/2021;0;1;0;3;2
Real Madrid;Celta;2020/2021;2;0;3;0;1
Athletic;Elche;2020/2021;1;0;3;0;1
Alavés;Atlético;2020/2021;1;2;0;3;2
Eibar;Granada;2020/2021;2;0;3;0;1
R. Sociedad;Osasuna;2020/2021;1;1;1;1;x
Huesca;Barcelona;2020/2021;0;1;0;3;2
Valencia;Cádiz;2020/2021;1;1;1;1;x
Celta;Villarreal;2020/2021;0;4;0;3;2
Sevilla;R. Sociedad;2020/2021;3;2;3;0;1
Granada;Barcelona;2020/2021;0;4;0;3;2
Osasuna;Real Madrid;2020/2021;0;0;1;1;x
Levante;Eibar;2020/2021;2;1;3;0;1
Cádiz;Alavés;2020/2021;3;1;3;0;1
Real Valladolid;Valencia;2020/2021;0;1;0;3;2
Elche;Getafe;2020/2021;1;3;0;3;2
Huesca;Betis;2020/2021;0;2;0;3;2
Atlético;Athletic;2020/2021;2;1;3;0;1
Real Madrid;Athletic;2020/2021;3;1;3;0;1
Barcelona;R. Sociedad;2020/2021;2;1;3;0;1
Real Valladolid;Elche;2020/2021;2;2;1;1;x
Cádiz;Levante;2020/2021;2;2;1;1;x
Alavés;Sevilla;2020/2021;1;2;0;3;2
Getafe;Huesca;2020/2021;1;0;3;0;1
Betis;Celta;2020/2021;2;1;3;0;1
Villarreal;Granada;2020/2021;2;2;1;1;x
Valencia;Osasuna;2020/2021;1;1;1;1;x
Eibar;Atlético;2020/2021;1;2;0;3;2
Levante;Real Valladolid;2020/2021;2;2;1;1;x
Huesca;Villarreal;2020/2021;0;0;1;1;x
Sevilla;Cádiz;2020/2021;3;0;3;0;1
R. Sociedad;Betis;2020/2021;2;2;1;1;x
Alavés;Real Madrid;2020/2021;1;4;0;3;2
Osasuna;Granada;2020/2021;3;1;3;0;1
Elche;Barcelona;2020/2021;0;2;0;3;2
Celta;Eibar;2020/2021;1;1;1;1;x
Atlético;Valencia;2020/2021;3;1;3;0;1
Athletic;Getafe;2020/2021;5;1;3;0;1
Real Valladolid;Huesca;2020/2021;1;3;0;3;2
Eibar;Sevilla;2020/2021;0;2;0;3;2
Real Madrid;Levante;2020/2021;1;2;0;3;2
Valencia;Elche;2020/2021;1;0;3;0;1
Villarreal;R. Sociedad;2020/2021;1;1;1;1;x
Getafe;Alavés;2020/2021;0;0;1;1;x
Cádiz;Atlético;2020/2021;2;4;0;3;2
Granada;Celta;2020/2021;0;0;1;1;x
Barcelona;Athletic;2020/2021;2;1;3;0;1
Betis;Osasuna;2020/2021;1;0;3;0;1
Alavés;Real Valladolid;2020/2021;1;0;3;0;1
Levante;Granada;2020/2021;2;2;1;1;x
Huesca;Real Madrid;2020/2021;1;2;0;3;2
Elche;Villarreal;2020/2021;2;2;1;1;x
Sevilla;Getafe;2020/2021;3;0;3;0;1
R. Sociedad;Cádiz;2020/2021;4;1;3;0;1
Athletic;Valencia;2020/2021;1;1;1;1;x
Osasuna;Eibar;2020/2021;2;1;3;0;1
Betis;Barcelona;2020/2021;2;3;0;3;2
Atlético;Celta;2020/2021;2;2;1;1;x
Celta;Elche;2020/2021;3;1;3;0;1
Granada;Atlético;2020/2021;1;2;0;3;2
Sevilla;Huesca;2020/2021;1;0;3;0;1
Eibar;Real Valladolid;2020/2021;1;1;1;1;x
Barcelona;Alavés;2020/2021;5;1;3;0;1
Getafe;R. Sociedad;2020/2021;0;1;0;3;2
Real Madrid;Valencia;2020/2021;2;0;3;0;1
Levante;Osasuna;2020/2021;0;1;0;3;2
Villarreal;Betis;2020/2021;1;2;0;3;2
Cádiz;Athletic;2020/2021;0;4;0;3;2
Betis;Getafe;2020/2021;1;0;3;0;1
Elche;Eibar;2020/2021;1;0;3;0;1
Atlético;Levante;2020/2021;0;2;0;3;2
Valencia;Celta;2020/2021;2;0;3;0;1
Real Valladolid;Real Madrid;2020/2021;0;1;0;3;2
Barcelona;Cádiz;2020/2021;1;1;1;1;x
R. Sociedad;Alavés;2020/2021;4;0;3;0;1
Huesca;Granada;2020/2021;3;2;3;0;1
Athletic;Villarreal;2020/2021;1;1;1;1;x
Osasuna;Sevilla;2020/2021;0;2;0;3;2
Levante;Athletic;2020/2021;1;1;1;1;x
Eibar;Huesca;2020/2021;1;1;1;1;x
Sevilla;Barcelona;2020/2021;0;2;0;3;2
Alavés;Osasuna;2020/2021;0;1;0;3;2
Getafe;Valencia;2020/2021;3;0;3;0;1
Celta;Real Valladolid;2020/2021;1;1;1;1;x
Cádiz;Betis;2020/2021;0;1;0;3;2
Granada;Elche;2020/2021;2;1;3;0;1
Villarreal;Atlético;2020/2021;0;2;0;3;2
Real Madrid;R. Sociedad;2020/2021;1;1;1;1;x
Valencia;Villarreal;2020/2021;2;1;3;0;1
Real Valladolid;Getafe;2020/2021;2;1;3;0;1
Elche;Sevilla;2020/2021;2;1;3;0;1
Cádiz;Eibar;2020/2021;1;0;3;0;1
Osasuna;Barcelona;2020/2021;0;2;0;3;2
Huesca;Celta;2020/2021;3;4;0;3;2
Atlético;Real Madrid;2020/2021;1;1;1;1;x
R. Sociedad;Levante;2020/2021;1;0;3;0;1
Athletic;Granada;2020/2021;2;1;3;0;1
Betis;Alavés;2020/2021;3;2;3;0;1
Levante;Valencia;2020/2021;1;0;3;0;1
Alavés;Cádiz;2020/2021;1;1;1;1;x
Real Madrid;Elche;2020/2021;2;1;3;0;1
Osasuna;Real Valladolid;2020/2021;0;0;1;1;x
Getafe;Atlético;2020/2021;0;0;1;1;x
Celta;Athletic;2020/2021;0;0;1;1;x
Granada;R. Sociedad;2020/2021;1;0;3;0;1
Eibar;Villarreal;2020/2021;1;3;0;3;2
Sevilla;Betis;2020/2021;1;0;3;0;1
Barcelona;Huesca;2020/2021;4;1;3;0;1
Betis;Levante;2020/2021;2;0;3;0;1
Athletic;Eibar;2020/2021;1;1;1;1;x
Celta;Real Madrid;2020/2021;1;3;0;3;2
Huesca;Osasuna;2020/2021;0;0;1;1;x
Real Valladolid;Sevilla;2020/2021;1;1;1;1;x
Getafe;Elche;2020/2021;1;1;1;1;x
Valencia;Granada;2020/2021;2;1;3;0;1
Villarreal;Cádiz;2020/2021;2;1;3;0;1
Atlético;Alavés;2020/2021;1;0;3;0;1
R. Sociedad;Barcelona;2020/2021;1;6;0;3;2
Levante;Huesca;2020/2021;0;2;0;3;2
Granada;Villarreal;2020/2021;0;3;0;3;2
Real Madrid;Eibar;2020/2021;2;0;3;0;1
Osasuna;Getafe;2020/2021;0;0;1;1;x
Alavés;Celta;2020/2021;1;3;0;3;2
Elche;Betis;2020/2021;1;1;1;1;x
Cádiz;Valencia;2020/2021;2;1;3;0;1
Sevilla;Atlético;2020/2021;1;0;3;0;1
Barcelona;Real Valladolid;2020/2021;1;0;3;0;1
R. Sociedad;Athletic;2020/2021;1;1;1;1;x
Huesca;Elche;2020/2021;3;1;3;0;1
Getafe;Cádiz;2020/2021;0;1;0;3;2
Athletic;Alavés;2020/2021;0;0;1;1;x
Eibar;Levante;2020/2021;0;1;0;3;2
Real Madrid;Barcelona;2020/2021;2;1;3;0;1
Villarreal;Osasuna;2020/2021;1;2;0;3;2
Valencia;R. Sociedad;2020/2021;2;2;1;1;x
Real Valladolid;Granada;2020/2021;1;2;0;3;2
Betis;Atlético;2020/2021;1;1;1;1;x
Celta;Sevilla;2020/2021;3;4;0;3;2
Levante;Sevilla;2020/2021;0;1;0;3;2
Osasuna;Valencia;2020/2021;3;1;3;0;1
Betis;Athletic;2020/2021;0;0;1;1;x
Alavés;Villarreal;2020/2021;2;1;3;0;1
Elche;Real Valladolid;2020/2021;1;1;1;1;x
Cádiz;Real Madrid;2020/2021;0;3;0;3;2
Atlético;Huesca;2020/2021;2;0;3;0;1
R. Sociedad;Celta;2020/2021;2;1;3;0;1
Granada;Eibar;2020/2021;4;1;3;0;1
Barcelona;Getafe;2020/2021;5;2;3;0;1
Elche;Levante;2020/2021;1;0;3;0;1
Real Valladolid;Cádiz;2020/2021;1;1;1;1;x
Valencia;Alavés;2020/2021;1;1;1;1;x
Real Madrid;Betis;2020/2021;0;0;1;1;x
Huesca;Getafe;2020/2021;0;2;0;3;2
Villarreal;Barcelona;2020/2021;1;2;0;3;2
Sevilla;Granada;2020/2021;2;1;3;0;1
Celta;Osasuna;2020/2021;2;1;3;0;1
Athletic;Atlético;2020/2021;2;1;3;0;1
Eibar;R. Sociedad;2020/2021;0;1;0;3;2
Osasuna;Elche;2020/2021;2;0;3;0;1
R. Sociedad;Sevilla;2020/2021;1;2;0;3;2
Atlético;Eibar;2020/2021;5;0;3;0;1
Alavés;Huesca;2020/2021;1;0;3;0;1
Cádiz;Celta;2020/2021;0;0;1;1;x
Betis;Valencia;2020/2021;2;2;1;1;x
Getafe;Real Madrid;2020/2021;0;0;1;1;x
Levante;Villarreal;2020/2021;1;5;0;3;2
Athletic;Real Valladolid;2020/2021;2;2;1;1;x
Barcelona;Granada;2020/2021;1;2;0;3;2
Celta;Levante;2020/2021;2;0;3;0;1
Eibar;Alavés;2020/2021;3;0;3;0;1
Elche;Atlético;2020/2021;0;1;0;3;2
Huesca;R. Sociedad;2020/2021;1;0;3;0;1
Real Madrid;Osasuna;2020/2021;2;0;3;0;1
Real Valladolid;Betis;2020/2021;1;1;1;1;x
Villarreal;Getafe;2020/2021;1;0;3;0;1
Granada;Cádiz;2020/2021;0;1;0;3;2
Valencia;Barcelona;2020/2021;2;3;0;3;2
Sevilla;Athletic;2020/2021;0;1;0;3;2
R. Sociedad;Elche;2020/2021;2;0;3;0;1
Alavés;Levante;2020/2021;2;2;1;1;x
Barcelona;Atlético;2020/2021;0;0;1;1;x
Cádiz;Huesca;2020/2021;2;1;3;0;1
Athletic;Osasuna;2020/2021;2;2;1;1;x
Getafe;Eibar;2020/2021;0;1;0;3;2
Valencia;Real Valladolid;2020/2021;3;0;3;0;1
Villarreal;Celta;2020/2021;2;4;0;3;2
Real Madrid;Sevilla;2020/2021;2;2;1;1;x
Betis;Granada;2020/2021;2;1;3;0;1
Osasuna;Cádiz;2020/2021;3;2;3;0;1
Elche;Alavés;2020/2021;0;2;0;3;2
Levante;Barcelona;2020/2021;3;2;3;0;1
Sevilla;Valencia;2020/2021;1;0;3;0;1
Huesca;Athletic;2020/2021;1;0;3;0;1
Celta;Getafe;2020/2021;1;0;3;0;1
Atlético;R. Sociedad;2020/2021;2;1;3;0;1
Real Valladolid;Villarreal;2020/2021;0;2;0;3;2
Eibar;Betis;2020/2021;1;1;1;1;x
Granada;Real Madrid;2020/2021;1;4;0;3;2
Barcelona;Celta;2020/2021;1;2;0;3;2
Atlético;Osasuna;2020/2021;2;1;3;0;1
Athletic;Real Madrid;2020/2021;0;1;0;3;2
Valencia;Eibar;2020/2021;4;1;3;0;1
Alavés;Granada;2020/2021;4;2;3;0;1
R. Sociedad;Real Valladolid;2020/2021;4;1;3;0;1
Betis;Huesca;2020/2021;1;0;3;0;1
Cádiz;Elche;2020/2021;1;3;0;3;2
Villarreal;Sevilla;2020/2021;4;0;3;0;1
Getafe;Levante;2020/2021;2;1;3;0;1
Levante;Cádiz;2020/2021;2;2;1;1;x
Celta;Betis;2020/2021;2;3;0;3;2
Eibar;Barcelona;2020/2021;0;1;0;3;2
Elche;Athletic;2020/2021;2;0;3;0;1
Real Valladolid;Atlético;2020/2021;1;2;0;3;2
Huesca;Valencia;2020/2021;0;0;1;1;x
Real Madrid;Villarreal;2020/2021;2;1;3;0;1
Osasuna;R. Sociedad;2020/2021;0;1;0;3;2
Granada;Getafe;2020/2021;0;0;1;1;x
Sevilla;Alavés;2020/2021;1;0;3;0;1
Valencia;Getafe;2021/2022;1;0;3;0;1
Cádiz;Levante;2021/2022;1;1;1;1;x
Mallorca;Betis;2021/2022;1;1;1;1;x
Alavés;Real Madrid;2021/2022;1;4;0;3;2
Osasuna;Espanyol;2021/2022;0;0;1;1;x
Celta;Atlético;2021/2022;1;2;0;3;2
Barcelona;R. Sociedad;2021/2022;4;2;3;0;1
Sevilla;Rayo;2021/2022;3;0;3;0;1
Villarreal;Granada;2021/2022;0;0;1;1;x
Elche;Athletic;2021/2022;0;0;1;1;x
Betis;Cádiz;2021/2022;1;1;1;1;x
Alavés;Mallorca;2021/2022;0;1;0;3;2
Espanyol;Villarreal;2021/2022;0;0;1;1;x
Granada;Valencia;2021/2022;1;1;1;1;x
Athletic;Barcelona;2021/2022;1;1;1;1;x
R. Sociedad;Rayo;2021/2022;1;0;3;0;1
Atlético;Elche;2021/2022;1;0;3;0;1
Levante;Real Madrid;2021/2022;3;2;3;0;1
Getafe;Sevilla;2021/2022;0;1;0;3;2
Osasuna;Celta;2021/2022;0;0;1;1;x
Mallorca;Espanyol;2021/2022;1;0;3;0;1
Valencia;Alavés;2021/2022;3;0;3;0;1
Celta;Athletic;2021/2022;0;1;0;3;2
Elche;Sevilla;2021/2022;1;1;1;1;x
R. Sociedad;Levante;2021/2022;1;0;3;0;1
Betis;Real Madrid;2021/2022;0;1;0;3;2
Barcelona;Getafe;2021/2022;2;1;3;0;1
Cádiz;Osasuna;2021/2022;2;3;0;3;2
Rayo;Granada;2021/2022;4;0;3;0;1
Atlético;Villarreal;2021/2022;2;2;1;1;x
Levante;Rayo;2021/2022;1;1;1;1;x
Athletic;Mallorca;2021/2022;2;0;3;0;1
Espanyol;Atlético;2021/2022;1;2;0;3;2
Osasuna;Valencia;2021/2022;1;4;0;3;2
Cádiz;R. Sociedad;2021/2022;0;2;0;3;2
Real Madrid;Celta;2021/2022;5;2;3;0;1
Getafe;Elche;2021/2022;0;1;0;3;2
Granada;Betis;2021/2022;1;2;0;3;2
Villarreal;Alavés;2021/2022;5;2;3;0;1
Sevilla;Barcelona;2021/2022;1;1;1;1;x
Celta;Cádiz;2021/2022;1;2;0;3;2
Rayo;Getafe;2021/2022;3;0;3;0;1
Atlético;Athletic;2021/2022;0;0;1;1;x
Elche;Levante;2021/2022;1;1;1;1;x
Alavés;Osasuna;2021/2022;0;2;0;3;2
Mallorca;Villarreal;2021/2022;0;0;1;1;x
R. Sociedad;Sevilla;2021/2022;0;0;1;1;x
Betis;Espanyol;2021/2022;2;2;1;1;x
Valencia;Real Madrid;2021/2022;1;2;0;3;2
Barcelona;Granada;2021/2022;1;1;1;1;x
Getafe;Atlético;2021/2022;1;2;0;3;2
Athletic;Rayo;2021/2022;1;2;0;3;2
Levante;Celta;2021/2022;0;2;0;3;2
Espanyol;Alavés;2021/2022;1;0;3;0;1
Sevilla;Valencia;2021/2022;3;1;3;0;1
Real Madrid;Mallorca;2021/2022;6;1;3;0;1
Villarreal;Elche;2021/2022;4;1;3;0;1
Granada;R. Sociedad;2021/2022;2;3;0;3;2
Osasuna;Betis;2021/2022;1;3;0;3;2
Cádiz;Barcelona;2021/2022;0;0;1;1;x
Alavés;Atlético;2021/2022;1;0;3;0;1
Valencia;Athletic;2021/2022;1;1;1;1;x
Sevilla;Espanyol;2021/2022;2;0;3;0;1
Real Madrid;Villarreal;2021/2022;0;0;1;1;x
Mallorca;Osasuna;2021/2022;2;3;0;3;2
Barcelona;Levante;2021/2022;3;0;3;0;1
Rayo;Cádiz;2021/2022;3;1;3;0;1
R. Sociedad;Elche;2021/2022;1;0;3;0;1
Betis;Getafe;2021/2022;2;0;3;0;1
Celta;Granada;2021/2022;1;0;3;0;1
Athletic;Alavés;2021/2022;1;0;3;0;1
Osasuna;Rayo;2021/2022;1;0;3;0;1
Mallorca;Levante;2021/2022;1;0;3;0;1
Cádiz;Valencia;2021/2022;0;0;1;1;x
Atlético;Barcelona;2021/2022;2;0;3;0;1
Elche;Celta;2021/2022;1;0;3;0;1
Espanyol;Real Madrid;2021/2022;2;1;3;0;1
Getafe;R. Sociedad;2021/2022;1;1;1;1;x
Villarreal;Betis;2021/2022;2;0;3;0;1
Granada;Sevilla;2021/2022;1;0;3;0;1
Levante;Getafe;2021/2022;0;0;1;1;x
R. Sociedad;Mallorca;2021/2022;1;0;3;0;1
Rayo;Elche;2021/2022;2;1;3;0;1
Celta;Sevilla;2021/2022;0;1;0;3;2
Villarreal;Osasuna;2021/2022;1;2;0;3;2
Barcelona;Valencia;2021/2022;3;1;3;0;1
Alavés;Betis;2021/2022;0;1;0;3;2
Espanyol;Cádiz;2021/2022;2;0;3;0;1
Real Madrid;Athletic;2021/2022;1;0;3;0;1
Granada;Atlético;2021/2022;2;1;3;0;1
Osasuna;Granada;2021/2022;1;1;1;1;x
Valencia;Mallorca;2021/2022;2;2;1;1;x
Cádiz;Alavés;2021/2022;0;2;0;3;2
Elche;Espanyol;2021/2022;2;2;1;1;x
Athletic;Villarreal;2021/2022;2;1;3;0;1
Sevilla;Levante;2021/2022;5;3;3;0;1
Barcelona;Real Madrid;2021/2022;1;2;0;3;2
Betis;Rayo;2021/2022;3;2;3;0;1
Atlético;R. Sociedad;2021/2022;2;2;1;1;x
Getafe;Celta;2021/2022;0;3;0;3;2
Alavés;Elche;2021/2022;1;0;3;0;1
Espanyol;Athletic;2021/2022;1;1;1;1;x
Villarreal;Cádiz;2021/2022;3;2;3;0;1
Mallorca;Sevilla;2021/2022;1;1;1;1;x
Rayo;Barcelona;2021/2022;1;0;3;0;1
Betis;Valencia;2021/2022;4;1;3;0;1
Real Madrid;Osasuna;2021/2022;0;0;1;1;x
Celta;R. Sociedad;2021/2022;0;2;0;3;2
Granada;Getafe;2021/2022;1;1;1;1;x
Levante;Atlético;2021/2022;2;2;1;1;x
Elche;Real Madrid;2021/2022;1;2;0;3;2
Sevilla;Osasuna;2021/2022;2;0;3;0;1
Valencia;Villarreal;2021/2022;2;0;3;0;1
Barcelona;Alavés;2021/2022;1;1;1;1;x
Cádiz;Mallorca;2021/2022;1;1;1;1;x
Atlético;Betis;2021/2022;3;0;3;0;1
Getafe;Espanyol;2021/2022;2;1;3;0;1
R. Sociedad;Athletic;2021/2022;1;1;1;1;x
Rayo;Celta;2021/2022;0;0;1;1;x
Levante;Granada;2021/2022;0;3;0;3;2
Athletic;Cádiz;2021/2022;0;1;0;3;2
Espanyol;Granada;2021/2022;2;0;3;0;1
Celta;Barcelona;2021/2022;3;2;3;0;1
Alavés;Levante;2021/2022;2;1;3;0;1
Real Madrid;Rayo;2021/2022;2;1;3;0;1
Villarreal;Getafe;2021/2022;1;0;3;0;1
Valencia;Atlético;2021/2022;3;2;3;0;1
Mallorca;Elche;2021/2022;2;2;1;1;x
Osasuna;R. Sociedad;2021/2022;0;2;0;3;2
Betis;Sevilla;2021/2022;0;2;0;3;2
Levante;Athletic;2021/2022;0;0;1;1;x
Celta;Villarreal;2021/2022;1;1;1;1;x
Sevilla;Alavés;2021/2022;2;2;1;1;x
Atlético;Osasuna;2021/2022;1;0;3;0;1
Barcelona;Espanyol;2021/2022;1;0;3;0;1
Getafe;Cádiz;2021/2022;4;0;3;0;1
Granada;Real Madrid;2021/2022;1;4;0;3;2
Elche;Betis;2021/2022;0;3;0;3;2
R. Sociedad;Valencia;2021/2022;0;0;1;1;x
Rayo;Mallorca;2021/2022;3;1;3;0;1
Athletic;Granada;2021/2022;2;2;1;1;x
Alavés;Celta;2021/2022;1;2;0;3;2
Valencia;Rayo;2021/2022;1;1;1;1;x
Mallorca;Getafe;2021/2022;0;0;1;1;x
Villarreal;Barcelona;2021/2022;1;3;0;3;2
Betis;Levante;2021/2022;3;1;3;0;1
Espanyol;R. Sociedad;2021/2022;1;0;3;0;1
Cádiz;Atlético;2021/2022;1;4;0;3;2
Real Madrid;Sevilla;2021/2022;2;1;3;0;1
Osasuna;Elche;2021/2022;1;1;1;1;x
Granada;Alavés;2021/2022;2;1;3;0;1
Sevilla;Villarreal;2021/2022;1;0;3;0;1
Barcelona;Betis;2021/2022;0;1;0;3;2
Atlético;Mallorca;2021/2022;1;2;0;3;2
R. Sociedad;Real Madrid;2021/2022;0;2;0;3;2
Rayo;Espanyol;2021/2022;1;0;3;0;1
Elche;Cádiz;2021/2022;3;1;3;0;1
Levante;Osasuna;2021/2022;0;0;1;1;x
Celta;Valencia;2021/2022;1;2;0;3;2
Getafe;Athletic;2021/2022;0;0;1;1;x
Mallorca;Celta;2021/2022;0;0;1;1;x
Espanyol;Levante;2021/2022;4;3;3;0;1
Alavés;Getafe;2021/2022;1;1;1;1;x
Valencia;Elche;2021/2022;2;1;3;0;1
Athletic;Sevilla;2021/2022;0;1;0;3;2
Villarreal;Rayo;2021/2022;2;0;3;0;1
Osasuna;Barcelona;2021/2022;2;2;1;1;x
Betis;R. Sociedad;2021/2022;4;0;3;0;1
Real Madrid;Atlético;2021/2022;2;0;3;0;1
Cádiz;Granada;2021/2022;1;1;1;1;x
Celta;Espanyol;2021/2022;3;1;3;0;1
Rayo;Alavés;2021/2022;2;0;3;0;1
R. Sociedad;Villarreal;2021/2022;1;3;0;3;2
Barcelona;Elche;2021/2022;3;2;3;0;1
Sevilla;Atlético;2021/2022;2;1;3;0;1
Granada;Mallorca;2021/2022;4;1;3;0;1
Athletic;Betis;2021/2022;3;2;3;0;1
Getafe;Osasuna;2021/2022;1;0;3;0;1
Real Madrid;Cádiz;2021/2022;0;0;1;1;x
Levante;Valencia;2021/2022;3;4;0;3;2
Valencia;Espanyol;2021/2022;1;2;0;3;2
Getafe;Real Madrid;2021/2022;1;0;3;0;1
Atlético;Rayo;2021/2022;2;0;3;0;1
Elche;Granada;2021/2022;0;0;1;1;x
Alavés;R. Sociedad;2021/2022;1;1;1;1;x
Betis;Celta;2021/2022;0;2;0;3;2
Mallorca;Barcelona;2021/2022;0;1;0;3;2
Villarreal;Levante;2021/2022;5;0;3;0;1
Osasuna;Athletic;2021/2022;1;3;0;3;2
Cádiz;Sevilla;2021/2022;0;1;0;3;2
Levante;Mallorca;2021/2022;2;0;3;0;1
R. Sociedad;Celta;2021/2022;1;0;3;0;1
Granada;Barcelona;2021/2022;1;1;1;1;x
Real Madrid;Valencia;2021/2022;4;1;3;0;1
Rayo;Betis;2021/2022;1;1;1;1;x
Sevilla;Getafe;2021/2022;1;0;3;0;1
Alavés;Athletic;2021/2022;0;0;1;1;x
Osasuna;Cádiz;2021/2022;2;0;3;0;1
Villarreal;Atlético;2021/2022;2;2;1;1;x
Espanyol;Elche;2021/2022;1;2;0;3;2
Athletic;Real Madrid;2021/2022;1;2;0;3;2
Elche;Villarreal;2021/2022;1;0;3;0;1
Betis;Alavés;2021/2022;4;0;3;0;1
Cádiz;Espanyol;2021/2022;2;2;1;1;x
Celta;Osasuna;2021/2022;2;0;3;0;1
Valencia;Sevilla;2021/2022;1;1;1;1;x
Getafe;Granada;2021/2022;4;2;3;0;1
Atlético;Levante;2021/2022;0;1;0;3;2
Mallorca;R. Sociedad;2021/2022;0;2;0;3;2
Barcelona;Rayo;2021/2022;0;1;0;3;2
Espanyol;Betis;2021/2022;1;4;0;3;2
Levante;Cádiz;2021/2022;0;2;0;3;2
Villarreal;Mallorca;2021/2022;3;0;3;0;1
Sevilla;Celta;2021/2022;2;2;1;1;x
Atlético;Valencia;2021/2022;3;2;3;0;1
Granada;Osasuna;2021/2022;0;2;0;3;2
Real Madrid;Elche;2021/2022;2;2;1;1;x
Rayo;Athletic;2021/2022;0;1;0;3;2
R. Sociedad;Getafe;2021/2022;0;0;1;1;x
Alavés;Barcelona;2021/2022;0;1;0;3;2
Getafe;Levante;2021/2022;3;0;3;0;1
Elche;Alavés;2021/2022;3;1;3;0;1
Mallorca;Cádiz;2021/2022;2;1;3;0;1
Celta;Rayo;2021/2022;2;0;3;0;1
Osasuna;Sevilla;2021/2022;0;0;1;1;x
Valencia;R. Sociedad;2021/2022;0;0;1;1;x
Barcelona;Atlético;2021/2022;4;2;3;0;1
Betis;Villarreal;2021/2022;0;2;0;3;2
Real Madrid;Granada;2021/2022;1;0;3;0;1
Athletic;Espanyol;2021/2022;2;1;3;0;1
Sevilla;Elche;2021/2022;2;0;3;0;1
Cádiz;Celta;2021/2022;0;0;1;1;x
Villarreal;Real Madrid;2021/2022;0;0;1;1;x
Rayo;Osasuna;2021/2022;0;3;0;3;2
Atlético;Getafe;2021/2022;4;3;3;0;1
Alavés;Valencia;2021/2022;2;1;3;0;1
Levante;Betis;2021/2022;2;4;0;3;2
R. Sociedad;Granada;2021/2022;2;0;3;0;1
Espanyol;Barcelona;2021/2022;2;2;1;1;x
Mallorca;Athletic;2021/2022;3;2;3;0;1
Elche;Rayo;2021/2022;2;1;3;0;1
Granada;Villarreal;2021/2022;1;4;0;3;2
Osasuna;Atlético;2021/2022;0;3;0;3;2
Cádiz;Getafe;2021/2022;1;1;1;1;x
Real Madrid;Alavés;2021/2022;3;0;3;0;1
Espanyol;Sevilla;2021/2022;1;1;1;1;x
Valencia;Barcelona;2021/2022;1;4;0;3;2
Betis;Mallorca;2021/2022;2;1;3;0;1
Athletic;R. Sociedad;2021/2022;4;0;3;0;1
Celta;Levante;2021/2022;1;1;1;1;x
Levante;Elche;2021/2022;3;0;3;0;1
Mallorca;Valencia;2021/2022;0;1;0;3;2
Getafe;Alavés;2021/2022;2;2;1;1;x
Rayo;Real Madrid;2021/2022;0;1;0;3;2
Atlético;Celta;2021/2022;2;0;3;0;1
Villarreal;Espanyol;2021/2022;5;1;3;0;1
Sevilla;Betis;2021/2022;2;1;3;0;1
R. Sociedad;Osasuna;2021/2022;1;0;3;0;1
Barcelona;Athletic;2021/2022;4;0;3;0;1
Granada;Cádiz;2021/2022;0;0;1;1;x
Alavés;Sevilla;2021/2022;0;0;1;1;x
Osasuna;Villarreal;2021/2022;1;0;3;0;1
Espanyol;Getafe;2021/2022;2;0;3;0;1
Valencia;Granada;2021/2022;3;1;3;0;1
Real Madrid;R. Sociedad;2021/2022;4;1;3;0;1
Cádiz;Rayo;2021/2022;2;0;3;0;1
Elche;Barcelona;2021/2022;1;2;0;3;2
Celta;Mallorca;2021/2022;4;3;3;0;1
