Equipo_Local;Equipo_Visitante;Temporada;Goles_Local;Goles_Visitante;Puntos_Locales;Puntos_Visitantes;Resultado
Osasuna;Alavés;2019/2020;4;2;3;0;1
Leganés;Eibar;2019/2020;1;2;0;3;2
Celta;Getafe;2019/2020;0;1;0;3;2
Granada;R. Sociedad;2019/2020;1;2;0;3;2
R. Sociedad;Leganés;2019/2020;1;1;1;1;x
Alavés;Real Valladolid;2019/2020;3;0;3;0;1
Valencia;Granada;2019/2020;2;0;3;0;1
Eibar;Real Madrid;2019/2020;0;4;0;3;2
Barcelona;Celta;2019/2020;4;1;3;0;1
Mallorca;Villarreal;2019/2020;3;1;3;0;1
Athletic;Levante;2019/2020;2;1;3;0;1
Atlético;Espanyol;2019/2020;3;1;3;0;1
Getafe;Osasuna;2019/2020;0;0;1;1;x
Betis;Sevilla;2019/2020;1;2;0;3;2
Levante;Mallorca;2019/2020;2;1;3;0;1
Leganés;Barcelona;2019/2020;1;2;0;3;2
Betis;Valencia;2019/2020;2;1;3;0;1
Granada;Atlético;2019/2020;1;1;1;1;x
Real Madrid;R. Sociedad;2019/2020;3;1;3;0;1
Espanyol;Getafe;2019/2020;1;1;1;1;x
Osasuna;Athletic;2019/2020;1;2;0;3;2
Eibar;Alavés;2019/2020;0;2;0;3;2
Villarreal;Celta;2019/2020;1;3;0;3;2
Real Valladolid;Sevilla;2019/2020;0;1;0;3;2
Celta;Real Valladolid;2019/2020;0;0;1;1;x
Alavés;Real Madrid;2019/2020;1;2;0;3;2
R. Sociedad;Eibar;2019/2020;4;1;3;0;1
Mallorca;Betis;2019/2020;1;2;0;3;2
Valencia;Villarreal;2019/2020;2;1;3;0;1
Sevilla;Leganés;2019/2020;1;0;3;0;1
Athletic;Granada;2019/2020;2;0;3;0;1
Espanyol;Osasuna;2019/2020;2;4;0;3;2
Getafe;Levante;2019/2020;4;0;3;0;1
Atlético;Barcelona;2019/2020;0;1;0;3;2
Villarreal;Atlético;2019/2020;0;0;1;1;x
Real Madrid;Espanyol;2019/2020;2;0;3;0;1
Granada;Alavés;2019/2020;3;0;3;0;1
Levante;Valencia;2019/2020;2;4;0;3;2
Barcelona;Mallorca;2019/2020;5;2;3;0;1
Eibar;Getafe;2019/2020;0;1;0;3;2
Betis;Athletic;2019/2020;3;2;3;0;1
Real Valladolid;R. Sociedad;2019/2020;0;0;1;1;x
Leganés;Celta;2019/2020;3;2;3;0;1
Osasuna;Sevilla;2019/2020;1;1;1;1;x
Alavés;Leganés;2019/2020;1;1;1;1;x
Granada;Levante;2019/2020;1;2;0;3;2
R. Sociedad;Barcelona;2019/2020;2;2;1;1;x
Athletic;Eibar;2019/2020;0;0;1;1;x
Atlético;Osasuna;2019/2020;2;0;3;0;1
Getafe;Real Valladolid;2019/2020;2;0;3;0;1
Celta;Mallorca;2019/2020;2;2;1;1;x
Espanyol;Betis;2019/2020;2;2;1;1;x
Sevilla;Villarreal;2019/2020;1;2;0;3;2
Valencia;Real Madrid;2019/2020;1;1;1;1;x
Eibar;Granada;2019/2020;3;0;3;0;1
Mallorca;Sevilla;2019/2020;0;2;0;3;2
Barcelona;Alavés;2019/2020;4;1;3;0;1
Villarreal;Getafe;2019/2020;1;0;3;0;1
Real Valladolid;Valencia;2019/2020;1;1;1;1;x
Leganés;Espanyol;2019/2020;2;0;3;0;1
Osasuna;R. Sociedad;2019/2020;3;4;0;3;2
Betis;Atlético;2019/2020;1;2;0;3;2
Levante;Celta;2019/2020;3;1;3;0;1
Real Madrid;Athletic;2019/2020;0;0;1;1;x
Real Valladolid;Leganés;2019/2020;2;2;1;1;x
Sevilla;Athletic;2019/2020;1;1;1;1;x
Valencia;Eibar;2019/2020;1;0;3;0;1
Getafe;Real Madrid;2019/2020;0;3;0;3;2
Atlético;Levante;2019/2020;2;1;3;0;1
Espanyol;Barcelona;2019/2020;2;2;1;1;x
Granada;Mallorca;2019/2020;1;0;3;0;1
R. Sociedad;Villarreal;2019/2020;1;2;0;3;2
Alavés;Betis;2019/2020;1;1;1;1;x
Celta;Osasuna;2019/2020;1;1;1;1;x
Leganés;Getafe;2019/2020;0;3;0;3;2
Levante;Alavés;2019/2020;0;1;0;3;2
Real Madrid;Sevilla;2019/2020;2;1;3;0;1
Osasuna;Real Valladolid;2019/2020;0;0;1;1;x
Eibar;Atlético;2019/2020;2;0;3;0;1
Mallorca;Valencia;2019/2020;4;1;3;0;1
Betis;R. Sociedad;2019/2020;3;0;3;0;1
Villarreal;Espanyol;2019/2020;1;2;0;3;2
Athletic;Celta;2019/2020;1;1;1;1;x
Barcelona;Granada;2019/2020;1;0;3;0;1
Osasuna;Levante;2019/2020;2;0;3;0;1
Espanyol;Athletic;2019/2020;1;1;1;1;x
Valencia;Barcelona;2019/2020;2;0;3;0;1
Alavés;Villarreal;2019/2020;1;2;0;3;2
Sevilla;Granada;2019/2020;2;0;3;0;1
Atlético;Leganés;2019/2020;0;0;1;1;x
Celta;Eibar;2019/2020;0;0;1;1;x
Getafe;Betis;2019/2020;1;0;3;0;1
R. Sociedad;Mallorca;2019/2020;3;0;3;0;1
Real Valladolid;Real Madrid;2019/2020;0;1;0;3;2
Granada;Espanyol;2019/2020;2;1;3;0;1
Real Madrid;Atlético;2019/2020;1;0;3;0;1
Mallorca;Real Valladolid;2019/2020;0;1;0;3;2
Valencia;Celta;2019/2020;1;0;3;0;1
Leganés;R. Sociedad;2019/2020;2;1;3;0;1
Eibar;Betis;2019/2020;1;1;1;1;x
Athletic;Getafe;2019/2020;0;2;0;3;2
Sevilla;Alavés;2019/2020;1;1;1;1;x
Villarreal;Osasuna;2019/2020;3;1;3;0;1
Barcelona;Levante;2019/2020;2;1;3;0;1
Alavés;Eibar;2019/2020;2;1;3;0;1
Levante;Leganés;2019/2020;2;0;3;0;1
Getafe;Valencia;2019/2020;3;0;3;0;1
Real Valladolid;Villarreal;2019/2020;1;1;1;1;x
Atlético;Granada;2019/2020;1;0;3;0;1
Espanyol;Mallorca;2019/2020;1;0;3;0;1
R. Sociedad;Athletic;2019/2020;2;1;3;0;1
Osasuna;Real Madrid;2019/2020;1;4;0;3;2
Celta;Sevilla;2019/2020;2;1;3;0;1
Betis;Barcelona;2019/2020;2;3;0;3;2
Valencia;Atlético;2019/2020;2;2;1;1;x
Mallorca;Alavés;2019/2020;1;0;3;0;1
Barcelona;Getafe;2019/2020;2;1;3;0;1
Villarreal;Levante;2019/2020;2;1;3;0;1
Granada;Real Valladolid;2019/2020;2;1;3;0;1
Sevilla;Espanyol;2019/2020;2;2;1;1;x
Leganés;Betis;2019/2020;0;0;1;1;x
Athletic;Osasuna;2019/2020;0;1;0;3;2
Real Madrid;Celta;2019/2020;2;2;1;1;x
Eibar;R. Sociedad;2019/2020;1;2;0;3;2
Betis;Mallorca;2019/2020;3;2;3;0;1
Celta;Leganés;2019/2020;1;0;3;0;1
Barcelona;Eibar;2019/2020;5;0;3;0;1
R. Sociedad;Valencia;2019/2020;3;0;3;0;1
Levante;Real Madrid;2019/2020;1;0;3;0;1
Osasuna;Granada;2019/2020;0;3;0;3;2
Alavés;Athletic;2019/2020;2;1;3;0;1
Real Valladolid;Espanyol;2019/2020;2;1;3;0;1
Getafe;Sevilla;2019/2020;0;3;0;3;2
Atlético;Villarreal;2019/2020;3;1;3;0;1
R. Sociedad;Real Valladolid;2019/2020;1;0;3;0;1
Eibar;Levante;2019/2020;3;0;3;0;1
Valencia;Betis;2019/2020;2;1;3;0;1
Leganés;Alavés;2019/2020;1;1;1;1;x
Granada;Celta;2019/2020;0;0;1;1;x
Sevilla;Osasuna;2019/2020;3;2;3;0;1
Athletic;Villarreal;2019/2020;1;0;3;0;1
Espanyol;Atlético;2019/2020;1;1;1;1;x
Mallorca;Getafe;2019/2020;0;1;0;3;2
Real Madrid;Barcelona;2019/2020;2;0;3;0;1
Alavés;Valencia;2019/2020;1;1;1;1;x
Eibar;Mallorca;2019/2020;1;2;0;3;2
Atlético;Sevilla;2019/2020;2;2;1;1;x
Barcelona;R. Sociedad;2019/2020;1;0;3;0;1
Getafe;Celta;2019/2020;0;0;1;1;x
Osasuna;Espanyol;2019/2020;1;0;3;0;1
Real Valladolid;Athletic;2019/2020;1;4;0;3;2
Levante;Granada;2019/2020;1;1;1;1;x
Villarreal;Leganés;2019/2020;1;2;0;3;2
Betis;Real Madrid;2019/2020;2;1;3;0;1
Sevilla;Betis;2019/2020;2;0;3;0;1
Granada;Getafe;2019/2020;2;1;3;0;1
Valencia;Levante;2019/2020;1;1;1;1;x
Espanyol;Alavés;2019/2020;2;0;3;0;1
Celta;Villarreal;2019/2020;0;1;0;3;2
Leganés;Real Valladolid;2019/2020;1;2;0;3;2
Mallorca;Barcelona;2019/2020;0;4;0;3;2
Athletic;Atlético;2019/2020;1;1;1;1;x
Real Madrid;Eibar;2019/2020;3;1;3;0;1
R. Sociedad;Osasuna;2019/2020;1;1;1;1;x
Levante;Sevilla;2019/2020;1;1;1;1;x
Betis;Granada;2019/2020;2;2;1;1;x
Getafe;Espanyol;2019/2020;0;0;1;1;x
Villarreal;Mallorca;2019/2020;1;0;3;0;1
Barcelona;Leganés;2019/2020;2;0;3;0;1
Eibar;Athletic;2019/2020;2;2;1;1;x
Real Valladolid;Celta;2019/2020;0;0;1;1;x
Osasuna;Atlético;2019/2020;0;5;0;3;2
Alavés;R. Sociedad;2019/2020;2;0;3;0;1
Real Madrid;Valencia;2019/2020;3;0;3;0;1
Mallorca;Leganés;2019/2020;1;1;1;1;x
Granada;Villarreal;2019/2020;0;1;0;3;2
Sevilla;Barcelona;2019/2020;0;0;1;1;x
Espanyol;Levante;2019/2020;1;3;0;3;2
Athletic;Betis;2019/2020;1;0;3;0;1
Getafe;Eibar;2019/2020;1;1;1;1;x
Atlético;Real Valladolid;2019/2020;1;0;3;0;1
Celta;Alavés;2019/2020;6;0;3;0;1
Valencia;Osasuna;2019/2020;2;0;3;0;1
R. Sociedad;Real Madrid;2019/2020;1;2;0;3;2
Villarreal;Sevilla;2019/2020;2;2;1;1;x
