Equipo_Local;Equipo_Visitante;Goles_Equipo_Local;Goles_Equipo_Visitante;Temporada;Fecha
Deportivo;Celta;2;0;2015/2016;21/11/2015
Real Madrid;Barcelona;0;4;2015/2016;21/11/2015
R. Sociedad;Sevilla;2;0;2015/2016;21/11/2015
Valencia;Las Palmas;1;1;2015/2016;21/11/2015
Betis;Atlético;0;1;2015/2016;22/11/2015
Granada;Athletic;2;0;2015/2016;22/11/2015
Sporting Gijón;Levante;0;3;2015/2016;22/11/2015
Villarreal;Eibar;1;1;2015/2016;22/11/2015
Getafe;Rayo;1;1;2015/2016;23/11/2015
Levante;Betis;0;1;2015/2016;27/11/2015
Atlético;Espanyol;1;0;2015/2016;28/11/2015
Barcelona;R. Sociedad;4;0;2015/2016;28/11/2015
Celta;Sporting Gijón;2;1;2015/2016;28/11/2015
Las Palmas;Deportivo;0;2;2015/2016;28/11/2015
Málaga;Granada;2;2;2015/2016;28/11/2015
Eibar;Real Madrid;0;2;2015/2016;29/11/2015
Getafe;Villarreal;2;0;2015/2016;29/11/2015
Sevilla;Valencia;1;0;2015/2016;29/11/2015
Rayo;Athletic;0;3;2015/2016;29/11/2015
Betis;Celta;1;1;2015/2016;05/12/2015
Granada;Atlético;0;2;2015/2016;05/12/2015
Deportivo;Sevilla;1;1;2015/2016;05/12/2015
Real Madrid;Getafe;4;1;2015/2016;05/12/2015
Valencia;Barcelona;1;1;2015/2016;05/12/2015
Athletic;Málaga;0;0;2015/2016;06/12/2015
R. Sociedad;Eibar;2;1;2015/2016;06/12/2015
Sporting Gijón;Las Palmas;3;1;2015/2016;06/12/2015
Villarreal;Rayo;2;1;2015/2016;06/12/2015
Espanyol;Levante;1;1;2015/2016;07/12/2015
Getafe;R. Sociedad;1;1;2015/2016;11/12/2015
Barcelona;Deportivo;2;2;2015/2016;12/12/2015
Celta;Espanyol;1;0;2015/2016;12/12/2015
Las Palmas;Betis;1;0;2015/2016;12/12/2015
Levante;Granada;1;2;2015/2016;12/12/2015
Sevilla;Sporting Gijón;2;0;2015/2016;12/12/2015
Atlético;Athletic;2;1;2015/2016;13/12/2015
Eibar;Valencia;1;1;2015/2016;13/12/2015
Rayo;Málaga;1;2;2015/2016;13/12/2015
Villarreal;Real Madrid;1;0;2015/2016;13/12/2015
Betis;Sevilla;0;0;2015/2016;19/12/2015
Espanyol;Las Palmas;1;0;2015/2016;19/12/2015
Deportivo;Eibar;2;0;2015/2016;19/12/2015
Valencia;Getafe;2;2;2015/2016;19/12/2015
Athletic;Levante;2;0;2015/2016;20/12/2015
Granada;Celta;0;2;2015/2016;20/12/2015
Málaga;Atlético;1;0;2015/2016;20/12/2015
Real Madrid;Rayo;10;2;2015/2016;20/12/2015
R. Sociedad;Villarreal;0;2;2015/2016;20/12/2015
Barcelona;Betis;4;0;2015/2016;30/12/2015
Celta;Athletic;0;1;2015/2016;30/12/2015
Eibar;Sporting Gijón;2;0;2015/2016;30/12/2015
Getafe;Deportivo;0;0;2015/2016;30/12/2015
Las Palmas;Granada;4;1;2015/2016;30/12/2015
Levante;Málaga;0;1;2015/2016;30/12/2015
Real Madrid;R. Sociedad;3;1;2015/2016;30/12/2015
Sevilla;Espanyol;2;0;2015/2016;30/12/2015
Rayo;Atlético;0;2;2015/2016;30/12/2015
Villarreal;Valencia;1;0;2015/2016;31/12/2015
Atlético;Levante;1;0;2015/2016;02/01/2016
Espanyol;Barcelona;0;0;2015/2016;02/01/2016
Málaga;Celta;2;0;2015/2016;02/01/2016
Athletic;Las Palmas;2;2;2015/2016;03/01/2016
Betis;Eibar;0;4;2015/2016;03/01/2016
Granada;Sevilla;2;1;2015/2016;03/01/2016
Deportivo;Villarreal;1;2;2015/2016;03/01/2016
Valencia;Real Madrid;2;2;2015/2016;03/01/2016
Rayo;R. Sociedad;2;2;2015/2016;03/01/2016
Sporting Gijón;Getafe;1;2;2015/2016;04/01/2016
Barcelona;Granada;4;0;2015/2016;09/01/2016
Getafe;Betis;1;0;2015/2016;09/01/2016
Levante;Rayo;2;1;2015/2016;09/01/2016
Real Madrid;Deportivo;5;0;2015/2016;09/01/2016
Sevilla;Athletic;2;0;2015/2016;09/01/2016
Celta;Atlético;0;2;2015/2016;10/01/2016
Eibar;Espanyol;2;1;2015/2016;10/01/2016
Las Palmas;Málaga;1;1;2015/2016;10/01/2016
R. Sociedad;Valencia;2;0;2015/2016;10/01/2016
Villarreal;Sporting Gijón;2;0;2015/2016;10/01/2016
Celta;Levante;4;3;2015/2016;16/01/2016
Sevilla;Málaga;2;1;2015/2016;16/01/2016
R. Sociedad;Deportivo;1;1;2015/2016;16/01/2016
Villarreal;Betis;0;0;2015/2016;16/01/2016
Barcelona;Athletic;6;0;2015/2016;17/01/2016
Getafe;Espanyol;3;1;2015/2016;17/01/2016
Las Palmas;Atlético;0;3;2015/2016;17/01/2016
Real Madrid;Sporting Gijón;5;1;2015/2016;17/01/2016
Valencia;Rayo;2;2;2015/2016;17/01/2016
Eibar;Granada;5;1;2015/2016;18/01/2016
Sporting Gijón;R. Sociedad;5;1;2015/2016;22/01/2016
Espanyol;Villarreal;2;2;2015/2016;23/01/2016
Granada;Getafe;3;2;2015/2016;23/01/2016
Málaga;Barcelona;1;2;2015/2016;23/01/2016
Rayo;Celta;3;0;2015/2016;23/01/2016
Athletic;Eibar;5;2;2015/2016;24/01/2016
Atlético;Sevilla;0;0;2015/2016;24/01/2016
Betis;Real Madrid;1;1;2015/2016;24/01/2016
Deportivo;Valencia;1;1;2015/2016;24/01/2016
Levante;Las Palmas;3;2;2015/2016;25/01/2016
Barcelona;Atlético;2;1;2015/2016;30/01/2016
Eibar;Málaga;1;2;2015/2016;30/01/2016
Getafe;Athletic;0;1;2015/2016;30/01/2016
R. Sociedad;Betis;2;1;2015/2016;30/01/2016
Villarreal;Granada;1;0;2015/2016;30/01/2016
Las Palmas;Celta;2;1;2015/2016;31/01/2016
Real Madrid;Espanyol;6;0;2015/2016;31/01/2016
Sevilla;Levante;3;1;2015/2016;31/01/2016
Valencia;Sporting Gijón;0;1;2015/2016;31/01/2016
Deportivo;Rayo;2;2;2015/2016;01/02/2016
Málaga;Getafe;3;0;2015/2016;05/02/2016
Athletic;Villarreal;0;0;2015/2016;06/02/2016
Atlético;Eibar;3;1;2015/2016;06/02/2016
Sporting Gijón;Deportivo;1;1;2015/2016;06/02/2016
Rayo;Las Palmas;2;0;2015/2016;06/02/2016
Betis;Valencia;1;0;2015/2016;07/02/2016
Celta;Sevilla;1;1;2015/2016;07/02/2016
Granada;Real Madrid;1;2;2015/2016;07/02/2016
Levante;Barcelona;0;2;2015/2016;07/02/2016
Espanyol;R. Sociedad;0;5;2015/2016;08/02/2016
Sporting Gijón;Rayo;2;2;2015/2016;12/02/2016
Deportivo;Betis;2;2;2015/2016;13/02/2016
Real Madrid;Athletic;4;2;2015/2016;13/02/2016
Valencia;Espanyol;2;1;2015/2016;13/02/2016
Villarreal;Málaga;1;0;2015/2016;13/02/2016
Barcelona;Celta;6;1;2015/2016;14/02/2016
Eibar;Levante;2;0;2015/2016;14/02/2016
Getafe;Atlético;0;1;2015/2016;14/02/2016
Sevilla;Las Palmas;2;0;2015/2016;14/02/2016
R. Sociedad;Granada;3;0;2015/2016;14/02/2016
Sporting Gijón;Barcelona;1;3;2015/2016;17/02/2016
Levante;Getafe;3;0;2015/2016;19/02/2016
Betis;Sporting Gijón;1;1;2015/2016;20/02/2016
Celta;Eibar;3;2;2015/2016;20/02/2016
Espanyol;Deportivo;1;0;2015/2016;20/02/2016
Las Palmas;Barcelona;1;2;2015/2016;20/02/2016
Athletic;R. Sociedad;0;1;2015/2016;21/02/2016
Atlético;Villarreal;0;0;2015/2016;21/02/2016
Granada;Valencia;1;2;2015/2016;21/02/2016
Málaga;Real Madrid;1;1;2015/2016;21/02/2016
Rayo;Sevilla;2;2;2015/2016;21/02/2016
Eibar;Las Palmas;0;1;2015/2016;26/02/2016
Betis;Rayo;2;2;2015/2016;27/02/2016
Getafe;Celta;0;1;2015/2016;27/02/2016
Real Madrid;Atlético;0;1;2015/2016;27/02/2016
R. Sociedad;Málaga;1;1;2015/2016;27/02/2016
Sporting Gijón;Espanyol;2;4;2015/2016;27/02/2016
Barcelona;Sevilla;2;1;2015/2016;28/02/2016
Deportivo;Granada;0;1;2015/2016;28/02/2016
Valencia;Athletic;0;3;2015/2016;28/02/2016
Villarreal;Levante;3;0;2015/2016;28/02/2016
Atlético;R. Sociedad;3;0;2015/2016;01/03/2016
Las Palmas;Getafe;4;0;2015/2016;01/03/2016
Athletic;Deportivo;4;1;2015/2016;02/03/2016
Celta;Villarreal;0;0;2015/2016;02/03/2016
Levante;Real Madrid;1;3;2015/2016;02/03/2016
Málaga;Valencia;1;2;2015/2016;02/03/2016
Sevilla;Eibar;1;0;2015/2016;02/03/2016
Espanyol;Betis;0;3;2015/2016;03/03/2016
Granada;Sporting Gijón;2;0;2015/2016;03/03/2016
Rayo;Barcelona;1;5;2015/2016;03/03/2016
Getafe;Sevilla;1;1;2015/2016;05/03/2016
Deportivo;Málaga;3;3;2015/2016;05/03/2016
Real Madrid;Celta;7;1;2015/2016;05/03/2016
Villarreal;Las Palmas;0;1;2015/2016;05/03/2016
Betis;Granada;2;0;2015/2016;06/03/2016
Eibar;Barcelona;0;4;2015/2016;06/03/2016
R. Sociedad;Levante;1;1;2015/2016;06/03/2016
Sporting Gijón;Athletic;0;2;2015/2016;06/03/2016
