Equipo_Local;Equipo_Visitante;Goles_Equipo_Local;Goles_Equipo_Visitante;Temporada;Fecha
Villarreal;Betis;2;0;2016/2017;06/11/2016
Betis;Las Palmas;2;0;2016/2017;18/11/2016
Atlético;Real Madrid;0;3;2016/2017;19/11/2016
Barcelona;Málaga;0;0;2016/2017;19/11/2016
Eibar;Celta;1;0;2016/2017;19/11/2016
Deportivo;Sevilla;2;3;2016/2017;19/11/2016
Alavés;Espanyol;0;1;2016/2017;20/11/2016
Athletic;Villarreal;1;0;2016/2017;20/11/2016
Sporting Gijón;R. Sociedad;1;3;2016/2017;20/11/2016
Valencia;Granada;1;1;2016/2017;20/11/2016
Leganés;Osasuna;2;0;2016/2017;21/11/2016
Eibar;Betis;3;1;2016/2017;25/11/2016
Espanyol;Leganés;3;0;2016/2017;26/11/2016
Málaga;Deportivo;4;3;2016/2017;26/11/2016
Real Madrid;Sporting Gijón;2;1;2016/2017;26/11/2016
Sevilla;Valencia;2;1;2016/2017;26/11/2016
Celta;Granada;3;1;2016/2017;27/11/2016
Osasuna;Atlético;0;3;2016/2017;27/11/2016
R. Sociedad;Barcelona;1;1;2016/2017;27/11/2016
Villarreal;Alavés;0;2;2016/2017;27/11/2016
Las Palmas;Athletic;3;1;2016/2017;28/11/2016
Atlético;Espanyol;0;0;2016/2017;03/12/2016
Barcelona;Real Madrid;1;1;2016/2017;03/12/2016
Granada;Sevilla;2;1;2016/2017;03/12/2016
Leganés;Villarreal;0;0;2016/2017;03/12/2016
Alavés;Las Palmas;1;1;2016/2017;04/12/2016
Athletic;Eibar;3;1;2016/2017;04/12/2016
Betis;Celta;3;3;2016/2017;04/12/2016
Sporting Gijón;Osasuna;3;1;2016/2017;04/12/2016
Valencia;Málaga;2;2;2016/2017;04/12/2016
Deportivo;R. Sociedad;5;1;2016/2017;05/12/2016
Málaga;Granada;1;1;2016/2017;09/12/2016
Las Palmas;Leganés;1;1;2016/2017;10/12/2016
Osasuna;Barcelona;0;3;2016/2017;10/12/2016
Real Madrid;Deportivo;3;2;2016/2017;10/12/2016
R. Sociedad;Valencia;3;2;2016/2017;10/12/2016
Betis;Athletic;1;0;2016/2017;11/12/2016
Celta;Sevilla;0;3;2016/2017;11/12/2016
Eibar;Alavés;0;0;2016/2017;11/12/2016
Espanyol;Sporting Gijón;2;1;2016/2017;11/12/2016
Villarreal;Atlético;3;0;2016/2017;12/12/2016
Alavés;Betis;1;0;2016/2017;16/12/2016
Atlético;Las Palmas;1;0;2016/2017;17/12/2016
Granada;R. Sociedad;0;2;2016/2017;17/12/2016
Sevilla;Málaga;4;1;2016/2017;17/12/2016
Sporting Gijón;Villarreal;1;3;2016/2017;17/12/2016
Barcelona;Espanyol;4;1;2016/2017;18/12/2016
Deportivo;Osasuna;2;0;2016/2017;18/12/2016
Leganés;Eibar;1;1;2016/2017;18/12/2016
Athletic;Celta;2;1;2016/2017;19/12/2016
Espanyol;Deportivo;1;1;2016/2017;06/01/2017
Eibar;Atlético;0;2;2016/2017;07/01/2017
Las Palmas;Sporting Gijón;1;0;2016/2017;07/01/2017
Real Madrid;Granada;5;0;2016/2017;07/01/2017
R. Sociedad;Sevilla;0;4;2016/2017;07/01/2017
Athletic;Alavés;0;0;2016/2017;08/01/2017
Betis;Leganés;2;0;2016/2017;08/01/2017
Celta;Málaga;3;1;2016/2017;08/01/2017
Villarreal;Barcelona;1;1;2016/2017;08/01/2017
Osasuna;Valencia;3;3;2016/2017;09/01/2017
Atlético;Betis;1;0;2016/2017;14/01/2017
Barcelona;Las Palmas;5;0;2016/2017;14/01/2017
Deportivo;Villarreal;0;0;2016/2017;14/01/2017
Leganés;Athletic;0;0;2016/2017;14/01/2017
Celta;Alavés;1;0;2016/2017;15/01/2017
Granada;Osasuna;1;1;2016/2017;15/01/2017
Sevilla;Real Madrid;2;1;2016/2017;15/01/2017
Sporting Gijón;Eibar;2;3;2016/2017;15/01/2017
Valencia;Espanyol;2;1;2016/2017;15/01/2017
Málaga;R. Sociedad;0;2;2016/2017;16/01/2017
Las Palmas;Deportivo;1;1;2016/2017;20/01/2017
Alavés;Leganés;2;2;2016/2017;21/01/2017
Espanyol;Granada;3;1;2016/2017;21/01/2017
Real Madrid;Málaga;2;1;2016/2017;21/01/2017
Villarreal;Valencia;0;2;2016/2017;21/01/2017
Athletic;Atlético;2;2;2016/2017;22/01/2017
Betis;Sporting Gijón;0;0;2016/2017;22/01/2017
Eibar;Barcelona;0;4;2016/2017;22/01/2017
Osasuna;Sevilla;3;4;2016/2017;22/01/2017
R. Sociedad;Celta;1;0;2016/2017;22/01/2017
Osasuna;Málaga;1;1;2016/2017;27/01/2017
Alavés;Atlético;0;0;2016/2017;28/01/2017
Eibar;Deportivo;3;1;2016/2017;28/01/2017
Leganés;Celta;0;2;2016/2017;28/01/2017
Villarreal;Granada;2;0;2016/2017;28/01/2017
Athletic;Sporting Gijón;2;1;2016/2017;29/01/2017
Betis;Barcelona;1;1;2016/2017;29/01/2017
Espanyol;Sevilla;3;1;2016/2017;29/01/2017
Real Madrid;R. Sociedad;3;0;2016/2017;29/01/2017
Las Palmas;Valencia;3;1;2016/2017;30/01/2017
Atlético;Leganés;2;0;2016/2017;04/02/2017
Barcelona;Athletic;3;0;2016/2017;04/02/2017
Málaga;Espanyol;0;1;2016/2017;04/02/2017
Valencia;Eibar;0;4;2016/2017;04/02/2017
Sevilla;Villarreal;0;0;2016/2017;05/02/2017
R. Sociedad;Osasuna;3;2;2016/2017;05/02/2017
Sporting Gijón;Alavés;2;4;2016/2017;05/02/2017
Granada;Las Palmas;1;0;2016/2017;06/02/2017
Espanyol;R. Sociedad;1;2;2016/2017;10/02/2017
Alavés;Barcelona;0;6;2016/2017;11/02/2017
Athletic;Deportivo;2;1;2016/2017;11/02/2017
Betis;Valencia;0;0;2016/2017;11/02/2017
Osasuna;Real Madrid;1;3;2016/2017;11/02/2017
Atlético;Celta;3;2;2016/2017;12/02/2017
Las Palmas;Sevilla;0;1;2016/2017;12/02/2017
Leganés;Sporting Gijón;0;2;2016/2017;12/02/2017
Villarreal;Málaga;1;1;2016/2017;12/02/2017
Eibar;Granada;4;0;2016/2017;13/02/2017
Granada;Betis;4;1;2016/2017;17/02/2017
Deportivo;Alavés;0;1;2016/2017;18/02/2017
Real Madrid;Espanyol;2;0;2016/2017;18/02/2017
Sevilla;Eibar;2;0;2016/2017;18/02/2017
Sporting Gijón;Atlético;1;4;2016/2017;18/02/2017
Barcelona;Leganés;2;1;2016/2017;19/02/2017
Celta;Osasuna;3;0;2016/2017;19/02/2017
R. Sociedad;Villarreal;0;1;2016/2017;19/02/2017
Valencia;Athletic;2;0;2016/2017;19/02/2017
Málaga;Las Palmas;2;1;2016/2017;20/02/2017
Valencia;Real Madrid;2;1;2016/2017;22/02/2017
Las Palmas;R. Sociedad;0;1;2016/2017;24/02/2017
Alavés;Valencia;2;1;2016/2017;25/02/2017
Betis;Sevilla;1;2;2016/2017;25/02/2017
Eibar;Málaga;3;0;2016/2017;25/02/2017
Leganés;Deportivo;4;0;2016/2017;25/02/2017
Athletic;Granada;3;1;2016/2017;26/02/2017
Atlético;Barcelona;1;2;2016/2017;26/02/2017
Espanyol;Osasuna;3;0;2016/2017;26/02/2017
Sporting Gijón;Celta;1;1;2016/2017;26/02/2017
Villarreal;Real Madrid;2;3;2016/2017;26/02/2017
Málaga;Betis;1;2;2016/2017;28/02/2017
R. Sociedad;Eibar;2;2;2016/2017;28/02/2017
Valencia;Leganés;1;0;2016/2017;28/02/2017
Barcelona;Sporting Gijón;6;1;2016/2017;01/03/2017
Celta;Espanyol;2;2;2016/2017;01/03/2017
Granada;Alavés;2;1;2016/2017;01/03/2017
Osasuna;Villarreal;1;4;2016/2017;01/03/2017
Real Madrid;Las Palmas;3;3;2016/2017;01/03/2017
Deportivo;Atlético;1;1;2016/2017;02/03/2017
Sevilla;Athletic;1;0;2016/2017;02/03/2017
Betis;R. Sociedad;2;3;2016/2017;03/03/2017
Barcelona;Celta;5;0;2016/2017;04/03/2017
Eibar;Real Madrid;1;4;2016/2017;04/03/2017
Leganés;Granada;1;0;2016/2017;04/03/2017
Villarreal;Espanyol;2;0;2016/2017;04/03/2017
Athletic;Málaga;1;0;2016/2017;05/03/2017
Atlético;Valencia;3;0;2016/2017;05/03/2017
Las Palmas;Osasuna;5;2;2016/2017;05/03/2017
Sporting Gijón;Deportivo;0;1;2016/2017;05/03/2017
Alavés;Sevilla;1;1;2016/2017;06/03/2017
Deportivo;Betis;1;1;2016/2017;08/03/2017
Espanyol;Las Palmas;4;3;2016/2017;10/03/2017
Granada;Atlético;0;1;2016/2017;11/03/2017
Málaga;Alavés;1;2;2016/2017;11/03/2017
Sevilla;Leganés;1;1;2016/2017;11/03/2017
Valencia;Sporting Gijón;1;1;2016/2017;11/03/2017
Celta;Villarreal;0;1;2016/2017;12/03/2017
Deportivo;Barcelona;2;1;2016/2017;12/03/2017
Real Madrid;Betis;2;1;2016/2017;12/03/2017
R. Sociedad;Athletic;0;2;2016/2017;12/03/2017
Osasuna;Eibar;1;1;2016/2017;13/03/2017
Las Palmas;Villarreal;1;0;2016/2017;17/03/2017
Alavés;R. Sociedad;1;0;2016/2017;18/03/2017
Athletic;Real Madrid;1;2;2016/2017;18/03/2017
Betis;Osasuna;2;0;2016/2017;18/03/2017
Eibar;Espanyol;1;1;2016/2017;18/03/2017
Atlético;Sevilla;3;1;2016/2017;19/03/2017
Barcelona;Valencia;4;2;2016/2017;19/03/2017
Deportivo;Celta;0;1;2016/2017;19/03/2017
Leganés;Málaga;0;0;2016/2017;19/03/2017
Sporting Gijón;Granada;3;1;2016/2017;19/03/2017
Espanyol;Betis;2;1;2016/2017;31/03/2017
Málaga;Atlético;0;2;2016/2017;01/04/2017
Osasuna;Athletic;1;2;2016/2017;01/04/2017
R. Sociedad;Leganés;1;1;2016/2017;01/04/2017
Villarreal;Eibar;2;3;2016/2017;01/04/2017
Granada;Barcelona;1;4;2016/2017;02/04/2017
Real Madrid;Alavés;3;0;2016/2017;02/04/2017
Sevilla;Sporting Gijón;0;0;2016/2017;02/04/2017
Valencia;Deportivo;3;0;2016/2017;02/04/2017
Celta;Las Palmas;3;1;2016/2017;03/04/2017
Athletic;Espanyol;2;0;2016/2017;04/04/2017
Atlético;R. Sociedad;1;0;2016/2017;04/04/2017
Betis;Villarreal;0;1;2016/2017;04/04/2017
Alavés;Osasuna;0;1;2016/2017;05/04/2017
Barcelona;Sevilla;3;0;2016/2017;05/04/2017
Deportivo;Granada;0;0;2016/2017;05/04/2017
Leganés;Real Madrid;2;4;2016/2017;05/04/2017
Sporting Gijón;Málaga;0;1;2016/2017;05/04/2017
Eibar;Las Palmas;3;1;2016/2017;06/04/2017
Valencia;Celta;3;2;2016/2017;06/04/2017
Villarreal;Athletic;3;1;2016/2017;07/04/2017
Espanyol;Alavés;1;0;2016/2017;08/04/2017
Málaga;Barcelona;2;0;2016/2017;08/04/2017
Real Madrid;Atlético;1;1;2016/2017;08/04/2017
Sevilla;Deportivo;4;2;2016/2017;08/04/2017
Celta;Eibar;0;2;2016/2017;09/04/2017
Granada;Valencia;1;3;2016/2017;09/04/2017
Las Palmas;Betis;4;1;2016/2017;09/04/2017
Osasuna;Leganés;2;1;2016/2017;09/04/2017
R. Sociedad;Sporting Gijón;3;1;2016/2017;10/04/2017
Athletic;Las Palmas;5;1;2016/2017;14/04/2017
Atlético;Osasuna;3;0;2016/2017;15/04/2017
Barcelona;R. Sociedad;3;2;2016/2017;15/04/2017
Deportivo;Málaga;2;0;2016/2017;15/04/2017
Sporting Gijón;Real Madrid;2;3;2016/2017;15/04/2017
Betis;Eibar;2;0;2016/2017;16/04/2017
Granada;Celta;0;3;2016/2017;16/04/2017
Leganés;Espanyol;0;1;2016/2017;16/04/2017
Valencia;Sevilla;0;0;2016/2017;16/04/2017
Alavés;Villarreal;2;1;2016/2017;17/04/2017
Sevilla;Granada;2;0;2016/2017;21/04/2017
Espanyol;Atlético;0;1;2016/2017;22/04/2017
Málaga;Valencia;2;0;2016/2017;22/04/2017
Osasuna;Sporting Gijón;2;2;2016/2017;22/04/2017
Villarreal;Leganés;2;1;2016/2017;22/04/2017
Celta;Betis;0;1;2016/2017;23/04/2017
Las Palmas;Alavés;1;1;2016/2017;23/04/2017
Real Madrid;Barcelona;2;3;2016/2017;23/04/2017
R. Sociedad;Deportivo;1;0;2016/2017;23/04/2017
Eibar;Athletic;0;1;2016/2017;24/04/2017
Atlético;Villarreal;0;1;2016/2017;25/04/2017
Granada;Málaga;0;2;2016/2017;25/04/2017
Sporting Gijón;Espanyol;1;1;2016/2017;25/04/2017
Barcelona;Osasuna;7;1;2016/2017;26/04/2017
Deportivo;Real Madrid;2;6;2016/2017;26/04/2017
Leganés;Las Palmas;3;0;2016/2017;26/04/2017
Valencia;R. Sociedad;2;3;2016/2017;26/04/2017
Alavés;Eibar;0;0;2016/2017;27/04/2017
Athletic;Betis;2;1;2016/2017;27/04/2017
Sevilla;Celta;2;1;2016/2017;27/04/2017
Villarreal;Sporting Gijón;3;1;2016/2017;28/04/2017
Espanyol;Barcelona;0;3;2016/2017;29/04/2017
Las Palmas;Atlético;0;5;2016/2017;29/04/2017
Real Madrid;Valencia;2;1;2016/2017;29/04/2017
R. Sociedad;Granada;2;1;2016/2017;29/04/2017
Betis;Alavés;1;4;2016/2017;30/04/2017
Celta;Athletic;0;3;2016/2017;30/04/2017
Eibar;Leganés;2;0;2016/2017;30/04/2017
Osasuna;Deportivo;2;2;2016/2017;30/04/2017
Málaga;Sevilla;4;2;2016/2017;01/05/2017
Sevilla;R. Sociedad;1;1;2016/2017;05/05/2017
Atlético;Eibar;1;0;2016/2017;06/05/2017
Barcelona;Villarreal;4;1;2016/2017;06/05/2017
Granada;Real Madrid;0;4;2016/2017;06/05/2017
Sporting Gijón;Las Palmas;1;0;2016/2017;06/05/2017
Alavés;Athletic;1;0;2016/2017;07/05/2017
Deportivo;Espanyol;1;2;2016/2017;07/05/2017
Málaga;Celta;3;0;2016/2017;07/05/2017
Valencia;Osasuna;4;1;2016/2017;07/05/2017
Leganés;Betis;4;0;2016/2017;08/05/2017
Espanyol;Valencia;0;1;2016/2017;13/05/2017
Osasuna;Granada;2;1;2016/2017;13/05/2017
Alavés;Celta;3;1;2016/2017;14/05/2017
Athletic;Leganés;1;1;2016/2017;14/05/2017
Betis;Atlético;1;1;2016/2017;14/05/2017
Eibar;Sporting Gijón;0;1;2016/2017;14/05/2017
Las Palmas;Barcelona;1;4;2016/2017;14/05/2017
Real Madrid;Sevilla;4;1;2016/2017;14/05/2017
R. Sociedad;Málaga;2;2;2016/2017;14/05/2017
Villarreal;Deportivo;0;0;2016/2017;14/05/2017
Celta;Real Madrid;1;4;2016/2017;17/05/2017
Granada;Espanyol;1;2;2016/2017;19/05/2017
Deportivo;Las Palmas;3;0;2016/2017;20/05/2017
Leganés;Alavés;1;1;2016/2017;20/05/2017
Sevilla;Osasuna;5;0;2016/2017;20/05/2017
Sporting Gijón;Betis;2;2;2016/2017;20/05/2017
Atlético;Athletic;3;1;2016/2017;21/05/2017
Barcelona;Eibar;4;2;2016/2017;21/05/2017
Celta;R. Sociedad;2;2;2016/2017;21/05/2017
Málaga;Real Madrid;0;2;2016/2017;21/05/2017
Valencia;Villarreal;1;3;2016/2017;21/05/2017
Leganés;Alavés;1;0;2017/2018;18/08/2017
Valencia;Las Palmas;1;0;2017/2018;18/08/2017
Celta;R. Sociedad;2;3;2017/2018;19/08/2017
Girona;Atlético;2;2;2017/2018;19/08/2017
Sevilla;Espanyol;1;1;2017/2018;19/08/2017
Athletic;Getafe;0;0;2017/2018;20/08/2017
Barcelona;Betis;2;0;2017/2018;20/08/2017
Deportivo;Real Madrid;0;3;2017/2018;20/08/2017
Levante;Villarreal;1;0;2017/2018;21/08/2017
Málaga;Eibar;0;1;2017/2018;21/08/2017
Betis;Celta;2;1;2017/2018;25/08/2017
R. Sociedad;Villarreal;3;0;2017/2018;25/08/2017
Alavés;Barcelona;0;2;2017/2018;26/08/2017
Girona;Málaga;1;0;2017/2018;26/08/2017
Las Palmas;Atlético;1;5;2017/2018;26/08/2017
Levante;Deportivo;2;2;2017/2018;26/08/2017
Eibar;Athletic;0;1;2017/2018;27/08/2017
Espanyol;Leganés;0;1;2017/2018;27/08/2017
Getafe;Sevilla;0;1;2017/2018;27/08/2017
Real Madrid;Valencia;2;2;2017/2018;27/08/2017
Leganés;Getafe;1;2;2017/2018;08/09/2017
Barcelona;Espanyol;5;0;2017/2018;09/09/2017
Real Madrid;Levante;1;1;2017/2018;09/09/2017
Sevilla;Eibar;3;0;2017/2018;09/09/2017
Valencia;Atlético;0;0;2017/2018;09/09/2017
Athletic;Girona;2;0;2017/2018;10/09/2017
Celta;Alavés;1;0;2017/2018;10/09/2017
Deportivo;R. Sociedad;2;4;2017/2018;10/09/2017
Villarreal;Betis;3;1;2017/2018;10/09/2017
Málaga;Las Palmas;1;3;2017/2018;11/09/2017
Eibar;Leganés;1;0;2017/2018;15/09/2017
Atlético;Málaga;1;0;2017/2018;16/09/2017
Betis;Deportivo;2;1;2017/2018;16/09/2017
Getafe;Barcelona;1;2;2017/2018;16/09/2017
Levante;Valencia;1;1;2017/2018;16/09/2017
Alavés;Villarreal;0;3;2017/2018;17/09/2017
Girona;Sevilla;0;1;2017/2018;17/09/2017
Las Palmas;Athletic;1;0;2017/2018;17/09/2017
R. Sociedad;Real Madrid;1;3;2017/2018;17/09/2017
Espanyol;Celta;2;1;2017/2018;18/09/2017
Barcelona;Eibar;6;1;2017/2018;19/09/2017
Valencia;Málaga;5;0;2017/2018;19/09/2017
Athletic;Atlético;1;2;2017/2018;20/09/2017
Deportivo;Alavés;1;0;2017/2018;20/09/2017
Leganés;Girona;0;0;2017/2018;20/09/2017
Real Madrid;Betis;0;1;2017/2018;20/09/2017
Sevilla;Las Palmas;1;0;2017/2018;20/09/2017
Celta;Getafe;1;1;2017/2018;21/09/2017
Levante;R. Sociedad;3;0;2017/2018;21/09/2017
Villarreal;Espanyol;0;0;2017/2018;21/09/2017
Alavés;Real Madrid;1;2;2017/2018;23/09/2017
Atlético;Sevilla;2;0;2017/2018;23/09/2017
Girona;Barcelona;0;3;2017/2018;23/09/2017
Málaga;Athletic;3;3;2017/2018;23/09/2017
Eibar;Celta;0;4;2017/2018;24/09/2017
Espanyol;Deportivo;4;1;2017/2018;24/09/2017
Getafe;Villarreal;4;0;2017/2018;24/09/2017
Las Palmas;Leganés;0;2;2017/2018;24/09/2017
R. Sociedad;Valencia;2;3;2017/2018;24/09/2017
Betis;Levante;4;0;2017/2018;25/09/2017
Celta;Girona;3;3;2017/2018;29/09/2017
Deportivo;Getafe;2;1;2017/2018;30/09/2017
Leganés;Atlético;0;0;2017/2018;30/09/2017
Levante;Alavés;0;2;2017/2018;30/09/2017
Sevilla;Málaga;2;0;2017/2018;30/09/2017
Barcelona;Las Palmas;3;0;2017/2018;01/10/2017
Real Madrid;Espanyol;2;0;2017/2018;01/10/2017
R. Sociedad;Betis;4;4;2017/2018;01/10/2017
Valencia;Athletic;3;2;2017/2018;01/10/2017
Villarreal;Eibar;3;0;2017/2018;01/10/2017
Espanyol;Levante;0;0;2017/2018;13/10/2017
Alavés;R. Sociedad;0;2;2017/2018;14/10/2017
Athletic;Sevilla;1;0;2017/2018;14/10/2017
Atlético;Barcelona;1;1;2017/2018;14/10/2017
Getafe;Real Madrid;1;2;2017/2018;14/10/2017
Betis;Valencia;3;6;2017/2018;15/10/2017
Eibar;Deportivo;0;0;2017/2018;15/10/2017
Girona;Villarreal;1;2;2017/2018;15/10/2017
Málaga;Leganés;0;2;2017/2018;15/10/2017
Las Palmas;Celta;2;5;2017/2018;16/10/2017
Barcelona;Málaga;2;0;2017/2018;21/10/2017
Betis;Alavés;2;0;2017/2018;21/10/2017
Levante;Getafe;1;1;2017/2018;21/10/2017
Valencia;Sevilla;4;0;2017/2018;21/10/2017
Celta;Atlético;0;1;2017/2018;22/10/2017
Leganés;Athletic;1;0;2017/2018;22/10/2017
Real Madrid;Eibar;3;0;2017/2018;22/10/2017
Villarreal;Las Palmas;4;0;2017/2018;22/10/2017
Deportivo;Girona;1;2;2017/2018;23/10/2017
R. Sociedad;Espanyol;1;1;2017/2018;23/10/2017
Alavés;Valencia;1;2;2017/2018;28/10/2017
Athletic;Barcelona;0;2;2017/2018;28/10/2017
Atlético;Villarreal;1;1;2017/2018;28/10/2017
Sevilla;Leganés;2;1;2017/2018;28/10/2017
Eibar;Levante;2;2;2017/2018;29/10/2017
Getafe;R. Sociedad;2;1;2017/2018;29/10/2017
Girona;Real Madrid;2;1;2017/2018;29/10/2017
Málaga;Celta;2;1;2017/2018;29/10/2017
Espanyol;Betis;1;0;2017/2018;30/10/2017
Las Palmas;Deportivo;1;3;2017/2018;30/10/2017
Betis;Getafe;2;2;2017/2018;03/11/2017
Alavés;Espanyol;1;0;2017/2018;04/11/2017
Barcelona;Sevilla;2;1;2017/2018;04/11/2017
Deportivo;Atlético;0;1;2017/2018;04/11/2017
Valencia;Leganés;3;0;2017/2018;04/11/2017
Celta;Athletic;3;1;2017/2018;05/11/2017
Levante;Girona;1;2;2017/2018;05/11/2017
Real Madrid;Las Palmas;3;0;2017/2018;05/11/2017
R. Sociedad;Eibar;3;1;2017/2018;05/11/2017
Villarreal;Málaga;2;0;2017/2018;05/11/2017
Girona;R. Sociedad;1;1;2017/2018;17/11/2017
Atlético;Real Madrid;0;0;2017/2018;18/11/2017
Getafe;Alavés;4;1;2017/2018;18/11/2017
Leganés;Barcelona;0;3;2017/2018;18/11/2017
Sevilla;Celta;2;1;2017/2018;18/11/2017
Athletic;Villarreal;1;1;2017/2018;19/11/2017
Espanyol;Valencia;0;2;2017/2018;19/11/2017
Las Palmas;Levante;0;2;2017/2018;19/11/2017
Málaga;Deportivo;3;2;2017/2018;19/11/2017
Eibar;Betis;5;0;2017/2018;20/11/2017
Celta;Leganés;1;0;2017/2018;24/11/2017
Alavés;Eibar;1;2;2017/2018;25/11/2017
Betis;Girona;2;2;2017/2018;25/11/2017
Levante;Atlético;0;5;2017/2018;25/11/2017
Real Madrid;Málaga;3;2;2017/2018;25/11/2017
Deportivo;Athletic;2;2;2017/2018;26/11/2017
R. Sociedad;Las Palmas;2;2;2017/2018;26/11/2017
Valencia;Barcelona;1;1;2017/2018;26/11/2017
Villarreal;Sevilla;2;3;2017/2018;26/11/2017
Espanyol;Getafe;1;0;2017/2018;27/11/2017
Málaga;Levante;0;0;2017/2018;01/12/2017
Athletic;Real Madrid;0;0;2017/2018;02/12/2017
Atlético;R. Sociedad;2;1;2017/2018;02/12/2017
Barcelona;Celta;2;2;2017/2018;02/12/2017
Sevilla;Deportivo;2;0;2017/2018;02/12/2017
Eibar;Espanyol;3;1;2017/2018;03/12/2017
Getafe;Valencia;1;0;2017/2018;03/12/2017
Las Palmas;Betis;1;0;2017/2018;03/12/2017
Leganés;Villarreal;3;1;2017/2018;03/12/2017
Girona;Alavés;2;3;2017/2018;04/12/2017
Alavés;Las Palmas;2;0;2017/2018;08/12/2017
Getafe;Eibar;0;0;2017/2018;09/12/2017
Deportivo;Leganés;1;0;2017/2018;09/12/2017
Real Madrid;Sevilla;5;0;2017/2018;09/12/2017
Valencia;Celta;2;1;2017/2018;09/12/2017
Betis;Atlético;0;1;2017/2018;10/12/2017
Levante;Athletic;1;2;2017/2018;10/12/2017
R. Sociedad;Málaga;0;2;2017/2018;10/12/2017
Villarreal;Barcelona;0;2;2017/2018;10/12/2017
Espanyol;Girona;0;1;2017/2018;11/12/2017
Sevilla;Levante;0;0;2017/2018;15/12/2017
Athletic;R. Sociedad;0;0;2017/2018;16/12/2017
Atlético;Alavés;1;0;2017/2018;16/12/2017
Eibar;Valencia;2;1;2017/2018;16/12/2017
Barcelona;Deportivo;4;0;2017/2018;17/12/2017
Celta;Villarreal;0;1;2017/2018;17/12/2017
Girona;Getafe;1;0;2017/2018;17/12/2017
Las Palmas;Espanyol;2;2;2017/2018;17/12/2017
Málaga;Betis;0;2;2017/2018;18/12/2017
Levante;Leganés;0;0;2017/2018;19/12/2017
Getafe;Las Palmas;2;0;2017/2018;20/12/2017
R. Sociedad;Sevilla;3;1;2017/2018;20/12/2017
Alavés;Málaga;1;0;2017/2018;21/12/2017
Eibar;Girona;4;1;2017/2018;21/12/2017
Betis;Athletic;0;2;2017/2018;22/12/2017
Espanyol;Atlético;1;0;2017/2018;22/12/2017
Deportivo;Celta;1;3;2017/2018;23/12/2017
Real Madrid;Barcelona;0;3;2017/2018;23/12/2017
Valencia;Villarreal;0;1;2017/2018;23/12/2017
Atlético;Getafe;2;0;2017/2018;06/01/2018
Las Palmas;Eibar;1;2;2017/2018;06/01/2018
Sevilla;Betis;3;5;2017/2018;06/01/2018
Valencia;Girona;2;1;2017/2018;06/01/2018
Athletic;Alavés;2;0;2017/2018;07/01/2018
Barcelona;Levante;3;0;2017/2018;07/01/2018
Celta;Real Madrid;2;2;2017/2018;07/01/2018
Leganés;R. Sociedad;1;0;2017/2018;07/01/2018
Villarreal;Deportivo;1;1;2017/2018;07/01/2018
Málaga;Espanyol;0;1;2017/2018;08/01/2018
Getafe;Málaga;1;0;2017/2018;12/01/2018
Eibar;Atlético;0;1;2017/2018;13/01/2018
Girona;Las Palmas;6;0;2017/2018;13/01/2018
Deportivo;Valencia;1;2;2017/2018;13/01/2018
Real Madrid;Villarreal;0;1;2017/2018;13/01/2018
Alavés;Sevilla;1;0;2017/2018;14/01/2018
Espanyol;Athletic;1;1;2017/2018;14/01/2018
Levante;Celta;0;1;2017/2018;14/01/2018
R. Sociedad;Barcelona;2;4;2017/2018;14/01/2018
Betis;Leganés;3;2;2017/2018;15/01/2018
Getafe;Athletic;2;2;2017/2018;19/01/2018
Atlético;Girona;1;1;2017/2018;20/01/2018
Espanyol;Sevilla;0;3;2017/2018;20/01/2018
Las Palmas;Valencia;2;1;2017/2018;20/01/2018
Villarreal;Levante;2;1;2017/2018;20/01/2018
Alavés;Leganés;2;2;2017/2018;21/01/2018
Betis;Barcelona;0;5;2017/2018;21/01/2018
Real Madrid;Deportivo;7;1;2017/2018;21/01/2018
R. Sociedad;Celta;1;2;2017/2018;21/01/2018
Eibar;Málaga;1;1;2017/2018;22/01/2018
Athletic;Eibar;1;1;2017/2018;26/01/2018
Deportivo;Levante;2;2;2017/2018;27/01/2018
Málaga;Girona;0;0;2017/2018;27/01/2018
Valencia;Real Madrid;1;4;2017/2018;27/01/2018
Villarreal;R. Sociedad;4;2;2017/2018;27/01/2018
Atlético;Las Palmas;3;0;2017/2018;28/01/2018
Barcelona;Alavés;2;1;2017/2018;28/01/2018
Leganés;Espanyol;3;2;2017/2018;28/01/2018
Sevilla;Getafe;1;1;2017/2018;28/01/2018
Celta;Betis;3;2;2017/2018;29/01/2018
R. Sociedad;Deportivo;5;0;2017/2018;02/02/2018
Alavés;Celta;2;1;2017/2018;03/02/2018
Betis;Villarreal;2;1;2017/2018;03/02/2018
Eibar;Sevilla;5;1;2017/2018;03/02/2018
Levante;Real Madrid;2;2;2017/2018;03/02/2018
Atlético;Valencia;1;0;2017/2018;04/02/2018
Espanyol;Barcelona;1;1;2017/2018;04/02/2018
Getafe;Leganés;0;0;2017/2018;04/02/2018
Girona;Athletic;2;0;2017/2018;04/02/2018
Las Palmas;Málaga;1;0;2017/2018;05/02/2018
Athletic;Las Palmas;0;0;2017/2018;09/02/2018
Leganés;Eibar;0;1;2017/2018;10/02/2018
Málaga;Atlético;0;1;2017/2018;10/02/2018
Real Madrid;R. Sociedad;5;2;2017/2018;10/02/2018
Villarreal;Alavés;1;2;2017/2018;10/02/2018
