Equipo;Local/Visitante;Goles_Locales;Suma_Goles_Locales_Acumulados;Goles_Visitantes;Suma_Goles_Visitantes_Acumulados;Puntos_Locales;Puntos_Locales_Acumulados;Puntos_Visitantes;Puntos_Visitantes_Acumulados;Victorias_Locales_Acumuladas;Empates_Locales_Acumulados;Derrotas_Locales_Acumuladas;Victorias_Acumuladas_Visitantes;Empates_Acumulados_Visitantes;Derrotas_Acumuladas_Visitantes;Descenso;Resultados;Fecha;Temporada
Granada;Local;1;2;0;0;0;0;0;0;0;0;2;0;0;0;No;2;13/09/2015;2015/2016
Villarreal;Visitante;0;0;3;4;0;0;3;4;0;0;0;1;0;0;No;2;13/09/2015;2015/2016
Málaga;Local;0;0;0;0;1;2;0;0;0;2;0;0;0;0;No;x;13/09/2015;2015/2016
Eibar;Visitante;0;0;0;3;0;0;1;4;0;0;0;0;1;0;No;x;13/09/2015;2015/2016
Rayo;Local;1;1;0;0;0;1;0;0;0;0;1;0;0;0;Si;2;14/09/2015;2015/2016
Deportivo;Visitante;0;0;3;4;0;0;3;4;0;0;0;1;0;0;No;2;14/09/2015;2015/2016
Getafe;Local;1;2;0;0;3;3;0;0;1;0;0;0;0;0;Si;1;18/09/2015;2015/2016
Málaga;Visitante;0;0;0;0;0;0;0;0;0;0;0;0;0;2;No;1;18/09/2015;2015/2016
Eibar;Local;0;2;0;0;0;3;0;0;0;0;1;0;0;0;No;2;19/09/2015;2015/2016
Atlético;Visitante;0;0;2;5;0;0;3;6;0;0;0;2;0;0;No;2;19/09/2015;2015/2016
Real Madrid;Local;1;6;0;0;3;6;0;0;2;0;0;0;0;0;No;1;19/09/2015;2015/2016
Granada;Visitante;0;0;0;2;0;0;0;3;0;0;0;0;0;1;No;1;19/09/2015;2015/2016
R. Sociedad;Local;2;2;0;0;0;1;0;0;0;0;1;0;0;0;No;2;19/09/2015;2015/2016
Espanyol;Visitante;0;0;3;4;0;0;3;3;0;0;0;1;0;0;No;2;19/09/2015;2015/2016
Valencia;Local;0;1;0;0;1;2;0;0;0;2;0;0;0;0;No;x;19/09/2015;2015/2016
Betis;Visitante;0;0;0;0;0;0;1;1;0;0;0;0;1;0;No;x;19/09/2015;2015/2016
Barcelona;Local;4;5;0;0;3;6;0;0;2;0;0;0;0;0;No;1;20/09/2015;2015/2016
Levante;Visitante;0;0;1;1;0;0;0;1;0;0;0;0;0;1;Si;1;20/09/2015;2015/2016
Deportivo;Local;2;2;0;0;0;1;0;0;0;0;1;0;0;0;No;2;20/09/2015;2015/2016
Sporting Gijón;Visitante;0;0;3;3;0;0;3;4;0;0;0;1;0;0;No;2;20/09/2015;2015/2016
Las Palmas;Local;0;0;0;0;0;1;0;0;0;0;1;0;0;0;No;2;20/09/2015;2015/2016
Rayo;Visitante;0;0;1;1;0;0;3;3;0;0;0;1;0;0;Si;2;20/09/2015;2015/2016
Sevilla;Local;1;1;0;0;0;0;0;0;0;0;2;0;0;0;No;2;20/09/2015;2015/2016
Celta;Visitante;0;0;2;4;0;0;3;6;0;0;0;2;0;0;No;2;20/09/2015;2015/2016
Villarreal;Local;3;6;0;0;3;6;0;0;2;0;0;0;0;0;No;1;20/09/2015;2015/2016
Athletic;Visitante;0;0;1;1;0;0;0;0;0;0;0;0;0;2;No;1;20/09/2015;2015/2016
Atlético;Local;2;4;0;0;3;6;0;0;1;0;0;0;0;0;No;1;22/09/2015;2015/2016
Getafe;Visitante;0;0;0;1;0;0;0;0;0;0;0;0;0;3;Si;1;22/09/2015;2015/2016
Espanyol;Local;1;2;0;0;3;6;0;0;1;0;0;0;0;0;No;1;22/09/2015;2015/2016
Valencia;Visitante;0;0;0;1;0;0;0;4;0;0;0;0;0;1;No;1;22/09/2015;2015/2016
Granada;Local;0;2;0;0;0;0;0;0;0;0;3;0;0;0;No;2;22/09/2015;2015/2016
R. Sociedad;Visitante;0;0;3;3;0;0;3;4;0;0;0;1;0;0;No;2;22/09/2015;2015/2016
Athletic;Local;1;4;0;0;0;3;0;0;0;0;1;0;0;0;No;2;23/09/2015;2015/2016
Real Madrid;Visitante;0;0;2;8;0;0;3;7;0;0;0;2;0;0;No;2;23/09/2015;2015/2016
Celta;Local;4;10;0;0;3;7;0;0;1;0;0;0;0;0;No;1;23/09/2015;2015/2016
Barcelona;Visitante;0;0;1;4;0;0;0;6;0;0;0;0;0;1;No;1;23/09/2015;2015/2016
Las Palmas;Local;2;2;0;0;3;4;0;0;1;0;0;0;0;0;No;1;23/09/2015;2015/2016
Sevilla;Visitante;0;0;0;1;0;0;0;2;0;0;0;0;0;1;No;1;23/09/2015;2015/2016
Levante;Local;2;4;0;0;1;2;0;0;0;2;0;0;0;0;Si;x;23/09/2015;2015/2016
Eibar;Visitante;0;0;2;5;0;0;1;5;0;0;0;0;2;0;No;x;23/09/2015;2015/2016
Málaga;Local;0;0;0;0;0;2;0;0;0;0;1;0;0;0;No;2;23/09/2015;2015/2016
Villarreal;Visitante;0;0;1;5;0;0;3;7;0;0;0;2;0;0;No;2;23/09/2015;2015/2016
Rayo;Local;2;3;0;0;3;4;0;0;1;0;0;0;0;0;Si;1;23/09/2015;2015/2016
Sporting Gijón;Visitante;0;0;1;4;0;0;0;4;0;0;0;0;0;1;No;1;23/09/2015;2015/2016
Betis;Local;1;3;0;0;0;4;0;0;0;0;1;0;0;0;No;2;24/09/2015;2015/2016
Deportivo;Visitante;0;0;2;6;0;0;3;7;0;0;0;2;0;0;No;2;24/09/2015;2015/2016
Valencia;Local;1;2;0;0;3;5;0;0;1;0;0;0;0;0;No;1;25/09/2015;2015/2016
Granada;Visitante;0;0;0;2;0;0;0;3;0;0;0;0;0;2;No;1;25/09/2015;2015/2016
Barcelona;Local;2;7;0;0;3;9;0;0;3;0;0;0;0;0;No;1;26/09/2015;2015/2016
Las Palmas;Visitante;0;0;1;4;0;0;0;1;0;0;0;0;0;1;No;1;26/09/2015;2015/2016
Eibar;Local;1;3;0;0;1;4;0;0;0;1;0;0;0;0;No;x;26/09/2015;2015/2016
Celta;Visitante;0;0;1;5;0;0;1;7;0;0;0;0;1;0;No;x;26/09/2015;2015/2016
Real Madrid;Local;0;6;0;0;1;7;0;0;0;1;0;0;0;0;No;x;26/09/2015;2015/2016
Málaga;Visitante;0;0;0;0;0;0;1;1;0;0;0;0;1;0;No;x;26/09/2015;2015/2016
Sevilla;Local;3;4;0;0;3;3;0;0;1;0;0;0;0;0;No;1;26/09/2015;2015/2016
Rayo;Visitante;0;0;2;3;0;0;0;3;0;0;0;0;0;1;Si;1;26/09/2015;2015/2016
Villarreal;Local;1;7;0;0;3;9;0;0;3;0;0;0;0;0;No;1;26/09/2015;2015/2016
Atlético;Visitante;0;0;0;5;0;0;0;6;0;0;0;0;0;1;No;1;26/09/2015;2015/2016
Getafe;Local;3;5;0;0;3;6;0;0;2;0;0;0;0;0;Si;1;27/09/2015;2015/2016
Levante;Visitante;0;0;0;1;0;0;0;1;0;0;0;0;0;2;Si;1;27/09/2015;2015/2016
Deportivo;Local;3;5;0;0;3;4;0;0;1;0;0;0;0;0;No;1;27/09/2015;2015/2016
Espanyol;Visitante;0;0;0;4;0;0;0;3;0;0;0;0;0;1;No;1;27/09/2015;2015/2016
R. Sociedad;Local;0;2;0;0;1;2;0;0;0;1;0;0;0;0;No;x;27/09/2015;2015/2016
Athletic;Visitante;0;0;0;1;0;0;1;1;0;0;0;0;1;0;No;x;27/09/2015;2015/2016
Sporting Gijón;Local;1;1;0;0;0;1;0;0;0;0;2;0;0;0;No;2;27/09/2015;2015/2016
Betis;Visitante;0;0;2;2;0;0;3;4;0;0;0;1;0;0;No;2;27/09/2015;2015/2016
Celta;Local;0;10;0;0;1;8;0;0;0;1;0;0;0;0;No;x;02/10/2015;2015/2016
Getafe;Visitante;0;0;0;1;0;0;1;1;0;0;0;0;1;0;Si;x;02/10/2015;2015/2016
Espanyol;Local;1;3;0;0;0;6;0;0;0;0;1;0;0;0;No;2;03/10/2015;2015/2016
Sporting Gijón;Visitante;0;0;2;6;0;0;3;7;0;0;0;1;0;0;No;2;03/10/2015;2015/2016
Granada;Local;1;3;0;0;1;1;0;0;0;1;0;0;0;0;No;x;03/10/2015;2015/2016
Deportivo;Visitante;0;0;1;7;0;0;1;8;0;0;0;0;1;0;No;x;03/10/2015;2015/2016
Las Palmas;Local;0;2;0;0;0;4;0;0;0;0;1;0;0;0;No;2;03/10/2015;2015/2016
Eibar;Visitante;0;0;2;7;0;0;3;8;0;0;0;1;0;0;No;2;03/10/2015;2015/2016
Málaga;Local;3;3;0;0;3;5;0;0;1;0;0;0;0;0;No;1;03/10/2015;2015/2016
R. Sociedad;Visitante;0;0;1;4;0;0;0;4;0;0;0;0;0;1;No;1;03/10/2015;2015/2016
Sevilla;Local;2;6;0;0;3;6;0;0;2;0;0;0;0;0;No;1;03/10/2015;2015/2016
Barcelona;Visitante;0;0;1;5;0;0;0;6;0;0;0;0;0;2;No;1;03/10/2015;2015/2016
Athletic;Local;3;7;0;0;3;6;0;0;1;0;0;0;0;0;No;1;04/10/2015;2015/2016
Valencia;Visitante;0;0;1;2;0;0;0;4;0;0;0;0;0;2;No;1;04/10/2015;2015/2016
Atlético;Local;1;5;0;0;1;7;0;0;0;1;0;0;0;0;No;x;04/10/2015;2015/2016
Real Madrid;Visitante;0;0;1;9;0;0;1;8;0;0;0;0;1;0;No;x;04/10/2015;2015/2016
Levante;Local;1;5;0;0;3;5;0;0;1;0;0;0;0;0;Si;1;04/10/2015;2015/2016
Villarreal;Visitante;0;0;0;5;0;0;0;7;0;0;0;0;0;1;No;1;04/10/2015;2015/2016
Rayo;Local;0;3;0;0;0;4;0;0;0;0;1;0;0;0;Si;2;04/10/2015;2015/2016
Betis;Visitante;0;0;2;4;0;0;3;7;0;0;0;2;0;0;No;2;04/10/2015;2015/2016
Barcelona;Local;5;12;0;0;3;12;0;0;4;0;0;0;0;0;No;1;17/10/2015;2015/2016
