Equipo;Local/Visitante;Goles_Locales;Suma_Goles_Locales_Acumulados;Goles_Visitantes;Suma_Goles_Visitantes_Acumulados;Puntos_Locales;Puntos_Locales_Acumulados;Puntos_Visitantes;Puntos_Visitantes_Acumulados;Victorias_Locales_Acumuladas;Empates_Locales_Acumulados;Derrotas_Locales_Acumuladas;Victorias_Acumuladas_Visitantes;Empates_Acumulados_Visitantes;Derrotas_Acumuladas_Visitantes;Descenso;Resultados;Fecha;Temporada
Real Madrid;Local;5;7;0;0;3;6;0;0;2;0;0;0;0;0;No;1;10/09/2016;2016/2017
Osasuna;Visitante;0;0;2;3;0;0;0;1;0;0;0;0;0;1;Si;1;10/09/2016;2016/2017
Sevilla;Local;2;8;0;0;3;6;0;0;2;0;0;0;0;0;No;1;10/09/2016;2016/2017
Las Palmas;Visitante;0;0;1;5;0;0;0;3;0;0;0;0;0;1;No;1;10/09/2016;2016/2017
Granada;Local;1;2;0;0;0;1;0;0;0;0;1;0;0;0;Si;2;11/09/2016;2016/2017
Eibar;Visitante;0;0;2;3;0;0;3;3;0;0;0;1;0;0;No;2;11/09/2016;2016/2017
Deportivo;Local;0;2;0;0;0;3;0;0;0;0;1;0;0;0;No;2;11/09/2016;2016/2017
Athletic;Visitante;0;0;1;2;0;0;3;3;0;0;0;1;0;0;No;2;11/09/2016;2016/2017
Sporting Gijón;Local;2;4;0;0;3;6;0;0;2;0;0;0;0;0;Si;1;11/09/2016;2016/2017
Leganés;Visitante;0;0;1;2;0;0;0;3;0;0;0;0;0;1;No;1;11/09/2016;2016/2017
Valencia;Local;2;4;0;0;0;0;0;0;0;0;2;0;0;0;No;2;11/09/2016;2016/2017
Betis;Visitante;0;0;3;5;0;0;3;3;0;0;0;1;0;0;No;2;11/09/2016;2016/2017
Betis;Local;2;2;0;0;1;2;0;0;0;2;0;0;0;0;No;x;16/09/2016;2016/2017
Granada;Visitante;0;0;2;3;0;0;1;1;0;0;0;0;1;0;Si;x;16/09/2016;2016/2017
Atlético;Local;5;6;0;0;3;4;0;0;1;0;0;0;0;0;No;1;17/09/2016;2016/2017
Sporting Gijón;Visitante;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Si;1;17/09/2016;2016/2017
Eibar;Local;1;2;0;0;1;4;0;0;0;1;0;0;0;0;No;x;17/09/2016;2016/2017
Sevilla;Visitante;0;0;1;1;0;0;1;2;0;0;0;0;2;0;No;x;17/09/2016;2016/2017
Las Palmas;Local;1;6;0;0;3;6;0;0;2;0;0;0;0;0;No;1;17/09/2016;2016/2017
Málaga;Visitante;0;0;0;2;0;0;0;1;0;0;0;0;0;1;No;1;17/09/2016;2016/2017
Leganés;Local;1;1;0;0;0;1;0;0;0;0;1;0;0;0;No;2;17/09/2016;2016/2017
Barcelona;Visitante;0;0;5;6;0;0;3;6;0;0;0;2;0;0;No;2;17/09/2016;2016/2017
Athletic;Local;2;2;0;0;3;3;0;0;1;0;0;0;0;0;No;1;18/09/2016;2016/2017
Valencia;Visitante;0;0;1;1;0;0;0;0;0;0;0;0;0;2;No;1;18/09/2016;2016/2017
Espanyol;Local;0;2;0;0;0;1;0;0;0;0;1;0;0;0;No;2;18/09/2016;2016/2017
Real Madrid;Visitante;0;0;2;5;0;0;3;6;0;0;0;2;0;0;No;2;18/09/2016;2016/2017
Osasuna;Local;0;0;0;0;1;1;0;0;0;1;0;0;0;0;Si;x;18/09/2016;2016/2017
Celta;Visitante;0;0;0;1;0;0;1;1;0;0;0;0;1;0;No;x;18/09/2016;2016/2017
Villarreal;Local;2;2;0;0;3;4;0;0;1;0;0;0;0;0;No;1;18/09/2016;2016/2017
R. Sociedad;Visitante;0;0;1;3;0;0;0;3;0;0;0;0;0;1;No;1;18/09/2016;2016/2017
Alavés;Local;0;0;0;0;1;2;0;0;0;2;0;0;0;0;No;x;19/09/2016;2016/2017
Deportivo;Visitante;0;0;0;0;0;0;1;2;0;0;0;0;2;0;No;x;19/09/2016;2016/2017
Málaga;Local;2;3;0;0;3;4;0;0;1;0;0;0;0;0;No;1;20/09/2016;2016/2017
Eibar;Visitante;0;0;1;4;0;0;0;3;0;0;0;0;0;1;No;1;20/09/2016;2016/2017
Sevilla;Local;1;9;0;0;3;9;0;0;3;0;0;0;0;0;No;1;20/09/2016;2016/2017
Betis;Visitante;0;0;0;5;0;0;0;3;0;0;0;0;0;1;No;1;20/09/2016;2016/2017
Barcelona;Local;1;8;0;0;1;4;0;0;0;1;0;0;0;0;No;x;21/09/2016;2016/2017
Atlético;Visitante;0;0;1;4;0;0;1;5;0;0;0;0;1;0;No;x;21/09/2016;2016/2017
Celta;Local;2;2;0;0;3;3;0;0;1;0;0;0;0;0;No;1;21/09/2016;2016/2017
Sporting Gijón;Visitante;0;0;1;1;0;0;0;1;0;0;0;0;0;2;Si;1;21/09/2016;2016/2017
Granada;Local;1;3;0;0;0;1;0;0;0;0;2;0;0;0;Si;2;21/09/2016;2016/2017
Athletic;Visitante;0;0;2;4;0;0;3;6;0;0;0;2;0;0;No;2;21/09/2016;2016/2017
Real Madrid;Local;1;8;0;0;1;7;0;0;0;1;0;0;0;0;No;x;21/09/2016;2016/2017
Villarreal;Visitante;0;0;1;4;0;0;1;5;0;0;0;0;1;0;No;x;21/09/2016;2016/2017
R. Sociedad;Local;4;5;0;0;3;4;0;0;1;0;0;0;0;0;No;1;21/09/2016;2016/2017
Las Palmas;Visitante;0;0;1;6;0;0;0;3;0;0;0;0;0;2;No;1;21/09/2016;2016/2017
Deportivo;Local;1;3;0;0;0;3;0;0;0;0;2;0;0;0;No;2;22/09/2016;2016/2017
Leganés;Visitante;0;0;2;4;0;0;3;6;0;0;0;1;0;0;No;2;22/09/2016;2016/2017
Osasuna;Local;1;1;0;0;0;1;0;0;0;0;1;0;0;0;Si;2;22/09/2016;2016/2017
Espanyol;Visitante;0;0;2;7;0;0;3;4;0;0;0;1;0;0;No;2;22/09/2016;2016/2017
Valencia;Local;2;6;0;0;3;3;0;0;1;0;0;0;0;0;No;1;22/09/2016;2016/2017
Alavés;Visitante;0;0;1;4;0;0;0;4;0;0;0;0;0;1;No;1;22/09/2016;2016/2017
Betis;Local;1;3;0;0;3;5;0;0;1;0;0;0;0;0;No;1;23/09/2016;2016/2017
Málaga;Visitante;0;0;0;2;0;0;0;1;0;0;0;0;0;2;No;1;23/09/2016;2016/2017
Athletic;Local;3;5;0;0;3;6;0;0;2;0;0;0;0;0;No;1;24/09/2016;2016/2017
Sevilla;Visitante;0;0;1;2;0;0;0;2;0;0;0;0;0;1;No;1;24/09/2016;2016/2017
Eibar;Local;2;4;0;0;3;7;0;0;1;0;0;0;0;0;No;1;24/09/2016;2016/2017
R. Sociedad;Visitante;0;0;0;3;0;0;0;3;0;0;0;0;0;2;No;1;24/09/2016;2016/2017
Las Palmas;Local;2;8;0;0;1;7;0;0;0;1;0;0;0;0;No;x;24/09/2016;2016/2017
Real Madrid;Visitante;0;0;2;7;0;0;1;7;0;0;0;0;1;0;No;x;24/09/2016;2016/2017
Sporting Gijón;Local;0;4;0;0;0;6;0;0;0;0;1;0;0;0;Si;2;24/09/2016;2016/2017
Barcelona;Visitante;0;0;5;11;0;0;3;9;0;0;0;3;0;0;No;2;24/09/2016;2016/2017
Atlético;Local;1;7;0;0;3;7;0;0;2;0;0;0;0;0;No;1;25/09/2016;2016/2017
Deportivo;Visitante;0;0;0;0;0;0;0;2;0;0;0;0;0;1;No;1;25/09/2016;2016/2017
Espanyol;Local;0;2;0;0;0;1;0;0;0;0;2;0;0;0;No;2;25/09/2016;2016/2017
Celta;Visitante;0;0;2;3;0;0;3;4;0;0;0;1;0;0;No;2;25/09/2016;2016/2017
Leganés;Local;1;2;0;0;0;1;0;0;0;0;2;0;0;0;No;2;25/09/2016;2016/2017
Valencia;Visitante;0;0;2;3;0;0;3;3;0;0;0;1;0;0;No;2;25/09/2016;2016/2017
Villarreal;Local;3;5;0;0;3;7;0;0;2;0;0;0;0;0;No;1;25/09/2016;2016/2017
Osasuna;Visitante;0;0;1;4;0;0;0;1;0;0;0;0;0;2;Si;1;25/09/2016;2016/2017
Alavés;Local;3;3;0;0;3;5;0;0;1;0;0;0;0;0;No;1;26/09/2016;2016/2017
Granada;Visitante;0;0;1;4;0;0;0;1;0;0;0;0;0;1;Si;1;26/09/2016;2016/2017
R. Sociedad;Local;1;6;0;0;3;7;0;0;2;0;0;0;0;0;No;1;30/09/2016;2016/2017
Betis;Visitante;0;0;0;5;0;0;0;3;0;0;0;0;0;2;No;1;30/09/2016;2016/2017
Granada;Local;0;3;0;0;0;1;0;0;0;0;3;0;0;0;Si;2;01/10/2016;2016/2017
Leganés;Visitante;0;0;1;5;0;0;3;9;0;0;0;2;0;0;No;2;01/10/2016;2016/2017
Deportivo;Local;2;5;0;0;3;6;0;0;1;0;0;0;0;0;No;1;01/10/2016;2016/2017
Sporting Gijón;Visitante;0;0;1;2;0;0;0;1;0;0;0;0;0;3;Si;1;01/10/2016;2016/2017
Osasuna;Local;2;3;0;0;1;2;0;0;0;1;0;0;0;0;Si;x;01/10/2016;2016/2017
Las Palmas;Visitante;0;0;2;8;0;0;1;4;0;0;0;0;1;0;No;x;01/10/2016;2016/2017
Sevilla;Local;2;11;0;0;3;12;0;0;4;0;0;0;0;0;No;1;01/10/2016;2016/2017
Alavés;Visitante;0;0;1;5;0;0;0;4;0;0;0;0;0;2;No;1;01/10/2016;2016/2017
Celta;Local;4;6;0;0;3;6;0;0;2;0;0;0;0;0;No;1;02/10/2016;2016/2017
Barcelona;Visitante;0;0;3;14;0;0;0;9;0;0;0;0;0;1;No;1;02/10/2016;2016/2017
Espanyol;Local;0;2;0;0;1;2;0;0;0;1;0;0;0;0;No;x;02/10/2016;2016/2017
Villarreal;Visitante;0;0;0;4;0;0;1;6;0;0;0;0;2;0;No;x;02/10/2016;2016/2017
Málaga;Local;2;5;0;0;3;7;0;0;2;0;0;0;0;0;No;1;02/10/2016;2016/2017
Athletic;Visitante;0;0;1;5;0;0;0;6;0;0;0;0;0;1;No;1;02/10/2016;2016/2017
Real Madrid;Local;1;9;0;0;1;8;0;0;0;2;0;0;0;0;No;x;02/10/2016;2016/2017
Eibar;Visitante;0;0;1;5;0;0;1;4;0;0;0;0;1;0;No;x;02/10/2016;2016/2017
Valencia;Local;0;6;0;0;0;3;0;0;0;0;1;0;0;0;No;2;02/10/2016;2016/2017
Atlético;Visitante;0;0;2;5;0;0;3;8;0;0;0;1;0;0;No;2;02/10/2016;2016/2017
Las Palmas;Local;0;8;0;0;1;8;0;0;0;2;0;0;0;0;No;x;14/10/2016;2016/2017
Espanyol;Visitante;0;0;0;7;0;0;1;5;0;0;0;0;1;0;No;x;14/10/2016;2016/2017
Atlético;Local;7;14;0;0;3;10;0;0;3;0;0;0;0;0;No;1;15/10/2016;2016/2017
Granada;Visitante;0;0;1;5;0;0;0;1;0;0;0;0;0;2;Si;1;15/10/2016;2016/2017
Barcelona;Local;4;12;0;0;3;7;0;0;1;0;0;0;0;0;No;1;15/10/2016;2016/2017
Deportivo;Visitante;0;0;0;0;0;0;0;2;0;0;0;0;0;2;No;1;15/10/2016;2016/2017
Betis;Local;1;4;0;0;0;5;0;0;0;0;1;0;0;0;No;2;15/10/2016;2016/2017
Real Madrid;Visitante;0;0;6;13;0;0;3;10;0;0;0;1;0;0;No;2;15/10/2016;2016/2017
Leganés;Local;2;4;0;0;0;1;0;0;0;0;3;0;0;0;No;2;15/10/2016;2016/2017
Sevilla;Visitante;0;0;3;5;0;0;3;5;0;0;0;1;0;0;No;2;15/10/2016;2016/2017
Alavés;Local;1;4;0;0;1;6;0;0;0;1;0;0;0;0;No;x;16/10/2016;2016/2017
Málaga;Visitante;0;0;1;3;0;0;1;2;0;0;0;0;1;0;No;x;16/10/2016;2016/2017
Athletic;Local;3;8;0;0;3;9;0;0;3;0;0;0;0;0;No;1;16/10/2016;2016/2017
R. Sociedad;Visitante;0;0;2;5;0;0;0;3;0;0;0;0;0;3;No;1;16/10/2016;2016/2017
Sporting Gijón;Local;1;5;0;0;0;6;0;0;0;0;2;0;0;0;Si;2;16/10/2016;2016/2017
Valencia;Visitante;0;0;2;5;0;0;3;6;0;0;0;2;0;0;No;2;16/10/2016;2016/2017
Villarreal;Local;5;10;0;0;3;10;0;0;3;0;0;0;0;0;No;1;16/10/2016;2016/2017
Celta;Visitante;0;0;0;3;0;0;0;4;0;0;0;0;0;1;No;1;16/10/2016;2016/2017
Eibar;Local;2;6;0;0;0;7;0;0;0;0;1;0;0;0;No;2;17/10/2016;2016/2017
Osasuna;Visitante;0;0;3;7;0;0;3;3;0;0;0;1;0;0;Si;2;17/10/2016;2016/2017
Osasuna;Local;1;4;0;0;0;2;0;0;0;0;1;0;0;0;Si;2;21/10/2016;2016/2017
Betis;Visitante;0;0;2;7;0;0;3;6;0;0;0;1;0;0;No;2;21/10/2016;2016/2017
Espanyol;Local;3;5;0;0;1;3;0;0;0;2;0;0;0;0;No;x;22/10/2016;2016/2017
Eibar;Visitante;0;0;3;8;0;0;1;5;0;0;0;0;2;0;No;x;22/10/2016;2016/2017
Granada;Local;0;3;0;0;1;2;0;0;0;1;0;0;0;0;Si;x;22/10/2016;2016/2017
Sporting Gijón;Visitante;0;0;0;2;0;0;1;2;0;0;0;0;1;0;Si;x;22/10/2016;2016/2017
R. Sociedad;Local;3;9;0;0;3;10;0;0;3;0;0;0;0;0;No;1;22/10/2016;2016/2017
Alavés;Visitante;0;0;0;5;0;0;0;4;0;0;0;0;0;3;No;1;22/10/2016;2016/2017
Valencia;Local;2;8;0;0;0;3;0;0;0;0;2;0;0;0;No;2;22/10/2016;2016/2017
Barcelona;Visitante;0;0;3;17;0;0;3;12;0;0;0;1;0;0;No;2;22/10/2016;2016/2017
Celta;Local;4;10;0;0;3;9;0;0;3;0;0;0;0;0;No;1;23/10/2016;2016/2017
Deportivo;Visitante;0;0;1;1;0;0;0;2;0;0;0;0;0;3;No;1;23/10/2016;2016/2017
Málaga;Local;4;9;0;0;3;10;0;0;3;0;0;0;0;0;No;1;23/10/2016;2016/2017
Leganés;Visitante;0;0;0;5;0;0;0;9;0;0;0;0;0;1;No;1;23/10/2016;2016/2017
Real Madrid;Local;2;11;0;0;3;11;0;0;1;0;0;0;0;0;No;1;23/10/2016;2016/2017
Athletic;Visitante;0;0;1;6;0;0;0;6;0;0;0;0;0;2;No;1;23/10/2016;2016/2017
Sevilla;Local;1;12;0;0;3;15;0;0;5;0;0;0;0;0;No;1;23/10/2016;2016/2017
Atlético;Visitante;0;0;0;7;0;0;0;8;0;0;0;0;0;1;No;1;23/10/2016;2016/2017
Villarreal;Local;2;12;0;0;3;13;0;0;4;0;0;0;0;0;No;1;23/10/2016;2016/2017
Las Palmas;Visitante;0;0;1;9;0;0;0;4;0;0;0;0;0;1;No;1;23/10/2016;2016/2017
Leganés;Local;0;4;0;0;0;1;0;0;0;0;4;0;0;0;No;2;28/10/2016;2016/2017
R. Sociedad;Visitante;0;0;2;7;0;0;3;6;0;0;0;1;0;0;No;2;28/10/2016;2016/2017
Alavés;Local;1;5;0;0;0;6;0;0;0;0;1;0;0;0;No;2;29/10/2016;2016/2017
Real Madrid;Visitante;0;0;4;17;0;0;3;13;0;0;0;2;0;0;No;2;29/10/2016;2016/2017
Atlético;Local;4;18;0;0;3;13;0;0;4;0;0;0;0;0;No;1;29/10/2016;2016/2017
Málaga;Visitante;0;0;2;5;0;0;0;2;0;0;0;0;0;1;No;1;29/10/2016;2016/2017
Barcelona;Local;1;13;0;0;3;10;0;0;2;0;0;0;0;0;No;1;29/10/2016;2016/2017
Granada;Visitante;0;0;0;5;0;0;0;1;0;0;0;0;0;3;Si;1;29/10/2016;2016/2017
Sporting Gijón;Local;1;6;0;0;1;7;0;0;0;1;0;0;0;0;Si;x;29/10/2016;2016/2017
Sevilla;Visitante;0;0;1;6;0;0;1;6;0;0;0;0;1;0;No;x;29/10/2016;2016/2017
Athletic;Local;1;9;0;0;1;10;0;0;0;1;0;0;0;0;No;x;30/10/2016;2016/2017
Osasuna;Visitante;0;0;1;8;0;0;1;4;0;0;0;0;1;0;Si;x;30/10/2016;2016/2017
Betis;Local;0;4;0;0;0;5;0;0;0;0;2;0;0;0;No;2;30/10/2016;2016/2017
Espanyol;Visitante;0;0;1;8;0;0;3;8;0;0;0;1;0;0;No;2;30/10/2016;2016/2017
Eibar;Local;2;8;0;0;3;10;0;0;1;0;0;0;0;0;No;1;30/10/2016;2016/2017
Villarreal;Visitante;0;0;1;5;0;0;0;6;0;0;0;0;0;1;No;1;30/10/2016;2016/2017
Las Palmas;Local;3;11;0;0;1;9;0;0;0;3;0;0;0;0;No;x;30/10/2016;2016/2017
Celta;Visitante;0;0;3;6;0;0;1;5;0;0;0;0;1;0;No;x;30/10/2016;2016/2017
Deportivo;Local;1;6;0;0;1;7;0;0;0;1;0;0;0;0;No;x;31/10/2016;2016/2017
Valencia;Visitante;0;0;1;6;0;0;1;7;0;0;0;0;1;0;No;x;31/10/2016;2016/2017
Málaga;Local;3;12;0;0;3;13;0;0;4;0;0;0;0;0;No;1;04/11/2016;2016/2017
Sporting Gijón;Visitante;0;0;2;4;0;0;0;2;0;0;0;0;0;1;Si;1;04/11/2016;2016/2017
Granada;Local;1;4;0;0;1;3;0;0;0;2;0;0;0;0;Si;x;05/11/2016;2016/2017
Deportivo;Visitante;0;0;1;2;0;0;1;3;0;0;0;0;1;0;No;x;05/11/2016;2016/2017
Las Palmas;Local;1;12;0;0;3;12;0;0;1;0;0;0;0;0;No;1;05/11/2016;2016/2017
Eibar;Visitante;0;0;0;8;0;0;0;5;0;0;0;0;0;1;No;1;05/11/2016;2016/2017
Osasuna;Local;0;4;0;0;0;2;0;0;0;0;2;0;0;0;Si;2;05/11/2016;2016/2017
Alavés;Visitante;0;0;1;6;0;0;3;7;0;0;0;1;0;0;No;2;05/11/2016;2016/2017
R. Sociedad;Local;2;11;0;0;3;13;0;0;4;0;0;0;0;0;No;1;05/11/2016;2016/2017
Atlético;Visitante;0;0;0;7;0;0;0;8;0;0;0;0;0;2;No;1;05/11/2016;2016/2017
Celta;Local;2;12;0;0;3;12;0;0;4;0;0;0;0;0;No;1;06/11/2016;2016/2017
Valencia;Visitante;0;0;1;7;0;0;0;7;0;0;0;0;0;1;No;1;06/11/2016;2016/2017
Espanyol;Local;0;5;0;0;1;4;0;0;0;3;0;0;0;0;No;x;06/11/2016;2016/2017
Athletic;Visitante;0;0;0;6;0;0;1;7;0;0;0;0;1;0;No;x;06/11/2016;2016/2017
Real Madrid;Local;3;14;0;0;3;14;0;0;2;0;0;0;0;0;No;1;06/11/2016;2016/2017
Leganés;Visitante;0;0;0;5;0;0;0;9;0;0;0;0;0;2;No;1;06/11/2016;2016/2017
Sevilla;Local;1;13;0;0;0;15;0;0;0;0;1;0;0;0;No;2;06/11/2016;2016/2017
Barcelona;Visitante;0;0;2;19;0;0;3;15;0;0;0;2;0;0;No;2;06/11/2016;2016/2017
Villarreal;Local;2;14;0;0;3;16;0;0;5;0;0;0;0;0;No;1;06/11/2016;2016/2017
Betis;Visitante;0;0;0;7;0;0;0;6;0;0;0;0;0;1;No;1;06/11/2016;2016/2017
Betis;Local;2;6;0;0;3;8;0;0;1;0;0;0;0;0;No;1;18/11/2016;2016/2017
Las Palmas;Visitante;0;0;0;9;0;0;0;4;0;0;0;0;0;2;No;1;18/11/2016;2016/2017
Atlético;Local;0;18;0;0;0;13;0;0;0;0;1;0;0;0;No;2;19/11/2016;2016/2017
Real Madrid;Visitante;0;0;3;20;0;0;3;16;0;0;0;3;0;0;No;2;19/11/2016;2016/2017
Barcelona;Local;0;13;0;0;1;11;0;0;0;1;0;0;0;0;No;x;19/11/2016;2016/2017
Málaga;Visitante;0;0;0;5;0;0;1;3;0;0;0;0;1;0;No;x;19/11/2016;2016/2017
Eibar;Local;1;9;0;0;3;13;0;0;2;0;0;0;0;0;No;1;19/11/2016;2016/2017
Celta;Visitante;0;0;0;6;0;0;0;5;0;0;0;0;0;1;No;1;19/11/2016;2016/2017
Deportivo;Local;2;8;0;0;0;7;0;0;0;0;1;0;0;0;No;2;19/11/2016;2016/2017
Sevilla;Visitante;0;0;3;9;0;0;3;9;0;0;0;1;0;0;No;2;19/11/2016;2016/2017
Alavés;Local;0;5;0;0;0;6;0;0;0;0;2;0;0;0;No;2;20/11/2016;2016/2017
Espanyol;Visitante;0;0;1;9;0;0;3;11;0;0;0;2;0;0;No;2;20/11/2016;2016/2017
Athletic;Local;1;10;0;0;3;13;0;0;1;0;0;0;0;0;No;1;20/11/2016;2016/2017
Villarreal;Visitante;0;0;0;5;0;0;0;6;0;0;0;0;0;2;No;1;20/11/2016;2016/2017
Sporting Gijón;Local;1;7;0;0;0;7;0;0;0;0;1;0;0;0;Si;2;20/11/2016;2016/2017
R. Sociedad;Visitante;0;0;3;10;0;0;3;9;0;0;0;2;0;0;No;2;20/11/2016;2016/2017
Valencia;Local;1;9;0;0;1;4;0;0;0;1;0;0;0;0;No;x;20/11/2016;2016/2017
Granada;Visitante;0;0;1;6;0;0;1;2;0;0;0;0;1;0;Si;x;20/11/2016;2016/2017
Leganés;Local;2;6;0;0;3;4;0;0;1;0;0;0;0;0;No;1;21/11/2016;2016/2017
Osasuna;Visitante;0;0;0;8;0;0;0;4;0;0;0;0;0;1;Si;1;21/11/2016;2016/2017
Eibar;Local;3;12;0;0;3;16;0;0;3;0;0;0;0;0;No;1;25/11/2016;2016/2017
Betis;Visitante;0;0;1;8;0;0;0;6;0;0;0;0;0;2;No;1;25/11/2016;2016/2017
Espanyol;Local;3;8;0;0;3;7;0;0;1;0;0;0;0;0;No;1;26/11/2016;2016/2017
Leganés;Visitante;0;0;0;5;0;0;0;9;0;0;0;0;0;3;No;1;26/11/2016;2016/2017
Málaga;Local;4;16;0;0;3;16;0;0;5;0;0;0;0;0;No;1;26/11/2016;2016/2017
Deportivo;Visitante;0;0;3;5;0;0;0;3;0;0;0;0;0;1;No;1;26/11/2016;2016/2017
Real Madrid;Local;2;16;0;0;3;17;0;0;3;0;0;0;0;0;No;1;26/11/2016;2016/2017
Sporting Gijón;Visitante;0;0;1;5;0;0;0;2;0;0;0;0;0;2;Si;1;26/11/2016;2016/2017
Sevilla;Local;2;15;0;0;3;18;0;0;1;0;0;0;0;0;No;1;26/11/2016;2016/2017
Valencia;Visitante;0;0;1;8;0;0;0;7;0;0;0;0;0;2;No;1;26/11/2016;2016/2017
Celta;Local;3;15;0;0;3;15;0;0;5;0;0;0;0;0;No;1;27/11/2016;2016/2017
Granada;Visitante;0;0;1;7;0;0;0;2;0;0;0;0;0;1;Si;1;27/11/2016;2016/2017
Osasuna;Local;0;4;0;0;0;2;0;0;0;0;3;0;0;0;Si;2;27/11/2016;2016/2017
Atlético;Visitante;0;0;3;10;0;0;3;11;0;0;0;1;0;0;No;2;27/11/2016;2016/2017
R. Sociedad;Local;1;12;0;0;1;14;0;0;0;1;0;0;0;0;No;x;27/11/2016;2016/2017
Barcelona;Visitante;0;0;1;20;0;0;1;16;0;0;0;0;1;0;No;x;27/11/2016;2016/2017
Villarreal;Local;0;14;0;0;0;16;0;0;0;0;1;0;0;0;No;2;27/11/2016;2016/2017
Alavés;Visitante;0;0;2;8;0;0;3;10;0;0;0;2;0;0;No;2;27/11/2016;2016/2017
Las Palmas;Local;3;15;0;0;3;15;0;0;2;0;0;0;0;0;No;1;28/11/2016;2016/2017
Athletic;Visitante;0;0;1;7;0;0;0;7;0;0;0;0;0;1;No;1;28/11/2016;2016/2017
Atlético;Local;0;18;0;0;1;14;0;0;0;1;0;0;0;0;No;x;03/12/2016;2016/2017
Espanyol;Visitante;0;0;0;9;0;0;1;12;0;0;0;0;1;0;No;x;03/12/2016;2016/2017
Barcelona;Local;1;14;0;0;1;12;0;0;0;2;0;0;0;0;No;x;03/12/2016;2016/2017
Real Madrid;Visitante;0;0;1;21;0;0;1;17;0;0;0;0;1;0;No;x;03/12/2016;2016/2017
Granada;Local;2;6;0;0;3;6;0;0;1;0;0;0;0;0;Si;1;03/12/2016;2016/2017
Sevilla;Visitante;0;0;1;10;0;0;0;9;0;0;0;0;0;1;No;1;03/12/2016;2016/2017
Leganés;Local;0;6;0;0;1;5;0;0;0;1;0;0;0;0;No;x;03/12/2016;2016/2017
Villarreal;Visitante;0;0;0;5;0;0;1;7;0;0;0;0;1;0;No;x;03/12/2016;2016/2017
Alavés;Local;1;6;0;0;1;7;0;0;0;1;0;0;0;0;No;x;04/12/2016;2016/2017
Las Palmas;Visitante;0;0;1;10;0;0;1;5;0;0;0;0;1;0;No;x;04/12/2016;2016/2017
Athletic;Local;3;13;0;0;3;16;0;0;2;0;0;0;0;0;No;1;04/12/2016;2016/2017
Eibar;Visitante;0;0;1;9;0;0;0;5;0;0;0;0;0;2;No;1;04/12/2016;2016/2017
Betis;Local;3;9;0;0;1;9;0;0;0;1;0;0;0;0;No;x;04/12/2016;2016/2017
Celta;Visitante;0;0;3;9;0;0;1;6;0;0;0;0;1;0;No;x;04/12/2016;2016/2017
Sporting Gijón;Local;3;10;0;0;3;10;0;0;1;0;0;0;0;0;Si;1;04/12/2016;2016/2017
Osasuna;Visitante;0;0;1;9;0;0;0;4;0;0;0;0;0;2;Si;1;04/12/2016;2016/2017
Valencia;Local;2;11;0;0;1;5;0;0;0;2;0;0;0;0;No;x;04/12/2016;2016/2017
Málaga;Visitante;0;0;2;7;0;0;1;4;0;0;0;0;2;0;No;x;04/12/2016;2016/2017
Deportivo;Local;5;13;0;0;3;10;0;0;1;0;0;0;0;0;No;1;05/12/2016;2016/2017
R. Sociedad;Visitante;0;0;1;11;0;0;0;9;0;0;0;0;0;1;No;1;05/12/2016;2016/2017
Málaga;Local;1;17;0;0;1;17;0;0;0;1;0;0;0;0;No;x;09/12/2016;2016/2017
Granada;Visitante;0;0;1;8;0;0;1;3;0;0;0;0;1;0;Si;x;09/12/2016;2016/2017
Las Palmas;Local;1;16;0;0;1;16;0;0;0;1;0;0;0;0;No;x;10/12/2016;2016/2017
Leganés;Visitante;0;0;1;6;0;0;1;10;0;0;0;0;1;0;No;x;10/12/2016;2016/2017
Osasuna;Local;0;4;0;0;0;2;0;0;0;0;4;0;0;0;Si;2;10/12/2016;2016/2017
Barcelona;Visitante;0;0;3;23;0;0;3;19;0;0;0;1;0;0;No;2;10/12/2016;2016/2017
Real Madrid;Local;3;19;0;0;3;20;0;0;4;0;0;0;0;0;No;1;10/12/2016;2016/2017
Deportivo;Visitante;0;0;2;7;0;0;0;3;0;0;0;0;0;2;No;1;10/12/2016;2016/2017
R. Sociedad;Local;3;15;0;0;3;17;0;0;1;0;0;0;0;0;No;1;10/12/2016;2016/2017
Valencia;Visitante;0;0;2;10;0;0;0;7;0;0;0;0;0;3;No;1;10/12/2016;2016/2017
Betis;Local;1;10;0;0;3;12;0;0;1;0;0;0;0;0;No;1;11/12/2016;2016/2017
Athletic;Visitante;0;0;0;7;0;0;0;7;0;0;0;0;0;2;No;1;11/12/2016;2016/2017
Celta;Local;0;15;0;0;0;15;0;0;0;0;1;0;0;0;No;2;11/12/2016;2016/2017
Sevilla;Visitante;0;0;3;13;0;0;3;12;0;0;0;1;0;0;No;2;11/12/2016;2016/2017
Eibar;Local;0;12;0;0;1;17;0;0;0;1;0;0;0;0;No;x;11/12/2016;2016/2017
Alavés;Visitante;0;0;0;8;0;0;1;11;0;0;0;0;1;0;No;x;11/12/2016;2016/2017
Espanyol;Local;2;10;0;0;3;10;0;0;2;0;0;0;0;0;No;1;11/12/2016;2016/2017
Sporting Gijón;Visitante;0;0;1;6;0;0;0;2;0;0;0;0;0;3;Si;1;11/12/2016;2016/2017
