Equipo;Local/Visitante;Goles_Locales;Suma_Goles_Locales_Acumulados;Goles_Visitantes;Suma_Goles_Visitantes_Acumulados;Resultados;Fecha;Temporada
Málaga;Local;0;0;0;0;x;21/08/2015;2015/2016
Sevilla;Visitante;0;0;0;0;x;21/08/2015;2015/2016
Atlético;Local;1;1;0;0;1;22/08/2015;2015/2016
Las Palmas;Visitante;0;0;0;0;1;22/08/2015;2015/2016
Espanyol;Local;1;1;0;0;1;22/08/2015;2015/2016
Getafe;Visitante;0;0;0;0;1;22/08/2015;2015/2016
Deportivo;Local;0;0;0;0;x;22/08/2015;2015/2016
R. Sociedad;Visitante;0;0;0;0;x;22/08/2015;2015/2016
Rayo;Local;0;0;0;0;x;22/08/2015;2015/2016
Valencia;Visitante;0;0;0;0;x;22/08/2015;2015/2016
Athletic;Local;0;0;0;0;2;23/08/2015;2015/2016
Barcelona;Visitante;0;0;1;1;2;23/08/2015;2015/2016
Betis;Local;1;1;0;0;x;23/08/2015;2015/2016
Villarreal;Visitante;0;0;1;1;x;23/08/2015;2015/2016
Levante;Local;1;1;0;0;2;23/08/2015;2015/2016
Celta;Visitante;0;0;2;2;2;23/08/2015;2015/2016
Sporting Gijón;Local;0;0;0;0;x;23/08/2015;2015/2016
Real Madrid;Visitante;0;0;0;0;x;23/08/2015;2015/2016
Granada;Local;1;1;0;0;2;24/08/2015;2015/2016
Eibar;Visitante;0;0;3;3;2;24/08/2015;2015/2016
Villarreal;Local;3;3;0;0;1;28/08/2015;2015/2016
Espanyol;Visitante;0;0;1;1;1;28/08/2015;2015/2016
Barcelona;Local;1;1;0;0;1;29/08/2015;2015/2016
Málaga;Visitante;0;0;0;0;1;29/08/2015;2015/2016
Celta;Local;3;3;0;0;1;29/08/2015;2015/2016
Rayo;Visitante;0;0;0;0;1;29/08/2015;2015/2016
Real Madrid;Local;5;5;0;0;1;29/08/2015;2015/2016
Betis;Visitante;0;0;0;0;1;29/08/2015;2015/2016
R. Sociedad;Local;0;0;0;0;x;29/08/2015;2015/2016
Sporting Gijón;Visitante;0;0;0;0;x;29/08/2015;2015/2016
Eibar;Local;2;2;0;0;1;30/08/2015;2015/2016
Athletic;Visitante;0;0;0;0;1;30/08/2015;2015/2016
Getafe;Local;1;1;0;0;2;30/08/2015;2015/2016
Granada;Visitante;0;0;2;0;2;30/08/2015;2015/2016
Las Palmas;Local;0;0;0;0;x;30/08/2015;2015/2016
Levante;Visitante;0;0;0;0;x;30/08/2015;2015/2016
Sevilla;Local;0;0;0;0;2;30/08/2015;2015/2016
Atlético;Visitante;0;0;3;3;2;30/08/2015;2015/2016
Valencia;Local;1;1;0;0;x;30/08/2015;2015/2016
Deportivo;Visitante;0;0;1;1;x;30/08/2015;2015/2016
Levante;Local;1;2;0;0;x;11/09/2015;2015/2016
Sevilla;Visitante;0;0;1;1;x;11/09/2015;2015/2016
Atlético;Local;1;2;0;0;2;12/09/2015;2015/2016
Barcelona;Visitante;0;0;2;3;2;12/09/2015;2015/2016
Betis;Local;1;2;0;0;1;12/09/2015;2015/2016
R. Sociedad;Visitante;0;0;0;0;1;12/09/2015;2015/2016
Espanyol;Local;0;1;0;0;2;12/09/2015;2015/2016
Real Madrid;Visitante;0;0;6;6;2;12/09/2015;2015/2016
Sporting Gijón;Local;0;0;0;0;2;12/09/2015;2015/2016
Valencia;Visitante;0;0;1;1;2;12/09/2015;2015/2016
Athletic;Local;3;3;0;0;1;13/09/2015;2015/2016
Getafe;Visitante;0;0;1;1;1;13/09/2015;2015/2016
Celta;Local;3;6;0;0;x;13/09/2015;2015/2016
Las Palmas;Visitante;0;0;3;3;x;13/09/2015;2015/2016
Granada;Local;1;2;0;0;2;13/09/2015;2015/2016
Villarreal;Visitante;0;0;3;4;2;13/09/2015;2015/2016
Málaga;Local;0;0;0;0;x;13/09/2015;2015/2016
Eibar;Visitante;0;0;0;3;x;13/09/2015;2015/2016
Rayo;Local;1;1;0;0;2;14/09/2015;2015/2016
Deportivo;Visitante;0;0;3;4;2;14/09/2015;2015/2016
Getafe;Local;1;2;0;0;1;18/09/2015;2015/2016
Málaga;Visitante;0;0;0;0;1;18/09/2015;2015/2016
Eibar;Local;0;2;0;0;2;19/09/2015;2015/2016
Atlético;Visitante;0;0;2;5;2;19/09/2015;2015/2016
Real Madrid;Local;1;6;0;0;1;19/09/2015;2015/2016
Granada;Visitante;0;0;0;2;1;19/09/2015;2015/2016
R. Sociedad;Local;2;2;0;0;2;19/09/2015;2015/2016
Espanyol;Visitante;0;0;3;4;2;19/09/2015;2015/2016
Valencia;Local;0;1;0;0;x;19/09/2015;2015/2016
Betis;Visitante;0;0;0;0;x;19/09/2015;2015/2016
Barcelona;Local;4;5;0;0;1;20/09/2015;2015/2016
Levante;Visitante;0;0;1;1;1;20/09/2015;2015/2016
Deportivo;Local;2;2;0;0;2;20/09/2015;2015/2016
Sporting Gijón;Visitante;0;0;3;3;2;20/09/2015;2015/2016
Las Palmas;Local;0;0;0;0;2;20/09/2015;2015/2016
Rayo;Visitante;0;0;1;1;2;20/09/2015;2015/2016
Sevilla;Local;1;1;0;0;2;20/09/2015;2015/2016
Celta;Visitante;0;0;2;4;2;20/09/2015;2015/2016
Villarreal;Local;3;6;0;0;1;20/09/2015;2015/2016
Athletic;Visitante;0;0;1;1;1;20/09/2015;2015/2016
Atlético;Local;2;4;0;0;1;22/09/2015;2015/2016
Getafe;Visitante;0;0;0;1;1;22/09/2015;2015/2016
Espanyol;Local;1;2;0;0;1;22/09/2015;2015/2016
Valencia;Visitante;0;0;0;1;1;22/09/2015;2015/2016
Granada;Local;0;2;0;0;2;22/09/2015;2015/2016
R. Sociedad;Visitante;0;0;3;3;2;22/09/2015;2015/2016
Athletic;Local;1;4;0;0;2;23/09/2015;2015/2016
Real Madrid;Visitante;0;0;2;8;2;23/09/2015;2015/2016
Celta;Local;4;10;0;0;1;23/09/2015;2015/2016
Barcelona;Visitante;0;0;1;4;1;23/09/2015;2015/2016
Las Palmas;Local;2;2;0;0;1;23/09/2015;2015/2016
Sevilla;Visitante;0;0;0;1;1;23/09/2015;2015/2016
Levante;Local;2;4;0;0;x;23/09/2015;2015/2016
Eibar;Visitante;0;0;2;5;x;23/09/2015;2015/2016
Málaga;Local;0;0;0;0;2;23/09/2015;2015/2016
Villarreal;Visitante;0;0;1;5;2;23/09/2015;2015/2016
Rayo;Local;2;3;0;0;1;23/09/2015;2015/2016
Sporting Gijón;Visitante;0;0;1;4;1;23/09/2015;2015/2016
Betis;Local;1;3;0;0;2;24/09/2015;2015/2016
Deportivo;Visitante;0;0;2;6;2;24/09/2015;2015/2016
Valencia;Local;1;2;0;0;1;25/09/2015;2015/2016
Granada;Visitante;0;0;0;2;1;25/09/2015;2015/2016
Barcelona;Local;2;7;0;0;1;26/09/2015;2015/2016
Las Palmas;Visitante;0;0;1;4;1;26/09/2015;2015/2016
Eibar;Local;1;3;0;0;x;26/09/2015;2015/2016
Celta;Visitante;0;0;1;5;x;26/09/2015;2015/2016
Real Madrid;Local;0;6;0;0;x;26/09/2015;2015/2016
Málaga;Visitante;0;0;0;0;x;26/09/2015;2015/2016
Sevilla;Local;3;4;0;0;1;26/09/2015;2015/2016
Rayo;Visitante;0;0;2;3;1;26/09/2015;2015/2016
Villarreal;Local;1;7;0;0;1;26/09/2015;2015/2016
Atlético;Visitante;0;0;0;5;1;26/09/2015;2015/2016
Getafe;Local;3;5;0;0;1;27/09/2015;2015/2016
Levante;Visitante;0;0;0;1;1;27/09/2015;2015/2016
Deportivo;Local;3;5;0;0;1;27/09/2015;2015/2016
Espanyol;Visitante;0;0;0;4;1;27/09/2015;2015/2016
R. Sociedad;Local;0;2;0;0;x;27/09/2015;2015/2016
Athletic;Visitante;0;0;0;1;x;27/09/2015;2015/2016
Sporting Gijón;Local;1;1;0;0;2;27/09/2015;2015/2016
Betis;Visitante;0;0;2;2;2;27/09/2015;2015/2016
Celta;Local;0;10;0;0;x;02/10/2015;2015/2016
Getafe;Visitante;0;0;0;1;x;02/10/2015;2015/2016
Espanyol;Local;1;3;0;0;2;03/10/2015;2015/2016
Sporting Gijón;Visitante;0;0;2;6;2;03/10/2015;2015/2016
Granada;Local;1;3;0;0;x;03/10/2015;2015/2016
Deportivo;Visitante;0;0;1;7;x;03/10/2015;2015/2016
Las Palmas;Local;0;2;0;0;2;03/10/2015;2015/2016
Eibar;Visitante;0;0;2;7;2;03/10/2015;2015/2016
Málaga;Local;3;3;0;0;1;03/10/2015;2015/2016
R. Sociedad;Visitante;0;0;1;4;1;03/10/2015;2015/2016
Sevilla;Local;2;6;0;0;1;03/10/2015;2015/2016
Barcelona;Visitante;0;0;1;5;1;03/10/2015;2015/2016
Athletic;Local;3;7;0;0;1;04/10/2015;2015/2016
Valencia;Visitante;0;0;1;2;1;04/10/2015;2015/2016
Atlético;Local;1;5;0;0;x;04/10/2015;2015/2016
Real Madrid;Visitante;0;0;1;9;x;04/10/2015;2015/2016
Levante;Local;1;5;0;0;1;04/10/2015;2015/2016
Villarreal;Visitante;0;0;0;5;1;04/10/2015;2015/2016
Rayo;Local;0;3;0;0;2;04/10/2015;2015/2016
Betis;Visitante;0;0;2;4;2;04/10/2015;2015/2016
Barcelona;Local;5;12;0;0;1;17/10/2015;2015/2016
Rayo;Visitante;0;0;2;5;1;17/10/2015;2015/2016
Betis;Local;1;4;0;0;2;17/10/2015;2015/2016
Espanyol;Visitante;0;0;3;7;2;17/10/2015;2015/2016
Eibar;Local;1;4;0;0;x;17/10/2015;2015/2016
Sevilla;Visitante;0;0;1;2;x;17/10/2015;2015/2016
Real Madrid;Local;3;9;0;0;1;17/10/2015;2015/2016
Levante;Visitante;0;0;0;1;1;17/10/2015;2015/2016
Valencia;Local;3;5;0;0;1;17/10/2015;2015/2016
Málaga;Visitante;0;0;0;0;1;17/10/2015;2015/2016
Getafe;Local;4;9;0;0;1;18/10/2015;2015/2016
Las Palmas;Visitante;0;0;0;4;1;18/10/2015;2015/2016
Deportivo;Local;2;7;0;0;x;18/10/2015;2015/2016
Athletic;Visitante;0;0;2;3;x;18/10/2015;2015/2016
R. Sociedad;Local;0;2;0;0;2;18/10/2015;2015/2016
Atlético;Visitante;0;0;2;7;2;18/10/2015;2015/2016
Villarreal;Local;1;8;0;0;2;18/10/2015;2015/2016
Celta;Visitante;0;0;2;7;2;18/10/2015;2015/2016
Sporting Gijón;Local;3;4;0;0;x;19/10/2015;2015/2016
Granada;Visitante;0;0;3;5;x;19/10/2015;2015/2016
Rayo;Local;3;6;0;0;1;23/10/2015;2015/2016
Espanyol;Visitante;0;0;0;7;1;23/10/2015;2015/2016
Celta;Local;1;11;0;0;2;24/10/2015;2015/2016
Real Madrid;Visitante;0;0;3;12;2;24/10/2015;2015/2016
Granada;Local;1;4;0;0;x;24/10/2015;2015/2016
Betis;Visitante;0;0;1;5;x;24/10/2015;2015/2016
Málaga;Local;2;5;0;0;1;24/10/2015;2015/2016
Deportivo;Visitante;0;0;0;7;1;24/10/2015;2015/2016
Sevilla;Local;5;11;0;0;1;24/10/2015;2015/2016
Getafe;Visitante;0;0;0;1;1;24/10/2015;2015/2016
Atlético;Local;2;7;0;0;1;25/10/2015;2015/2016
Valencia;Visitante;0;0;1;3;1;25/10/2015;2015/2016
Barcelona;Local;3;15;0;0;1;25/10/2015;2015/2016
Eibar;Visitante;0;0;1;8;1;25/10/2015;2015/2016
Las Palmas;Local;0;2;0;0;x;25/10/2015;2015/2016
Villarreal;Visitante;0;0;0;5;x;25/10/2015;2015/2016
Levante;Local;0;5;0;0;2;25/10/2015;2015/2016
R. Sociedad;Visitante;0;0;4;8;2;25/10/2015;2015/2016
Athletic;Local;3;10;0;0;1;26/10/2015;2015/2016
Sporting Gijón;Visitante;0;0;0;6;1;26/10/2015;2015/2016
Deportivo;Local;1;8;0;0;x;30/10/2015;2015/2016
Atlético;Visitante;0;0;1;8;x;30/10/2015;2015/2016
Getafe;Local;0;9;0;0;2;31/10/2015;2015/2016
Barcelona;Visitante;0;0;2;7;2;31/10/2015;2015/2016
Real Madrid;Local;3;12;0;0;1;31/10/2015;2015/2016
Las Palmas;Visitante;0;0;1;5;1;31/10/2015;2015/2016
R. Sociedad;Local;2;4;0;0;2;31/10/2015;2015/2016
Celta;Visitante;0;0;3;10;2;31/10/2015;2015/2016
Valencia;Local;3;8;0;0;1;31/10/2015;2015/2016
Levante;Visitante;0;0;0;1;1;31/10/2015;2015/2016
Villarreal;Local;2;10;0;0;1;31/10/2015;2015/2016
Sevilla;Visitante;0;0;1;3;1;31/10/2015;2015/2016
Betis;Local;1;5;0;0;2;01/11/2015;2015/2016
Athletic;Visitante;0;0;3;6;2;01/11/2015;2015/2016
Eibar;Local;1;5;0;0;1;01/11/2015;2015/2016
Rayo;Visitante;0;0;0;5;1;01/11/2015;2015/2016
Espanyol;Local;1;4;0;0;x;01/11/2015;2015/2016
Granada;Visitante;0;0;1;6;x;01/11/2015;2015/2016
Sporting Gijón;Local;1;5;0;0;1;01/11/2015;2015/2016
Málaga;Visitante;0;0;0;0;1;01/11/2015;2015/2016
Las Palmas;Local;2;4;0;0;1;06/11/2015;2015/2016
R. Sociedad;Visitante;0;0;0;8;1;06/11/2015;2015/2016
Celta;Local;1;12;0;0;2;07/11/2015;2015/2016
Valencia;Visitante;0;0;5;8;2;07/11/2015;2015/2016
Eibar;Local;3;8;0;0;1;07/11/2015;2015/2016
Getafe;Visitante;0;0;1;2;1;07/11/2015;2015/2016
Levante;Local;1;6;0;0;x;07/11/2015;2015/2016
Deportivo;Visitante;0;0;1;8;x;07/11/2015;2015/2016
Málaga;Local;0;5;0;0;2;07/11/2015;2015/2016
Betis;Visitante;0;0;1;6;2;07/11/2015;2015/2016
Rayo;Local;2;8;0;0;1;07/11/2015;2015/2016
Granada;Visitante;0;0;1;7;1;07/11/2015;2015/2016
Athletic;Local;2;12;0;0;1;08/11/2015;2015/2016
Espanyol;Visitante;0;0;1;8;1;08/11/2015;2015/2016
Atlético;Local;1;8;0;0;1;08/11/2015;2015/2016
Sporting Gijón;Visitante;0;0;0;6;1;08/11/2015;2015/2016
Barcelona;Local;3;18;0;0;1;08/11/2015;2015/2016
Villarreal;Visitante;0;0;0;5;1;08/11/2015;2015/2016
Sevilla;Local;3;14;0;0;1;08/11/2015;2015/2016
Real Madrid;Visitante;0;0;2;14;1;08/11/2015;2015/2016
Espanyol;Local;2;6;0;0;1;21/11/2015;2015/2016
Málaga;Visitante;0;0;0;0;1;21/11/2015;2015/2016
Deportivo;Local;2;10;0;0;1;21/11/2015;2015/2016
Celta;Visitante;0;0;0;10;1;21/11/2015;2015/2016
Real Madrid;Local;0;12;0;0;2;21/11/2015;2015/2016
Barcelona;Visitante;0;0;4;11;2;21/11/2015;2015/2016
R. Sociedad;Local;2;6;0;0;1;21/11/2015;2015/2016
Sevilla;Visitante;0;0;0;3;1;21/11/2015;2015/2016
Valencia;Local;1;9;0;0;x;21/11/2015;2015/2016
Las Palmas;Visitante;0;0;1;6;x;21/11/2015;2015/2016
Betis;Local;0;5;0;0;2;22/11/2015;2015/2016
Atlético;Visitante;0;0;1;9;2;22/11/2015;2015/2016
Granada;Local;2;6;0;0;1;22/11/2015;2015/2016
Athletic;Visitante;0;0;0;6;1;22/11/2015;2015/2016
Sporting Gijón;Local;0;5;0;0;2;22/11/2015;2015/2016
Levante;Visitante;0;0;3;4;2;22/11/2015;2015/2016
Villarreal;Local;1;11;0;0;x;22/11/2015;2015/2016
Eibar;Visitante;0;0;1;9;x;22/11/2015;2015/2016
Getafe;Local;1;10;0;0;x;23/11/2015;2015/2016
Rayo;Visitante;0;0;1;6;x;23/11/2015;2015/2016
Levante;Local;0;6;0;0;2;27/11/2015;2015/2016
Betis;Visitante;0;0;1;7;2;27/11/2015;2015/2016
Atlético;Local;1;9;0;0;1;28/11/2015;2015/2016
Espanyol;Visitante;0;0;0;8;1;28/11/2015;2015/2016
Barcelona;Local;4;22;0;0;1;28/11/2015;2015/2016
R. Sociedad;Visitante;0;0;0;8;1;28/11/2015;2015/2016
Celta;Local;2;14;0;0;1;28/11/2015;2015/2016
Sporting Gijón;Visitante;0;0;1;7;1;28/11/2015;2015/2016
Las Palmas;Local;0;4;0;0;2;28/11/2015;2015/2016
Deportivo;Visitante;0;0;2;10;2;28/11/2015;2015/2016
Málaga;Local;2;7;0;0;x;28/11/2015;2015/2016
Granada;Visitante;0;0;2;9;x;28/11/2015;2015/2016
Eibar;Local;0;8;0;0;2;29/11/2015;2015/2016
Real Madrid;Visitante;0;0;2;16;2;29/11/2015;2015/2016
Getafe;Local;2;12;0;0;1;29/11/2015;2015/2016
Villarreal;Visitante;0;0;0;5;1;29/11/2015;2015/2016
Sevilla;Local;1;15;0;0;1;29/11/2015;2015/2016
Valencia;Visitante;0;0;0;8;1;29/11/2015;2015/2016
Rayo;Local;0;8;0;0;2;29/11/2015;2015/2016
Athletic;Visitante;0;0;3;9;2;29/11/2015;2015/2016
Betis;Local;1;6;0;0;x;05/12/2015;2015/2016
Celta;Visitante;0;0;1;11;x;05/12/2015;2015/2016
Granada;Local;0;6;0;0;2;05/12/2015;2015/2016
Atlético;Visitante;0;0;2;11;2;05/12/2015;2015/2016
Deportivo;Local;1;11;0;0;x;05/12/2015;2015/2016
Sevilla;Visitante;0;0;1;4;x;05/12/2015;2015/2016
Real Madrid;Local;4;16;0;0;1;05/12/2015;2015/2016
Getafe;Visitante;0;0;1;3;1;05/12/2015;2015/2016
Valencia;Local;1;10;0;0;x;05/12/2015;2015/2016
Barcelona;Visitante;0;0;1;12;x;05/12/2015;2015/2016
Athletic;Local;0;12;0;0;x;06/12/2015;2015/2016
Málaga;Visitante;0;0;0;0;x;06/12/2015;2015/2016
R. Sociedad;Local;2;8;0;0;1;06/12/2015;2015/2016
Eibar;Visitante;0;0;1;10;1;06/12/2015;2015/2016
Sporting Gijón;Local;3;8;0;0;1;06/12/2015;2015/2016
Las Palmas;Visitante;0;0;1;7;1;06/12/2015;2015/2016
Villarreal;Local;2;13;0;0;1;06/12/2015;2015/2016
Rayo;Visitante;0;0;1;7;1;06/12/2015;2015/2016
Espanyol;Local;1;7;0;0;x;07/12/2015;2015/2016
Levante;Visitante;0;0;1;5;x;07/12/2015;2015/2016
Getafe;Local;1;13;0;0;x;11/12/2015;2015/2016
R. Sociedad;Visitante;0;0;1;9;x;11/12/2015;2015/2016
Barcelona;Local;2;24;0;0;x;12/12/2015;2015/2016
Deportivo;Visitante;0;0;2;12;x;12/12/2015;2015/2016
Celta;Local;1;15;0;0;1;12/12/2015;2015/2016
Espanyol;Visitante;0;0;0;8;1;12/12/2015;2015/2016
Las Palmas;Local;1;5;0;0;1;12/12/2015;2015/2016
Betis;Visitante;0;0;0;7;1;12/12/2015;2015/2016
Levante;Local;1;7;0;0;2;12/12/2015;2015/2016
Granada;Visitante;0;0;2;11;2;12/12/2015;2015/2016
Sevilla;Local;2;17;0;0;1;12/12/2015;2015/2016
Sporting Gijón;Visitante;0;0;0;7;1;12/12/2015;2015/2016
Atlético;Local;2;11;0;0;1;13/12/2015;2015/2016
Athletic;Visitante;0;0;1;10;1;13/12/2015;2015/2016
Eibar;Local;1;9;0;0;x;13/12/2015;2015/2016
Valencia;Visitante;0;0;1;9;x;13/12/2015;2015/2016
Rayo;Local;1;9;0;0;2;13/12/2015;2015/2016
Málaga;Visitante;0;0;2;2;2;13/12/2015;2015/2016
Villarreal;Local;1;14;0;0;1;13/12/2015;2015/2016
Real Madrid;Visitante;0;0;0;16;1;13/12/2015;2015/2016
Betis;Local;0;6;0;0;x;19/12/2015;2015/2016
Sevilla;Visitante;0;0;0;4;x;19/12/2015;2015/2016
Espanyol;Local;1;8;0;0;1;19/12/2015;2015/2016
Las Palmas;Visitante;0;0;0;7;1;19/12/2015;2015/2016
Deportivo;Local;2;13;0;0;1;19/12/2015;2015/2016
Eibar;Visitante;0;0;0;10;1;19/12/2015;2015/2016
Valencia;Local;2;12;0;0;x;19/12/2015;2015/2016
Getafe;Visitante;0;0;2;5;x;19/12/2015;2015/2016
Athletic;Local;2;14;0;0;1;20/12/2015;2015/2016
Levante;Visitante;0;0;0;5;1;20/12/2015;2015/2016
Granada;Local;0;6;0;0;2;20/12/2015;2015/2016
Celta;Visitante;0;0;2;13;2;20/12/2015;2015/2016
Málaga;Local;1;8;0;0;1;20/12/2015;2015/2016
Atlético;Visitante;0;0;0;11;1;20/12/2015;2015/2016
Real Madrid;Local;10;26;0;0;1;20/12/2015;2015/2016
Rayo;Visitante;0;0;2;9;1;20/12/2015;2015/2016
R. Sociedad;Local;0;8;0;0;2;20/12/2015;2015/2016
Villarreal;Visitante;0;0;2;7;2;20/12/2015;2015/2016
Barcelona;Local;4;28;0;0;1;30/12/2015;2015/2016
Betis;Visitante;0;0;0;7;1;30/12/2015;2015/2016
Celta;Local;0;15;0;0;2;30/12/2015;2015/2016
Athletic;Visitante;0;0;1;11;2;30/12/2015;2015/2016
Eibar;Local;2;11;0;0;1;30/12/2015;2015/2016
Sporting Gijón;Visitante;0;0;0;7;1;30/12/2015;2015/2016
Getafe;Local;0;13;0;0;x;30/12/2015;2015/2016
Deportivo;Visitante;0;0;0;12;x;30/12/2015;2015/2016
Las Palmas;Local;4;9;0;0;1;30/12/2015;2015/2016
Granada;Visitante;0;0;1;12;1;30/12/2015;2015/2016
Levante;Local;0;7;0;0;2;30/12/2015;2015/2016
Málaga;Visitante;0;0;1;3;2;30/12/2015;2015/2016
Real Madrid;Local;3;29;0;0;1;30/12/2015;2015/2016
R. Sociedad;Visitante;0;0;1;10;1;30/12/2015;2015/2016
Sevilla;Local;2;19;0;0;1;30/12/2015;2015/2016
Espanyol;Visitante;0;0;0;8;1;30/12/2015;2015/2016
Rayo;Local;0;9;0;0;2;30/12/2015;2015/2016
Atlético;Visitante;0;0;2;13;2;30/12/2015;2015/2016
Villarreal;Local;1;15;0;0;1;31/12/2015;2015/2016
Valencia;Visitante;0;0;0;9;1;31/12/2015;2015/2016
Atlético;Local;1;12;0;0;1;02/01/2016;2015/2016
Levante;Visitante;0;0;0;5;1;02/01/2016;2015/2016
Espanyol;Local;0;8;0;0;x;02/01/2016;2015/2016
Barcelona;Visitante;0;0;0;12;x;02/01/2016;2015/2016
Málaga;Local;2;10;0;0;1;02/01/2016;2015/2016
Celta;Visitante;0;0;0;13;1;02/01/2016;2015/2016
Athletic;Local;2;16;0;0;x;03/01/2016;2015/2016
Las Palmas;Visitante;0;0;2;9;x;03/01/2016;2015/2016
Betis;Local;0;6;0;0;2;03/01/2016;2015/2016
Eibar;Visitante;0;0;4;14;2;03/01/2016;2015/2016
Granada;Local;2;8;0;0;1;03/01/2016;2015/2016
Sevilla;Visitante;0;0;1;5;1;03/01/2016;2015/2016
Deportivo;Local;1;14;0;0;2;03/01/2016;2015/2016
Villarreal;Visitante;0;0;2;9;2;03/01/2016;2015/2016
Valencia;Local;2;14;0;0;x;03/01/2016;2015/2016
Real Madrid;Visitante;0;0;2;18;x;03/01/2016;2015/2016
Rayo;Local;2;11;0;0;x;03/01/2016;2015/2016
R. Sociedad;Visitante;0;0;2;12;x;03/01/2016;2015/2016
Sporting Gijón;Local;1;9;0;0;2;04/01/2016;2015/2016
Getafe;Visitante;0;0;2;7;2;04/01/2016;2015/2016
Barcelona;Local;4;32;0;0;1;09/01/2016;2015/2016
Granada;Visitante;0;0;0;12;1;09/01/2016;2015/2016
Getafe;Local;1;14;0;0;1;09/01/2016;2015/2016
Betis;Visitante;0;0;0;7;1;09/01/2016;2015/2016
Levante;Local;2;9;0;0;1;09/01/2016;2015/2016
Rayo;Visitante;0;0;1;10;1;09/01/2016;2015/2016
Real Madrid;Local;5;34;0;0;1;09/01/2016;2015/2016
Deportivo;Visitante;0;0;0;12;1;09/01/2016;2015/2016
Sevilla;Local;2;21;0;0;1;09/01/2016;2015/2016
Athletic;Visitante;0;0;0;11;1;09/01/2016;2015/2016
Celta;Local;0;15;0;0;2;10/01/2016;2015/2016
Atlético;Visitante;0;0;2;15;2;10/01/2016;2015/2016
Eibar;Local;2;13;0;0;1;10/01/2016;2015/2016
Espanyol;Visitante;0;0;1;9;1;10/01/2016;2015/2016
Las Palmas;Local;1;10;0;0;x;10/01/2016;2015/2016
Málaga;Visitante;0;0;1;4;x;10/01/2016;2015/2016
R. Sociedad;Local;2;10;0;0;1;10/01/2016;2015/2016
Valencia;Visitante;0;0;0;9;1;10/01/2016;2015/2016
Villarreal;Local;2;17;0;0;1;10/01/2016;2015/2016
Sporting Gijón;Visitante;0;0;0;7;1;10/01/2016;2015/2016
Celta;Local;4;19;0;0;1;16/01/2016;2015/2016
Levante;Visitante;0;0;3;8;1;16/01/2016;2015/2016
Sevilla;Local;2;23;0;0;1;16/01/2016;2015/2016
Málaga;Visitante;0;0;1;5;1;16/01/2016;2015/2016
R. Sociedad;Local;1;11;0;0;x;16/01/2016;2015/2016
Deportivo;Visitante;0;0;1;13;x;16/01/2016;2015/2016
Villarreal;Local;0;17;0;0;x;16/01/2016;2015/2016
Betis;Visitante;0;0;0;7;x;16/01/2016;2015/2016
Barcelona;Local;6;38;0;0;1;17/01/2016;2015/2016
Athletic;Visitante;0;0;0;11;1;17/01/2016;2015/2016
Getafe;Local;3;17;0;0;1;17/01/2016;2015/2016
Espanyol;Visitante;0;0;1;10;1;17/01/2016;2015/2016
Las Palmas;Local;0;10;0;0;2;17/01/2016;2015/2016
Atlético;Visitante;0;0;3;18;2;17/01/2016;2015/2016
Real Madrid;Local;5;39;0;0;1;17/01/2016;2015/2016
Sporting Gijón;Visitante;0;0;1;8;1;17/01/2016;2015/2016
Valencia;Local;2;16;0;0;x;17/01/2016;2015/2016
Rayo;Visitante;0;0;2;12;x;17/01/2016;2015/2016
Eibar;Local;5;18;0;0;1;18/01/2016;2015/2016
Granada;Visitante;0;0;1;13;1;18/01/2016;2015/2016
Sporting Gijón;Local;5;14;0;0;1;22/01/2016;2015/2016
R. Sociedad;Visitante;0;0;1;13;1;22/01/2016;2015/2016
Espanyol;Local;2;10;0;0;x;23/01/2016;2015/2016
Villarreal;Visitante;0;0;2;11;x;23/01/2016;2015/2016
Granada;Local;3;11;0;0;1;23/01/2016;2015/2016
Getafe;Visitante;0;0;2;9;1;23/01/2016;2015/2016
Málaga;Local;1;11;0;0;2;23/01/2016;2015/2016
Barcelona;Visitante;0;0;2;14;2;23/01/2016;2015/2016
Rayo;Local;3;14;0;0;1;23/01/2016;2015/2016
Celta;Visitante;0;0;0;13;1;23/01/2016;2015/2016
Athletic;Local;5;21;0;0;1;24/01/2016;2015/2016
Eibar;Visitante;0;0;2;16;1;24/01/2016;2015/2016
Atlético;Local;0;12;0;0;x;24/01/2016;2015/2016
Sevilla;Visitante;0;0;0;5;x;24/01/2016;2015/2016
Betis;Local;1;7;0;0;x;24/01/2016;2015/2016
Real Madrid;Visitante;0;0;1;19;x;24/01/2016;2015/2016
Deportivo;Local;1;15;0;0;x;24/01/2016;2015/2016
Valencia;Visitante;0;0;1;10;x;24/01/2016;2015/2016
Levante;Local;3;12;0;0;1;25/01/2016;2015/2016
Las Palmas;Visitante;0;0;2;11;1;25/01/2016;2015/2016
Barcelona;Local;2;40;0;0;1;30/01/2016;2015/2016
Atlético;Visitante;0;0;1;19;1;30/01/2016;2015/2016
Eibar;Local;1;19;0;0;2;30/01/2016;2015/2016
Málaga;Visitante;0;0;2;7;2;30/01/2016;2015/2016
Getafe;Local;0;17;0;0;2;30/01/2016;2015/2016
Athletic;Visitante;0;0;1;12;2;30/01/2016;2015/2016
R. Sociedad;Local;2;13;0;0;1;30/01/2016;2015/2016
Betis;Visitante;0;0;1;8;1;30/01/2016;2015/2016
Villarreal;Local;1;18;0;0;1;30/01/2016;2015/2016
