EquipoLocal;EquipoVisitante;Temporada;Fecha;Goles_Locales;Goles_Visitantes;Puntos_locales;Puntos_Visitantes;Diferencia_Goles;Resultado
Betis;Getafe;2015/2016;15/05/2016;2;1;3;0;1;1
Espanyol;Eibar;2015/2016;15/05/2016;4;2;3;0;2;1
Málaga;Las Palmas;2015/2016;15/05/2016;4;1;3;0;3;1
Sporting Gijón;Villarreal;2015/2016;15/05/2016;2;0;3;0;2;1
Rayo;Levante;2015/2016;15/05/2016;3;1;3;0;2;1
Deportivo;Eibar;2016/2017;19/08/2016;2;1;3;0;1;1
Málaga;Osasuna;2016/2017;19/08/2016;1;1;1;1;0;x
Barcelona;Betis;2016/2017;20/08/2016;6;2;3;0;4;1
Granada;Villarreal;2016/2017;20/08/2016;1;1;1;1;0;x
Sevilla;Espanyol;2016/2017;20/08/2016;6;4;3;0;2;1
Atlético;Alavés;2016/2017;21/08/2016;1;1;1;1;0;x
R. Sociedad;Real Madrid;2016/2017;21/08/2016;0;3;0;3;3;2
Sporting Gijón;Athletic;2016/2017;21/08/2016;2;1;3;0;1;1
Celta;Leganés;2016/2017;22/08/2016;0;1;0;3;1;2
Valencia;Las Palmas;2016/2017;22/08/2016;2;4;0;3;2;2
Betis;Deportivo;2016/2017;26/08/2016;0;0;1;1;0;x
Espanyol;Málaga;2016/2017;26/08/2016;2;2;1;1;0;x
Eibar;Valencia;2016/2017;27/08/2016;1;0;3;0;1;1
Leganés;Atlético;2016/2017;27/08/2016;0;0;1;1;0;x
Osasuna;R. Sociedad;2016/2017;27/08/2016;0;2;0;3;2;2
Real Madrid;Celta;2016/2017;27/08/2016;2;1;3;0;1;1
Alavés;Sporting Gijón;2016/2017;28/08/2016;0;0;1;1;0;x
Athletic;Barcelona;2016/2017;28/08/2016;0;1;0;3;1;2
Las Palmas;Granada;2016/2017;28/08/2016;5;1;3;0;4;1
Villarreal;Sevilla;2016/2017;28/08/2016;0;0;1;1;0;x
R. Sociedad;Espanyol;2016/2017;09/09/2016;1;1;1;1;0;x
Barcelona;Alavés;2016/2017;10/09/2016;1;2;0;3;1;2
Celta;Atlético;2016/2017;10/09/2016;0;4;0;3;4;2
Málaga;Villarreal;2016/2017;10/09/2016;0;2;0;3;2;2
Real Madrid;Osasuna;2016/2017;10/09/2016;5;2;3;0;3;1
Sevilla;Las Palmas;2016/2017;10/09/2016;2;1;3;0;1;1
Granada;Eibar;2016/2017;11/09/2016;1;2;0;3;1;2
Deportivo;Athletic;2016/2017;11/09/2016;0;1;0;3;1;2
Sporting Gijón;Leganés;2016/2017;11/09/2016;2;1;3;0;1;1
Valencia;Betis;2016/2017;11/09/2016;2;3;0;3;1;2
Betis;Granada;2016/2017;16/09/2016;2;2;1;1;0;x
Atlético;Sporting Gijón;2016/2017;17/09/2016;5;0;3;0;5;1
Eibar;Sevilla;2016/2017;17/09/2016;1;1;1;1;0;x
Las Palmas;Málaga;2016/2017;17/09/2016;1;0;3;0;1;1
Leganés;Barcelona;2016/2017;17/09/2016;1;5;0;3;4;2
Athletic;Valencia;2016/2017;18/09/2016;2;1;3;0;1;1
Espanyol;Real Madrid;2016/2017;18/09/2016;0;2;0;3;2;2
Osasuna;Celta;2016/2017;18/09/2016;0;0;1;1;0;x
Villarreal;R. Sociedad;2016/2017;18/09/2016;2;1;3;0;1;1
Alavés;Deportivo;2016/2017;19/09/2016;0;0;1;1;0;x
Málaga;Eibar;2016/2017;20/09/2016;2;1;3;0;1;1
Sevilla;Betis;2016/2017;20/09/2016;1;0;3;0;1;1
Barcelona;Atlético;2016/2017;21/09/2016;1;1;1;1;0;x
Celta;Sporting Gijón;2016/2017;21/09/2016;2;1;3;0;1;1
Granada;Athletic;2016/2017;21/09/2016;1;2;0;3;1;2
Real Madrid;Villarreal;2016/2017;21/09/2016;1;1;1;1;0;x
R. Sociedad;Las Palmas;2016/2017;21/09/2016;4;1;3;0;3;1
Deportivo;Leganés;2016/2017;22/09/2016;1;2;0;3;1;2
Osasuna;Espanyol;2016/2017;22/09/2016;1;2;0;3;1;2
Valencia;Alavés;2016/2017;22/09/2016;2;1;3;0;1;1
Betis;Málaga;2016/2017;23/09/2016;1;0;3;0;1;1
Athletic;Sevilla;2016/2017;24/09/2016;3;1;3;0;2;1
Eibar;R. Sociedad;2016/2017;24/09/2016;2;0;3;0;2;1
Las Palmas;Real Madrid;2016/2017;24/09/2016;2;2;1;1;0;x
Sporting Gijón;Barcelona;2016/2017;24/09/2016;0;5;0;3;5;2
Atlético;Deportivo;2016/2017;25/09/2016;1;0;3;0;1;1
Espanyol;Celta;2016/2017;25/09/2016;0;2;0;3;2;2
Leganés;Valencia;2016/2017;25/09/2016;1;2;0;3;1;2
Villarreal;Osasuna;2016/2017;25/09/2016;3;1;3;0;2;1
Alavés;Granada;2016/2017;26/09/2016;3;1;3;0;2;1
R. Sociedad;Betis;2016/2017;30/09/2016;1;0;3;0;1;1
Granada;Leganés;2016/2017;01/10/2016;0;1;0;3;1;2
Deportivo;Sporting Gijón;2016/2017;01/10/2016;2;1;3;0;1;1
Osasuna;Las Palmas;2016/2017;01/10/2016;2;2;1;1;0;x
Sevilla;Alavés;2016/2017;01/10/2016;2;1;3;0;1;1
Celta;Barcelona;2016/2017;02/10/2016;4;3;3;0;1;1
Espanyol;Villarreal;2016/2017;02/10/2016;0;0;1;1;0;x
Málaga;Athletic;2016/2017;02/10/2016;2;1;3;0;1;1
Real Madrid;Eibar;2016/2017;02/10/2016;1;1;1;1;0;x
Valencia;Atlético;2016/2017;02/10/2016;0;2;0;3;2;2
Las Palmas;Espanyol;2016/2017;14/10/2016;0;0;1;1;0;x
Atlético;Granada;2016/2017;15/10/2016;7;1;3;0;6;1
Barcelona;Deportivo;2016/2017;15/10/2016;4;0;3;0;4;1
Betis;Real Madrid;2016/2017;15/10/2016;1;6;0;3;5;2
Leganés;Sevilla;2016/2017;15/10/2016;2;3;0;3;1;2
Alavés;Málaga;2016/2017;16/10/2016;1;1;1;1;0;x
Athletic;R. Sociedad;2016/2017;16/10/2016;3;2;3;0;1;1
Sporting Gijón;Valencia;2016/2017;16/10/2016;1;2;0;3;1;2
Villarreal;Celta;2016/2017;16/10/2016;5;0;3;0;5;1
Eibar;Osasuna;2016/2017;17/10/2016;2;3;0;3;1;2
Osasuna;Betis;2016/2017;21/10/2016;1;2;0;3;1;2
Espanyol;Eibar;2016/2017;22/10/2016;3;3;1;1;0;x
Granada;Sporting Gijón;2016/2017;22/10/2016;0;0;1;1;0;x
R. Sociedad;Alavés;2016/2017;22/10/2016;3;0;3;0;3;1
Valencia;Barcelona;2016/2017;22/10/2016;2;3;0;3;1;2
Celta;Deportivo;2016/2017;23/10/2016;4;1;3;0;3;1
Málaga;Leganés;2016/2017;23/10/2016;4;0;3;0;4;1
Real Madrid;Athletic;2016/2017;23/10/2016;2;1;3;0;1;1
Sevilla;Atlético;2016/2017;23/10/2016;1;0;3;0;1;1
Villarreal;Las Palmas;2016/2017;23/10/2016;2;1;3;0;1;1
Leganés;R. Sociedad;2016/2017;28/10/2016;0;2;0;3;2;2
Alavés;Real Madrid;2016/2017;29/10/2016;1;4;0;3;3;2
Atlético;Málaga;2016/2017;29/10/2016;4;2;3;0;2;1
Barcelona;Granada;2016/2017;29/10/2016;1;0;3;0;1;1
Sporting Gijón;Sevilla;2016/2017;29/10/2016;1;1;1;1;0;x
Athletic;Osasuna;2016/2017;30/10/2016;1;1;1;1;0;x
Betis;Espanyol;2016/2017;30/10/2016;0;1;0;3;1;2
Eibar;Villarreal;2016/2017;30/10/2016;2;1;3;0;1;1
Las Palmas;Celta;2016/2017;30/10/2016;3;3;1;1;0;x
Deportivo;Valencia;2016/2017;31/10/2016;1;1;1;1;0;x
Málaga;Sporting Gijón;2016/2017;04/11/2016;3;2;3;0;1;1
Granada;Deportivo;2016/2017;05/11/2016;1;1;1;1;0;x
Las Palmas;Eibar;2016/2017;05/11/2016;1;0;3;0;1;1
Osasuna;Alavés;2016/2017;05/11/2016;0;1;0;3;1;2
R. Sociedad;Atlético;2016/2017;05/11/2016;2;0;3;0;2;1
Celta;Valencia;2016/2017;06/11/2016;2;1;3;0;1;1
Espanyol;Athletic;2016/2017;06/11/2016;0;0;1;1;0;x
Real Madrid;Leganés;2016/2017;06/11/2016;3;0;3;0;3;1
Sevilla;Barcelona;2016/2017;06/11/2016;1;2;0;3;1;2
Villarreal;Betis;2016/2017;06/11/2016;2;0;3;0;2;1
Betis;Las Palmas;2016/2017;18/11/2016;2;0;3;0;2;1
Atlético;Real Madrid;2016/2017;19/11/2016;0;3;0;3;3;2
Barcelona;Málaga;2016/2017;19/11/2016;0;0;1;1;0;x
Eibar;Celta;2016/2017;19/11/2016;1;0;3;0;1;1
Deportivo;Sevilla;2016/2017;19/11/2016;2;3;0;3;1;2
Alavés;Espanyol;2016/2017;20/11/2016;0;1;0;3;1;2
Athletic;Villarreal;2016/2017;20/11/2016;1;0;3;0;1;1
Sporting Gijón;R. Sociedad;2016/2017;20/11/2016;1;3;0;3;2;2
Valencia;Granada;2016/2017;20/11/2016;1;1;1;1;0;x
Leganés;Osasuna;2016/2017;21/11/2016;2;0;3;0;2;1
Eibar;Betis;2016/2017;25/11/2016;3;1;3;0;2;1
Espanyol;Leganés;2016/2017;26/11/2016;3;0;3;0;3;1
Málaga;Deportivo;2016/2017;26/11/2016;4;3;3;0;1;1
Real Madrid;Sporting Gijón;2016/2017;26/11/2016;2;1;3;0;1;1
Sevilla;Valencia;2016/2017;26/11/2016;2;1;3;0;1;1
Celta;Granada;2016/2017;27/11/2016;3;1;3;0;2;1
Osasuna;Atlético;2016/2017;27/11/2016;0;3;0;3;3;2
R. Sociedad;Barcelona;2016/2017;27/11/2016;1;1;1;1;0;x
Villarreal;Alavés;2016/2017;27/11/2016;0;2;0;3;2;2
Las Palmas;Athletic;2016/2017;28/11/2016;3;1;3;0;2;1
Atlético;Espanyol;2016/2017;03/12/2016;0;0;1;1;0;x
Barcelona;Real Madrid;2016/2017;03/12/2016;1;1;1;1;0;x
Granada;Sevilla;2016/2017;03/12/2016;2;1;3;0;1;1
Leganés;Villarreal;2016/2017;03/12/2016;0;0;1;1;0;x
Alavés;Las Palmas;2016/2017;04/12/2016;1;1;1;1;0;x
Athletic;Eibar;2016/2017;04/12/2016;3;1;3;0;2;1
Betis;Celta;2016/2017;04/12/2016;3;3;1;1;0;x
Sporting Gijón;Osasuna;2016/2017;04/12/2016;3;1;3;0;2;1
Valencia;Málaga;2016/2017;04/12/2016;2;2;1;1;0;x
Deportivo;R. Sociedad;2016/2017;05/12/2016;5;1;3;0;4;1
Málaga;Granada;2016/2017;09/12/2016;1;1;1;1;0;x
Las Palmas;Leganés;2016/2017;10/12/2016;1;1;1;1;0;x
Osasuna;Barcelona;2016/2017;10/12/2016;0;3;0;3;3;2
Real Madrid;Deportivo;2016/2017;10/12/2016;3;2;3;0;1;1
R. Sociedad;Valencia;2016/2017;10/12/2016;3;2;3;0;1;1
Betis;Athletic;2016/2017;11/12/2016;1;0;3;0;1;1
Celta;Sevilla;2016/2017;11/12/2016;0;3;0;3;3;2
Eibar;Alavés;2016/2017;11/12/2016;0;0;1;1;0;x
Espanyol;Sporting Gijón;2016/2017;11/12/2016;2;1;3;0;1;1
Villarreal;Atlético;2016/2017;12/12/2016;3;0;3;0;3;1
Alavés;Betis;2016/2017;16/12/2016;1;0;3;0;1;1
Atlético;Las Palmas;2016/2017;17/12/2016;1;0;3;0;1;1
Granada;R. Sociedad;2016/2017;17/12/2016;0;2;0;3;2;2
Sevilla;Málaga;2016/2017;17/12/2016;4;1;3;0;3;1
Sporting Gijón;Villarreal;2016/2017;17/12/2016;1;3;0;3;2;2
Barcelona;Espanyol;2016/2017;18/12/2016;4;1;3;0;3;1
Deportivo;Osasuna;2016/2017;18/12/2016;2;0;3;0;2;1
Leganés;Eibar;2016/2017;18/12/2016;1;1;1;1;0;x
Athletic;Celta;2016/2017;19/12/2016;2;1;3;0;1;1
Espanyol;Deportivo;2016/2017;06/01/2017;1;1;1;1;0;x
Eibar;Atlético;2016/2017;07/01/2017;0;2;0;3;2;2
Las Palmas;Sporting Gijón;2016/2017;07/01/2017;1;0;3;0;1;1
Real Madrid;Granada;2016/2017;07/01/2017;5;0;3;0;5;1
R. Sociedad;Sevilla;2016/2017;07/01/2017;0;4;0;3;4;2
Athletic;Alavés;2016/2017;08/01/2017;0;0;1;1;0;x
Betis;Leganés;2016/2017;08/01/2017;2;0;3;0;2;1
Celta;Málaga;2016/2017;08/01/2017;3;1;3;0;2;1
Villarreal;Barcelona;2016/2017;08/01/2017;1;1;1;1;0;x
Osasuna;Valencia;2016/2017;09/01/2017;3;3;1;1;0;x
Atlético;Betis;2016/2017;14/01/2017;1;0;3;0;1;1
Barcelona;Las Palmas;2016/2017;14/01/2017;5;0;3;0;5;1
Deportivo;Villarreal;2016/2017;14/01/2017;0;0;1;1;0;x
Leganés;Athletic;2016/2017;14/01/2017;0;0;1;1;0;x
Celta;Alavés;2016/2017;15/01/2017;1;0;3;0;1;1
Granada;Osasuna;2016/2017;15/01/2017;1;1;1;1;0;x
Sevilla;Real Madrid;2016/2017;15/01/2017;2;1;3;0;1;1
Sporting Gijón;Eibar;2016/2017;15/01/2017;2;3;0;3;1;2
Valencia;Espanyol;2016/2017;15/01/2017;2;1;3;0;1;1
Málaga;R. Sociedad;2016/2017;16/01/2017;0;2;0;3;2;2
Las Palmas;Deportivo;2016/2017;20/01/2017;1;1;1;1;0;x
Alavés;Leganés;2016/2017;21/01/2017;2;2;1;1;0;x
Espanyol;Granada;2016/2017;21/01/2017;3;1;3;0;2;1
Real Madrid;Málaga;2016/2017;21/01/2017;2;1;3;0;1;1
Villarreal;Valencia;2016/2017;21/01/2017;0;2;0;3;2;2
Athletic;Atlético;2016/2017;22/01/2017;2;2;1;1;0;x
Betis;Sporting Gijón;2016/2017;22/01/2017;0;0;1;1;0;x
Eibar;Barcelona;2016/2017;22/01/2017;0;4;0;3;4;2
Osasuna;Sevilla;2016/2017;22/01/2017;3;4;0;3;1;2
R. Sociedad;Celta;2016/2017;22/01/2017;1;0;3;0;1;1
Osasuna;Málaga;2016/2017;27/01/2017;1;1;1;1;0;x
Alavés;Atlético;2016/2017;28/01/2017;0;0;1;1;0;x
Eibar;Deportivo;2016/2017;28/01/2017;3;1;3;0;2;1
Leganés;Celta;2016/2017;28/01/2017;0;2;0;3;2;2
Villarreal;Granada;2016/2017;28/01/2017;2;0;3;0;2;1
Athletic;Sporting Gijón;2016/2017;29/01/2017;2;1;3;0;1;1
Betis;Barcelona;2016/2017;29/01/2017;1;1;1;1;0;x
Espanyol;Sevilla;2016/2017;29/01/2017;3;1;3;0;2;1
Real Madrid;R. Sociedad;2016/2017;29/01/2017;3;0;3;0;3;1
Las Palmas;Valencia;2016/2017;30/01/2017;3;1;3;0;2;1
Atlético;Leganés;2016/2017;04/02/2017;2;0;3;0;2;1
Barcelona;Athletic;2016/2017;04/02/2017;3;0;3;0;3;1
Málaga;Espanyol;2016/2017;04/02/2017;0;1;0;3;1;2
Valencia;Eibar;2016/2017;04/02/2017;0;4;0;3;4;2
Sevilla;Villarreal;2016/2017;05/02/2017;0;0;1;1;0;x
R. Sociedad;Osasuna;2016/2017;05/02/2017;3;2;3;0;1;1
Sporting Gijón;Alavés;2016/2017;05/02/2017;2;4;0;3;2;2
Granada;Las Palmas;2016/2017;06/02/2017;1;0;3;0;1;1
Espanyol;R. Sociedad;2016/2017;10/02/2017;1;2;0;3;1;2
Alavés;Barcelona;2016/2017;11/02/2017;0;6;0;3;6;2
Athletic;Deportivo;2016/2017;11/02/2017;2;1;3;0;1;1
Betis;Valencia;2016/2017;11/02/2017;0;0;1;1;0;x
Osasuna;Real Madrid;2016/2017;11/02/2017;1;3;0;3;2;2
Atlético;Celta;2016/2017;12/02/2017;3;2;3;0;1;1
Las Palmas;Sevilla;2016/2017;12/02/2017;0;1;0;3;1;2
Leganés;Sporting Gijón;2016/2017;12/02/2017;0;2;0;3;2;2
Villarreal;Málaga;2016/2017;12/02/2017;1;1;1;1;0;x
Eibar;Granada;2016/2017;13/02/2017;4;0;3;0;4;1
Granada;Betis;2016/2017;17/02/2017;4;1;3;0;3;1
Deportivo;Alavés;2016/2017;18/02/2017;0;1;0;3;1;2
Real Madrid;Espanyol;2016/2017;18/02/2017;2;0;3;0;2;1
Sevilla;Eibar;2016/2017;18/02/2017;2;0;3;0;2;1
Sporting Gijón;Atlético;2016/2017;18/02/2017;1;4;0;3;3;2
Barcelona;Leganés;2016/2017;19/02/2017;2;1;3;0;1;1
Celta;Osasuna;2016/2017;19/02/2017;3;0;3;0;3;1
R. Sociedad;Villarreal;2016/2017;19/02/2017;0;1;0;3;1;2
Valencia;Athletic;2016/2017;19/02/2017;2;0;3;0;2;1
Málaga;Las Palmas;2016/2017;20/02/2017;2;1;3;0;1;1
Valencia;Real Madrid;2016/2017;22/02/2017;2;1;3;0;1;1
Las Palmas;R. Sociedad;2016/2017;24/02/2017;0;1;0;3;1;2
Alavés;Valencia;2016/2017;25/02/2017;2;1;3;0;1;1
Betis;Sevilla;2016/2017;25/02/2017;1;2;0;3;1;2
Eibar;Málaga;2016/2017;25/02/2017;3;0;3;0;3;1
Leganés;Deportivo;2016/2017;25/02/2017;4;0;3;0;4;1
Athletic;Granada;2016/2017;26/02/2017;3;1;3;0;2;1
Atlético;Barcelona;2016/2017;26/02/2017;1;2;0;3;1;2
Espanyol;Osasuna;2016/2017;26/02/2017;3;0;3;0;3;1
Sporting Gijón;Celta;2016/2017;26/02/2017;1;1;1;1;0;x
Villarreal;Real Madrid;2016/2017;26/02/2017;2;3;0;3;1;2
Málaga;Betis;2016/2017;28/02/2017;1;2;0;3;1;2
R. Sociedad;Eibar;2016/2017;28/02/2017;2;2;1;1;0;x
Valencia;Leganés;2016/2017;28/02/2017;1;0;3;0;1;1
Barcelona;Sporting Gijón;2016/2017;01/03/2017;6;1;3;0;5;1
Celta;Espanyol;2016/2017;01/03/2017;2;2;1;1;0;x
Granada;Alavés;2016/2017;01/03/2017;2;1;3;0;1;1
Osasuna;Villarreal;2016/2017;01/03/2017;1;4;0;3;3;2
Real Madrid;Las Palmas;2016/2017;01/03/2017;3;3;1;1;0;x
Deportivo;Atlético;2016/2017;02/03/2017;1;1;1;1;0;x
Sevilla;Athletic;2016/2017;02/03/2017;1;0;3;0;1;1
Betis;R. Sociedad;2016/2017;03/03/2017;2;3;0;3;1;2
Barcelona;Celta;2016/2017;04/03/2017;5;0;3;0;5;1
Eibar;Real Madrid;2016/2017;04/03/2017;1;4;0;3;3;2
Leganés;Granada;2016/2017;04/03/2017;1;0;3;0;1;1
Villarreal;Espanyol;2016/2017;04/03/2017;2;0;3;0;2;1
Athletic;Málaga;2016/2017;05/03/2017;1;0;3;0;1;1
Atlético;Valencia;2016/2017;05/03/2017;3;0;3;0;3;1
Las Palmas;Osasuna;2016/2017;05/03/2017;5;2;3;0;3;1
Sporting Gijón;Deportivo;2016/2017;05/03/2017;0;1;0;3;1;2
Alavés;Sevilla;2016/2017;06/03/2017;1;1;1;1;0;x
Deportivo;Betis;2016/2017;08/03/2017;1;1;1;1;0;x
Espanyol;Las Palmas;2016/2017;10/03/2017;4;3;3;0;1;1
Granada;Atlético;2016/2017;11/03/2017;0;1;0;3;1;2
Málaga;Alavés;2016/2017;11/03/2017;1;2;0;3;1;2
Sevilla;Leganés;2016/2017;11/03/2017;1;1;1;1;0;x
Valencia;Sporting Gijón;2016/2017;11/03/2017;1;1;1;1;0;x
Celta;Villarreal;2016/2017;12/03/2017;0;1;0;3;1;2
Deportivo;Barcelona;2016/2017;12/03/2017;2;1;3;0;1;1
Real Madrid;Betis;2016/2017;12/03/2017;2;1;3;0;1;1
R. Sociedad;Athletic;2016/2017;12/03/2017;0;2;0;3;2;2
Osasuna;Eibar;2016/2017;13/03/2017;1;1;1;1;0;x
Las Palmas;Villarreal;2016/2017;17/03/2017;1;0;3;0;1;1
Alavés;R. Sociedad;2016/2017;18/03/2017;1;0;3;0;1;1
Athletic;Real Madrid;2016/2017;18/03/2017;1;2;0;3;1;2
Betis;Osasuna;2016/2017;18/03/2017;2;0;3;0;2;1
Eibar;Espanyol;2016/2017;18/03/2017;1;1;1;1;0;x
Atlético;Sevilla;2016/2017;19/03/2017;3;1;3;0;2;1
Barcelona;Valencia;2016/2017;19/03/2017;4;2;3;0;2;1
Deportivo;Celta;2016/2017;19/03/2017;0;1;0;3;1;2
Leganés;Málaga;2016/2017;19/03/2017;0;0;1;1;0;x
Sporting Gijón;Granada;2016/2017;19/03/2017;3;1;3;0;2;1
Espanyol;Betis;2016/2017;31/03/2017;2;1;3;0;1;1
Málaga;Atlético;2016/2017;01/04/2017;0;2;0;3;2;2
Osasuna;Athletic;2016/2017;01/04/2017;1;2;0;3;1;2
R. Sociedad;Leganés;2016/2017;01/04/2017;1;1;1;1;0;x
Villarreal;Eibar;2016/2017;01/04/2017;2;3;0;3;1;2
Granada;Barcelona;2016/2017;02/04/2017;1;4;0;3;3;2
Real Madrid;Alavés;2016/2017;02/04/2017;3;0;3;0;3;1
Sevilla;Sporting Gijón;2016/2017;02/04/2017;0;0;1;1;0;x
Valencia;Deportivo;2016/2017;02/04/2017;3;0;3;0;3;1
Celta;Las Palmas;2016/2017;03/04/2017;3;1;3;0;2;1
Athletic;Espanyol;2016/2017;04/04/2017;2;0;3;0;2;1
Atlético;R. Sociedad;2016/2017;04/04/2017;1;0;3;0;1;1
Betis;Villarreal;2016/2017;04/04/2017;0;1;0;3;1;2
Alavés;Osasuna;2016/2017;05/04/2017;0;1;0;3;1;2
Barcelona;Sevilla;2016/2017;05/04/2017;3;0;3;0;3;1
Deportivo;Granada;2016/2017;05/04/2017;0;0;1;1;0;x
Leganés;Real Madrid;2016/2017;05/04/2017;2;4;0;3;2;2
Sporting Gijón;Málaga;2016/2017;05/04/2017;0;1;0;3;1;2
Eibar;Las Palmas;2016/2017;06/04/2017;3;1;3;0;2;1
Valencia;Celta;2016/2017;06/04/2017;3;2;3;0;1;1
Villarreal;Athletic;2016/2017;07/04/2017;3;1;3;0;2;1
Espanyol;Alavés;2016/2017;08/04/2017;1;0;3;0;1;1
Málaga;Barcelona;2016/2017;08/04/2017;2;0;3;0;2;1
Real Madrid;Atlético;2016/2017;08/04/2017;1;1;1;1;0;x
Sevilla;Deportivo;2016/2017;08/04/2017;4;2;3;0;2;1
Celta;Eibar;2016/2017;09/04/2017;0;2;0;3;2;2
Granada;Valencia;2016/2017;09/04/2017;1;3;0;3;2;2
Las Palmas;Betis;2016/2017;09/04/2017;4;1;3;0;3;1
Osasuna;Leganés;2016/2017;09/04/2017;2;1;3;0;1;1
R. Sociedad;Sporting Gijón;2016/2017;10/04/2017;3;1;3;0;2;1
Athletic;Las Palmas;2016/2017;14/04/2017;5;1;3;0;4;1
Atlético;Osasuna;2016/2017;15/04/2017;3;0;3;0;3;1
Barcelona;R. Sociedad;2016/2017;15/04/2017;3;2;3;0;1;1
Deportivo;Málaga;2016/2017;15/04/2017;2;0;3;0;2;1
Sporting Gijón;Real Madrid;2016/2017;15/04/2017;2;3;0;3;1;2
Betis;Eibar;2016/2017;16/04/2017;2;0;3;0;2;1
Granada;Celta;2016/2017;16/04/2017;0;3;0;3;3;2
Leganés;Espanyol;2016/2017;16/04/2017;0;1;0;3;1;2
Valencia;Sevilla;2016/2017;16/04/2017;0;0;1;1;0;x
Alavés;Villarreal;2016/2017;17/04/2017;2;1;3;0;1;1
Sevilla;Granada;2016/2017;21/04/2017;2;0;3;0;2;1
Espanyol;Atlético;2016/2017;22/04/2017;0;1;0;3;1;2
Málaga;Valencia;2016/2017;22/04/2017;2;0;3;0;2;1
Osasuna;Sporting Gijón;2016/2017;22/04/2017;2;2;1;1;0;x
Villarreal;Leganés;2016/2017;22/04/2017;2;1;3;0;1;1
Celta;Betis;2016/2017;23/04/2017;0;1;0;3;1;2
Las Palmas;Alavés;2016/2017;23/04/2017;1;1;1;1;0;x
Real Madrid;Barcelona;2016/2017;23/04/2017;2;3;0;3;1;2
R. Sociedad;Deportivo;2016/2017;23/04/2017;1;0;3;0;1;1
Eibar;Athletic;2016/2017;24/04/2017;0;1;0;3;1;2
Atlético;Villarreal;2016/2017;25/04/2017;0;1;0;3;1;2
Granada;Málaga;2016/2017;25/04/2017;0;2;0;3;2;2
Sporting Gijón;Espanyol;2016/2017;25/04/2017;1;1;1;1;0;x
Barcelona;Osasuna;2016/2017;26/04/2017;7;1;3;0;6;1
Deportivo;Real Madrid;2016/2017;26/04/2017;2;6;0;3;4;2
Leganés;Las Palmas;2016/2017;26/04/2017;3;0;3;0;3;1
Valencia;R. Sociedad;2016/2017;26/04/2017;2;3;0;3;1;2
Alavés;Eibar;2016/2017;27/04/2017;0;0;1;1;0;x
Athletic;Betis;2016/2017;27/04/2017;2;1;3;0;1;1
Sevilla;Celta;2016/2017;27/04/2017;2;1;3;0;1;1
Villarreal;Sporting Gijón;2016/2017;28/04/2017;3;1;3;0;2;1
Espanyol;Barcelona;2016/2017;29/04/2017;0;3;0;3;3;2
Las Palmas;Atlético;2016/2017;29/04/2017;0;5;0;3;5;2
Real Madrid;Valencia;2016/2017;29/04/2017;2;1;3;0;1;1
R. Sociedad;Granada;2016/2017;29/04/2017;2;1;3;0;1;1
Betis;Alavés;2016/2017;30/04/2017;1;4;0;3;3;2
Celta;Athletic;2016/2017;30/04/2017;0;3;0;3;3;2
Eibar;Leganés;2016/2017;30/04/2017;2;0;3;0;2;1
Osasuna;Deportivo;2016/2017;30/04/2017;2;2;1;1;0;x
Málaga;Sevilla;2016/2017;01/05/2017;4;2;3;0;2;1
Sevilla;R. Sociedad;2016/2017;05/05/2017;1;1;1;1;0;x
Atlético;Eibar;2016/2017;06/05/2017;1;0;3;0;1;1
Barcelona;Villarreal;2016/2017;06/05/2017;4;1;3;0;3;1
Granada;Real Madrid;2016/2017;06/05/2017;0;4;0;3;4;2
Sporting Gijón;Las Palmas;2016/2017;06/05/2017;1;0;3;0;1;1
Alavés;Athletic;2016/2017;07/05/2017;1;0;3;0;1;1
Deportivo;Espanyol;2016/2017;07/05/2017;1;2;0;3;1;2
Málaga;Celta;2016/2017;07/05/2017;3;0;3;0;3;1
Valencia;Osasuna;2016/2017;07/05/2017;4;1;3;0;3;1
Leganés;Betis;2016/2017;08/05/2017;4;0;3;0;4;1
Espanyol;Valencia;2016/2017;13/05/2017;0;1;0;3;1;2
Osasuna;Granada;2016/2017;13/05/2017;2;1;3;0;1;1
Alavés;Celta;2016/2017;14/05/2017;3;1;3;0;2;1
Athletic;Leganés;2016/2017;14/05/2017;1;1;1;1;0;x
Betis;Atlético;2016/2017;14/05/2017;1;1;1;1;0;x
Eibar;Sporting Gijón;2016/2017;14/05/2017;0;1;0;3;1;2
Las Palmas;Barcelona;2016/2017;14/05/2017;1;4;0;3;3;2
Real Madrid;Sevilla;2016/2017;14/05/2017;4;1;3;0;3;1
R. Sociedad;Málaga;2016/2017;14/05/2017;2;2;1;1;0;x
Villarreal;Deportivo;2016/2017;14/05/2017;0;0;1;1;0;x
Celta;Real Madrid;2016/2017;17/05/2017;1;4;0;3;3;2
Granada;Espanyol;2016/2017;19/05/2017;1;2;0;3;1;2
Deportivo;Las Palmas;2016/2017;20/05/2017;3;0;3;0;3;1
Leganés;Alavés;2016/2017;20/05/2017;1;1;1;1;0;x
Sevilla;Osasuna;2016/2017;20/05/2017;5;0;3;0;5;1
Sporting Gijón;Betis;2016/2017;20/05/2017;2;2;1;1;0;x
Atlético;Athletic;2016/2017;21/05/2017;3;1;3;0;2;1
Barcelona;Eibar;2016/2017;21/05/2017;4;2;3;0;2;1
