EquipoLocal;EquipoVisitante;Temporada;Fecha;Goles_Locales;Goles_Visitantes;Puntos_locales;Puntos_Visitantes;Diferencia_Goles;Resultado
Barcelona;Eibar;2015/2016;25/10/2015;3;1;3;0;2;1
Las Palmas;Villarreal;2015/2016;25/10/2015;0;0;1;1;0;x
Levante;R. Sociedad;2015/2016;25/10/2015;0;4;0;3;4;2
Athletic;Sporting Gijón;2015/2016;26/10/2015;3;0;3;0;3;1
Deportivo;Atlético;2015/2016;30/10/2015;1;1;1;1;0;x
Getafe;Barcelona;2015/2016;31/10/2015;0;2;0;3;2;2
Real Madrid;Las Palmas;2015/2016;31/10/2015;3;1;3;0;2;1
R. Sociedad;Celta;2015/2016;31/10/2015;2;3;0;3;1;2
Valencia;Levante;2015/2016;31/10/2015;3;0;3;0;3;1
Villarreal;Sevilla;2015/2016;31/10/2015;2;1;3;0;1;1
Betis;Athletic;2015/2016;01/11/2015;1;3;0;3;2;2
Eibar;Rayo;2015/2016;01/11/2015;1;0;3;0;1;1
Espanyol;Granada;2015/2016;01/11/2015;1;1;1;1;0;x
Sporting Gijón;Málaga;2015/2016;01/11/2015;1;0;3;0;1;1
Las Palmas;R. Sociedad;2015/2016;06/11/2015;2;0;3;0;2;1
Celta;Valencia;2015/2016;07/11/2015;1;5;0;3;4;2
Eibar;Getafe;2015/2016;07/11/2015;3;1;3;0;2;1
Levante;Deportivo;2015/2016;07/11/2015;1;1;1;1;0;x
Málaga;Betis;2015/2016;07/11/2015;0;1;0;3;1;2
Rayo;Granada;2015/2016;07/11/2015;2;1;3;0;1;1
Athletic;Espanyol;2015/2016;08/11/2015;2;1;3;0;1;1
Atlético;Sporting Gijón;2015/2016;08/11/2015;1;0;3;0;1;1
Barcelona;Villarreal;2015/2016;08/11/2015;3;0;3;0;3;1
Sevilla;Real Madrid;2015/2016;08/11/2015;3;2;3;0;1;1
Espanyol;Málaga;2015/2016;21/11/2015;2;0;3;0;2;1
Deportivo;Celta;2015/2016;21/11/2015;2;0;3;0;2;1
Real Madrid;Barcelona;2015/2016;21/11/2015;0;4;0;3;4;2
R. Sociedad;Sevilla;2015/2016;21/11/2015;2;0;3;0;2;1
Valencia;Las Palmas;2015/2016;21/11/2015;1;1;1;1;0;x
Betis;Atlético;2015/2016;22/11/2015;0;1;0;3;1;2
Granada;Athletic;2015/2016;22/11/2015;2;0;3;0;2;1
Sporting Gijón;Levante;2015/2016;22/11/2015;0;3;0;3;3;2
Villarreal;Eibar;2015/2016;22/11/2015;1;1;1;1;0;x
Getafe;Rayo;2015/2016;23/11/2015;1;1;1;1;0;x
Levante;Betis;2015/2016;27/11/2015;0;1;0;3;1;2
Atlético;Espanyol;2015/2016;28/11/2015;1;0;3;0;1;1
Barcelona;R. Sociedad;2015/2016;28/11/2015;4;0;3;0;4;1
Celta;Sporting Gijón;2015/2016;28/11/2015;2;1;3;0;1;1
Las Palmas;Deportivo;2015/2016;28/11/2015;0;2;0;3;2;2
Málaga;Granada;2015/2016;28/11/2015;2;2;1;1;0;x
Eibar;Real Madrid;2015/2016;29/11/2015;0;2;0;3;2;2
Getafe;Villarreal;2015/2016;29/11/2015;2;0;3;0;2;1
Sevilla;Valencia;2015/2016;29/11/2015;1;0;3;0;1;1
Rayo;Athletic;2015/2016;29/11/2015;0;3;0;3;3;2
Betis;Celta;2015/2016;05/12/2015;1;1;1;1;0;x
Granada;Atlético;2015/2016;05/12/2015;0;2;0;3;2;2
Deportivo;Sevilla;2015/2016;05/12/2015;1;1;1;1;0;x
Real Madrid;Getafe;2015/2016;05/12/2015;4;1;3;0;3;1
Valencia;Barcelona;2015/2016;05/12/2015;1;1;1;1;0;x
Athletic;Málaga;2015/2016;06/12/2015;0;0;1;1;0;x
R. Sociedad;Eibar;2015/2016;06/12/2015;2;1;3;0;1;1
Sporting Gijón;Las Palmas;2015/2016;06/12/2015;3;1;3;0;2;1
Villarreal;Rayo;2015/2016;06/12/2015;2;1;3;0;1;1
Espanyol;Levante;2015/2016;07/12/2015;1;1;1;1;0;x
Getafe;R. Sociedad;2015/2016;11/12/2015;1;1;1;1;0;x
Barcelona;Deportivo;2015/2016;12/12/2015;2;2;1;1;0;x
Celta;Espanyol;2015/2016;12/12/2015;1;0;3;0;1;1
Las Palmas;Betis;2015/2016;12/12/2015;1;0;3;0;1;1
Levante;Granada;2015/2016;12/12/2015;1;2;0;3;1;2
Sevilla;Sporting Gijón;2015/2016;12/12/2015;2;0;3;0;2;1
Atlético;Athletic;2015/2016;13/12/2015;2;1;3;0;1;1
Eibar;Valencia;2015/2016;13/12/2015;1;1;1;1;0;x
Rayo;Málaga;2015/2016;13/12/2015;1;2;0;3;1;2
Villarreal;Real Madrid;2015/2016;13/12/2015;1;0;3;0;1;1
Betis;Sevilla;2015/2016;19/12/2015;0;0;1;1;0;x
Espanyol;Las Palmas;2015/2016;19/12/2015;1;0;3;0;1;1
Deportivo;Eibar;2015/2016;19/12/2015;2;0;3;0;2;1
Valencia;Getafe;2015/2016;19/12/2015;2;2;1;1;0;x
Athletic;Levante;2015/2016;20/12/2015;2;0;3;0;2;1
Granada;Celta;2015/2016;20/12/2015;0;2;0;3;2;2
Málaga;Atlético;2015/2016;20/12/2015;1;0;3;0;1;1
Real Madrid;Rayo;2015/2016;20/12/2015;10;2;3;0;8;1
R. Sociedad;Villarreal;2015/2016;20/12/2015;0;2;0;3;2;2
Barcelona;Betis;2015/2016;30/12/2015;4;0;3;0;4;1
Celta;Athletic;2015/2016;30/12/2015;0;1;0;3;1;2
Eibar;Sporting Gijón;2015/2016;30/12/2015;2;0;3;0;2;1
Getafe;Deportivo;2015/2016;30/12/2015;0;0;1;1;0;x
Las Palmas;Granada;2015/2016;30/12/2015;4;1;3;0;3;1
Levante;Málaga;2015/2016;30/12/2015;0;1;0;3;1;2
Real Madrid;R. Sociedad;2015/2016;30/12/2015;3;1;3;0;2;1
Sevilla;Espanyol;2015/2016;30/12/2015;2;0;3;0;2;1
Rayo;Atlético;2015/2016;30/12/2015;0;2;0;3;2;2
Villarreal;Valencia;2015/2016;31/12/2015;1;0;3;0;1;1
Atlético;Levante;2015/2016;02/01/2016;1;0;3;0;1;1
Espanyol;Barcelona;2015/2016;02/01/2016;0;0;1;1;0;x
Málaga;Celta;2015/2016;02/01/2016;2;0;3;0;2;1
Athletic;Las Palmas;2015/2016;03/01/2016;2;2;1;1;0;x
Betis;Eibar;2015/2016;03/01/2016;0;4;0;3;4;2
Granada;Sevilla;2015/2016;03/01/2016;2;1;3;0;1;1
Deportivo;Villarreal;2015/2016;03/01/2016;1;2;0;3;1;2
Valencia;Real Madrid;2015/2016;03/01/2016;2;2;1;1;0;x
Rayo;R. Sociedad;2015/2016;03/01/2016;2;2;1;1;0;x
Sporting Gijón;Getafe;2015/2016;04/01/2016;1;2;0;3;1;2
Barcelona;Granada;2015/2016;09/01/2016;4;0;3;0;4;1
Getafe;Betis;2015/2016;09/01/2016;1;0;3;0;1;1
Levante;Rayo;2015/2016;09/01/2016;2;1;3;0;1;1
Real Madrid;Deportivo;2015/2016;09/01/2016;5;0;3;0;5;1
Sevilla;Athletic;2015/2016;09/01/2016;2;0;3;0;2;1
Celta;Atlético;2015/2016;10/01/2016;0;2;0;3;2;2
Eibar;Espanyol;2015/2016;10/01/2016;2;1;3;0;1;1
Las Palmas;Málaga;2015/2016;10/01/2016;1;1;1;1;0;x
R. Sociedad;Valencia;2015/2016;10/01/2016;2;0;3;0;2;1
Villarreal;Sporting Gijón;2015/2016;10/01/2016;2;0;3;0;2;1
Celta;Levante;2015/2016;16/01/2016;4;3;3;0;1;1
Sevilla;Málaga;2015/2016;16/01/2016;2;1;3;0;1;1
R. Sociedad;Deportivo;2015/2016;16/01/2016;1;1;1;1;0;x
Villarreal;Betis;2015/2016;16/01/2016;0;0;1;1;0;x
Barcelona;Athletic;2015/2016;17/01/2016;6;0;3;0;6;1
