Provincias;Sexo;Nacionalidad;Rango de Edad;Periodo;Saldo Migratorio
Almería;Hombres;Española;De 40 a 44 años;2018;-30,00
Almería;Hombres;Española;De 40 a 44 años;2017;-38,00
Almería;Hombres;Española;De 40 a 44 años;2016;-34,90
Almería;Hombres;Española;De 40 a 44 años;2015;-30,14
Almería;Hombres;Española;De 40 a 44 años;2014;-40,75
Almería;Hombres;Española;De 40 a 44 años;2013;-35,03
Almería;Hombres;Española;De 40 a 44 años;2012;-17,03
Almería;Hombres;Española;De 40 a 44 años;2011;-15,76
Almería;Hombres;Española;De 40 a 44 años;2010;-14,94
Almería;Hombres;Española;De 45 a 49 años;2020;-38,00
Almería;Hombres;Española;De 45 a 49 años;2019;-22,00
Almería;Hombres;Española;De 45 a 49 años;2018;-19,00
Almería;Hombres;Española;De 45 a 49 años;2017;-30,00
Almería;Hombres;Española;De 45 a 49 años;2016;-25,47
Almería;Hombres;Española;De 45 a 49 años;2015;-24,16
Almería;Hombres;Española;De 45 a 49 años;2014;-22,65
Almería;Hombres;Española;De 45 a 49 años;2013;-31,07
Almería;Hombres;Española;De 45 a 49 años;2012;-12,18
Almería;Hombres;Española;De 45 a 49 años;2011;-18,73
Almería;Hombres;Española;De 45 a 49 años;2010;-4,92
Almería;Hombres;Española;De 50 a 54 años;2020;-28,00
Almería;Hombres;Española;De 50 a 54 años;2019;-20,00
Almería;Hombres;Española;De 50 a 54 años;2018;-34,00
Almería;Hombres;Española;De 50 a 54 años;2017;-22,00
Almería;Hombres;Española;De 50 a 54 años;2016;-19,48
Almería;Hombres;Española;De 50 a 54 años;2015;1,62
Almería;Hombres;Española;De 50 a 54 años;2014;-9,91
Almería;Hombres;Española;De 50 a 54 años;2013;-8,30
Almería;Hombres;Española;De 50 a 54 años;2012;-4,77
Almería;Hombres;Española;De 50 a 54 años;2011;-2,20
Almería;Hombres;Española;De 50 a 54 años;2010;-1,75
Almería;Hombres;Española;De 55 a 59 años;2020;-6,00
Almería;Hombres;Española;De 55 a 59 años;2019;-1,00
Almería;Hombres;Española;De 55 a 59 años;2018;-20,00
Almería;Hombres;Española;De 55 a 59 años;2017;-8,00
Almería;Hombres;Española;De 55 a 59 años;2016;-5,79
Almería;Hombres;Española;De 55 a 59 años;2015;-1,69
Almería;Hombres;Española;De 55 a 59 años;2014;-4,72
Almería;Hombres;Española;De 55 a 59 años;2013;-10,53
Almería;Hombres;Española;De 55 a 59 años;2012;-2,46
Almería;Hombres;Española;De 55 a 59 años;2011;-0,67
Almería;Hombres;Española;De 55 a 59 años;2010;-3,72
Almería;Hombres;Española;De 60 a 64 años;2020;3,00
Almería;Hombres;Española;De 60 a 64 años;2019;7,00
Almería;Hombres;Española;De 60 a 64 años;2018;-3,00
Almería;Hombres;Española;De 60 a 64 años;2017;0,00
Almería;Hombres;Española;De 60 a 64 años;2016;-4,68
Almería;Hombres;Española;De 60 a 64 años;2015;14,29
Almería;Hombres;Española;De 60 a 64 años;2014;-0,40
Almería;Hombres;Española;De 60 a 64 años;2013;1,37
Almería;Hombres;Española;De 60 a 64 años;2012;-0,75
Almería;Hombres;Española;De 60 a 64 años;2011;2,43
Almería;Hombres;Española;De 60 a 64 años;2010;6,29
Almería;Hombres;Española;De 65 a 69 años;2020;6,00
Almería;Hombres;Española;De 65 a 69 años;2019;8,00
Almería;Hombres;Española;De 65 a 69 años;2018;0,00
Almería;Hombres;Española;De 65 a 69 años;2017;2,00
Almería;Hombres;Española;De 65 a 69 años;2016;10,03
Almería;Hombres;Española;De 65 a 69 años;2015;6,00
Almería;Hombres;Española;De 65 a 69 años;2014;-4,64
Almería;Hombres;Española;De 65 a 69 años;2013;-0,42
Almería;Hombres;Española;De 65 a 69 años;2012;17,01
Almería;Hombres;Española;De 65 a 69 años;2011;8,30
Almería;Hombres;Española;De 65 a 69 años;2010;-9,74
Almería;Hombres;Española;De 70 a 74 años  ;2020;-1,00
Almería;Hombres;Española;De 70 a 74 años  ;2019;0,00
Almería;Hombres;Española;De 70 a 74 años  ;2018;8,00
Almería;Hombres;Española;De 70 a 74 años  ;2017;-4,00
Almería;Hombres;Española;De 70 a 74 años  ;2016;-2,20
Almería;Hombres;Española;De 70 a 74 años  ;2015;-0,67
Almería;Hombres;Española;De 70 a 74 años  ;2014;-0,34
Almería;Hombres;Española;De 70 a 74 años  ;2013;-1,50
Almería;Hombres;Española;De 70 a 74 años  ;2012;0,72
Almería;Hombres;Española;De 70 a 74 años  ;2011;0,31
Almería;Hombres;Española;De 70 a 74 años  ;2010;-0,69
Almería;Hombres;Española;De 75 a 79 años  ;2020;1,00
Almería;Hombres;Española;De 75 a 79 años  ;2019;-1,00
Almería;Hombres;Española;De 75 a 79 años  ;2018;3,00
Almería;Hombres;Española;De 75 a 79 años  ;2017;1,00
Almería;Hombres;Española;De 75 a 79 años  ;2016;-0,14
Almería;Hombres;Española;De 75 a 79 años  ;2015;0,98
Almería;Hombres;Española;De 75 a 79 años  ;2014;-0,25
Almería;Hombres;Española;De 75 a 79 años  ;2013;-2,25
Almería;Hombres;Española;De 75 a 79 años  ;2012;-5,35
Almería;Hombres;Española;De 75 a 79 años  ;2011;-1,56
Almería;Hombres;Española;De 75 a 79 años  ;2010;1,77
Almería;Hombres;Española;De 80 a 84 años  ;2020;-2,00
Almería;Hombres;Española;De 80 a 84 años  ;2019;4,00
Almería;Hombres;Española;De 80 a 84 años  ;2018;0,00
Almería;Hombres;Española;De 80 a 84 años  ;2017;-3,00
Almería;Hombres;Española;De 80 a 84 años  ;2016;4,61
Almería;Hombres;Española;De 80 a 84 años  ;2015;2,33
Almería;Hombres;Española;De 80 a 84 años  ;2014;-1,05
Almería;Hombres;Española;De 80 a 84 años  ;2013;0,93
Almería;Hombres;Española;De 80 a 84 años  ;2012;1,95
Almería;Hombres;Española;De 80 a 84 años  ;2011;1,66
Almería;Hombres;Española;De 80 a 84 años  ;2010;-3,38
Almería;Hombres;Española;De 85 a 89 años  ;2020;4,00
Almería;Hombres;Española;De 85 a 89 años  ;2019;-3,00
Almería;Hombres;Española;De 85 a 89 años  ;2018;0,00
Almería;Hombres;Española;De 85 a 89 años  ;2017;-1,00
Almería;Hombres;Española;De 85 a 89 años  ;2016;-1,04
Almería;Hombres;Española;De 85 a 89 años  ;2015;1,97
Almería;Hombres;Española;De 85 a 89 años  ;2014;-1,12
Almería;Hombres;Española;De 85 a 89 años  ;2013;1,01
Almería;Hombres;Española;De 85 a 89 años  ;2012;-0,11
Almería;Hombres;Española;De 85 a 89 años  ;2011;0,00
Almería;Hombres;Española;De 85 a 89 años  ;2010;-0,15
Almería;Hombres;Española;De 90 y más años;2020;1,00
Almería;Hombres;Española;De 90 y más años;2019;2,00
Almería;Hombres;Española;De 90 y más años;2018;2,00
Almería;Hombres;Española;De 90 y más años;2017;4,00
Almería;Hombres;Española;De 90 y más años;2016;0,00
Almería;Hombres;Española;De 90 y más años;2015;2,99
Almería;Hombres;Española;De 90 y más años;2014;0,00
Almería;Hombres;Española;De 90 y más años;2013;-1,10
Almería;Hombres;Española;De 90 y más años;2012;0,01
Almería;Hombres;Española;De 90 y más años;2011;0,00
Almería;Hombres;Española;De 90 y más años;2010;0,00
Almería;Hombres;Extranjera;De 0 a 4 años;2020;153,00
Almería;Hombres;Extranjera;De 0 a 4 años;2019;234,00
Almería;Hombres;Extranjera;De 0 a 4 años;2018;212,00
Almería;Hombres;Extranjera;De 0 a 4 años;2017;171,00
Almería;Hombres;Extranjera;De 0 a 4 años;2016;77,37
Almería;Hombres;Extranjera;De 0 a 4 años;2015;94,42
Almería;Hombres;Extranjera;De 0 a 4 años;2014;69,95
Almería;Hombres;Extranjera;De 0 a 4 años;2013;-53,26
Almería;Hombres;Extranjera;De 0 a 4 años;2012;57,76
Almería;Hombres;Extranjera;De 0 a 4 años;2011;109,58
Almería;Hombres;Extranjera;De 0 a 4 años;2010;108,66
Almería;Hombres;Extranjera;De 5 a 9 años;2020;138,00
Almería;Hombres;Extranjera;De 5 a 9 años;2019;190,00
Almería;Hombres;Extranjera;De 5 a 9 años;2018;58,00
Almería;Hombres;Extranjera;De 5 a 9 años;2017;-29,00
Almería;Hombres;Extranjera;De 5 a 9 años;2016;-18,05
Almería;Hombres;Extranjera;De 5 a 9 años;2015;-6,18
Almería;Hombres;Extranjera;De 5 a 9 años;2014;-84,57
Almería;Hombres;Extranjera;De 5 a 9 años;2013;-73,78
Almería;Hombres;Extranjera;De 5 a 9 años;2012;29,27
Almería;Hombres;Extranjera;De 5 a 9 años;2011;62,83
Almería;Hombres;Extranjera;De 5 a 9 años;2010;90,50
Almería;Hombres;Extranjera;De 10 a 14 años  ;2020;116,00
Almería;Hombres;Extranjera;De 10 a 14 años  ;2019;146,00
Almería;Hombres;Extranjera;De 10 a 14 años  ;2018;116,00
Almería;Hombres;Extranjera;De 10 a 14 años  ;2017;6,00
Almería;Hombres;Extranjera;De 10 a 14 años  ;2016;41,98
