Equipo;Local/Visitante;Goles_Locales;Suma_Goles_Locales_Acumulados;Media_Goles_Locales;Goles_Visitantes;Suma_Goles_Visitantes_Acumulados;Media_Goles_Visitantes;Puntos_Locales;Media_Puntos_Locales;Puntos_Locales_Acumulados;Puntos_Visitantes;Media_Puntos_Visitantes;Puntos_Visitantes_Acumulados;Victorias_Locales_Acumuladas;Empates_Locales_Acumulados;Derrotas_Locales_Acumuladas;Victorias_Acumuladas_Visitantes;Empates_Acumulados_Visitantes;Derrotas_Acumuladas_Visitantes;Descenso;Clasificacion_Europea;Resultados;Fecha;Temporada
Deportivo;Visitante;0;0;0;2;6;1,05;0;0;0;3;1,16;7;0;0;0;2;0;0;No;No;2;24/09/2015;2015/2016
Valencia;Local;1;2;1,31;0;0;0;3;1,32;5;0;0;0;1;0;0;0;0;0;No;No;1;25/09/2015;2015/2016
Granada;Visitante;0;0;0;0;2;1,05;0;0;0;0;0,84;3;0;0;0;0;0;2;No;No;1;25/09/2015;2015/2016
Barcelona;Local;2;7;3,52;0;0;0;3;2,58;9;0;0;0;3;0;0;0;0;0;No;Si;1;26/09/2015;2015/2016
Las Palmas;Visitante;0;0;0;1;4;1,05;0;0;0;0;0,79;1;0;0;0;0;0;1;No;No;1;26/09/2015;2015/2016
Eibar;Local;1;3;1,37;0;0;0;1;1,53;4;0;0;0;0;1;0;0;0;0;No;No;x;26/09/2015;2015/2016
Celta;Visitante;0;0;0;1;5;1,16;0;0;0;1;1,16;7;0;0;0;0;1;0;No;Si;x;26/09/2015;2015/2016
Real Madrid;Local;0;6;3,68;0;0;0;1;2,58;7;0;0;0;0;1;0;0;0;0;No;Si;x;26/09/2015;2015/2016
Málaga;Visitante;0;0;0;0;0;0,63;0;0;0;1;0,95;1;0;0;0;0;1;0;No;No;x;26/09/2015;2015/2016
Sevilla;Local;3;4;2;0;0;0;3;2,26;3;0;0;0;1;0;0;0;0;0;No;No;1;26/09/2015;2015/2016
Rayo;Visitante;0;0;0;2;3;1,21;0;0;0;0;0,53;3;0;0;0;0;0;1;Si;No;1;26/09/2015;2015/2016
Villarreal;Local;1;7;1,37;0;0;0;3;2,11;9;0;0;0;3;0;0;0;0;0;No;Si;1;26/09/2015;2015/2016
Atlético;Visitante;0;0;0;0;5;1,58;0;0;0;0;2,1;6;0;0;0;0;0;1;No;Si;1;26/09/2015;2015/2016
Getafe;Local;3;5;1,21;0;0;0;3;1,32;6;0;0;0;2;0;0;0;0;0;Si;No;1;27/09/2015;2015/2016
Levante;Visitante;0;0;0;0;1;0,74;0;0;0;0;0,32;1;0;0;0;0;0;2;Si;No;1;27/09/2015;2015/2016
Deportivo;Local;3;5;1,32;0;0;0;3;1,05;4;0;0;0;1;0;0;0;0;0;No;No;1;27/09/2015;2015/2016
