Equipo;Local/Visitante;Goles_Locales;Suma_Goles_Locales_Acumulados;Media_Goles_Locales;Goles_Visitantes;Suma_Goles_Visitantes_Acumulados;Media_Goles_Visitantes;Puntos_Locales;Media_Puntos_Locales;Puntos_Locales_Acumulados;Puntos_Visitantes;Media_Puntos_Visitantes;Puntos_Visitantes_Acumulados;Victorias_Locales_Acumuladas;Empates_Locales_Acumulados;Derrotas_Locales_Acumuladas;Victorias_Acumuladas_Visitantes;Empates_Acumulados_Visitantes;Derrotas_Acumuladas_Visitantes;Descenso;Clasificacion_Europea;Resultados;Fecha;Temporada
Real Madrid;Local;0;49;3,68;0;0;0;0;2,58;34;0;0;0;0;0;1;0;0;0;No;Si;2;27/02/2016;2015/2016
Atlético;Visitante;0;0;0;1;21;1,58;0;0;0;3;2,1;31;0;0;0;2;0;0;No;Si;2;27/02/2016;2015/2016
R. Sociedad;Local;1;17;1,15;0;0;0;1;1,37;19;0;0;0;0;1;0;0;0;0;No;No;x;27/02/2016;2015/2016
Málaga;Visitante;0;0;0;1;8;0,63;0;0;0;1;0,95;13;0;0;0;0;1;0;No;No;x;27/02/2016;2015/2016
Sporting Gijón;Local;2;20;1,47;0;0;0;0;1,32;13;0;0;0;0;0;2;0;0;0;No;No;2;27/02/2016;2015/2016
Espanyol;Visitante;0;0;0;4;15;0,95;0;0;0;3;0,58;9;0;0;0;1;0;0;No;No;2;27/02/2016;2015/2016
Barcelona;Local;2;48;3,52;0;0;0;3;2,58;40;0;0;0;6;0;0;0;0;0;No;Si;1;28/02/2016;2015/2016
Sevilla;Visitante;0;0;0;1;9;0,68;0;0;0;0;0,47;8;0;0;0;0;0;1;No;No;1;28/02/2016;2015/2016
Deportivo;Local;0;19;1,32;0;0;0;0;1,05;16;0;0;0;0;0;1;0;0;0;No;No;2;28/02/2016;2015/2016
Granada;Visitante;0;0;0;1;14;1,05;0;0;0;3;0,84;12;0;0;0;1;0;0;No;No;2;28/02/2016;2015/2016
Valencia;Local;0;18;1,31;0;0;0;0;1,32;19;0;0;0;0;0;1;0;0;0;No;No;2;28/02/2016;2015/2016
Athletic;Visitante;0;0;0;3;17;1,21;0;0;0;3;1,32;20;0;0;0;1;0;0;No;Si;2;28/02/2016;2015/2016
Villarreal;Local;3;22;1,37;0;0;0;3;2,11;35;0;0;0;3;0;0;0;0;0;No;Si;1;28/02/2016;2015/2016
Levante;Visitante;0;0;0;0;9;0,74;0;0;0;0;0,32;5;0;0;0;0;0;6;Si;No;1;28/02/2016;2015/2016
Atlético;Local;3;18;1,74;0;0;0;3;2,53;30;0;0;0;1;0;0;0;0;0;No;Si;1;01/03/2016;2015/2016
R. Sociedad;Visitante;0;0;0;0;19;1,47;0;0;0;0;1,16;15;0;0;0;0;0;1;No;No;1;01/03/2016;2015/2016
Las Palmas;Local;4;17;1,31;0;0;0;3;1,53;21;0;0;0;1;0;0;0;0;0;No;No;1;01/03/2016;2015/2016
Getafe;Visitante;0;0;0;0;9;0,74;0;0;0;0;0,58;5;0;0;0;0;0;4;Si;No;1;01/03/2016;2015/2016
Athletic;Local;4;25;1,84;0;0;0;3;1,95;24;0;0;0;1;0;0;0;0;0;No;Si;1;02/03/2016;2015/2016
Deportivo;Visitante;0;0;0;1;15;1,05;0;0;0;0;1,16;16;0;0;0;0;0;2;No;No;1;02/03/2016;2015/2016
Celta;Local;0;23;1,52;0;0;0;1;1,74;22;0;0;0;0;1;0;0;0;0;No;Si;x;02/03/2016;2015/2016
Villarreal;Visitante;0;0;0;0;11;0,95;0;0;0;1;1,26;18;0;0;0;0;4;0;No;Si;x;02/03/2016;2015/2016
Levante;Local;1;16;1,21;0;0;0;0;1,37;15;0;0;0;0;0;1;0;0;0;Si;No;2;02/03/2016;2015/2016
Real Madrid;Visitante;0;0;0;3;25;2,11;0;0;0;3;2,16;23;0;0;0;1;0;0;No;Si;2;02/03/2016;2015/2016
Málaga;Local;1;16;1,37;0;0;0;0;1,58;19;0;0;0;0;0;1;0;0;0;No;No;2;02/03/2016;2015/2016
Valencia;Visitante;0;0;0;2;14;1,11;0;0;0;3;1;15;0;0;0;2;0;0;No;No;2;02/03/2016;2015/2016
Sevilla;Local;1;29;2;0;0;0;3;2,26;36;0;0;0;12;0;0;0;0;0;No;No;1;02/03/2016;2015/2016
Eibar;Visitante;0;0;0;0;19;1,21;0;0;0;0;0,74;12;0;0;0;0;0;4;No;No;1;02/03/2016;2015/2016
Espanyol;Local;0;11;1,16;0;0;0;0;1,68;19;0;0;0;0;0;1;0;0;0;No;No;2;03/03/2016;2015/2016
Betis;Visitante;0;0;0;3;13;0,89;0;0;0;3;1,11;19;0;0;0;1;0;0;No;No;2;03/03/2016;2015/2016
Granada;Local;2;15;1,37;0;0;0;3;1,21;14;0;0;0;1;0;0;0;0;0;No;No;1;03/03/2016;2015/2016
Sporting Gijón;Visitante;0;0;0;0;10;0,63;0;0;0;0;0,74;11;0;0;0;0;0;1;No;No;1;03/03/2016;2015/2016
Rayo;Local;1;19;1,53;0;0;0;0;1,47;18;0;0;0;0;0;1;0;0;0;Si;No;2;03/03/2016;2015/2016
Barcelona;Visitante;0;0;0;5;26;2,37;0;0;0;3;2,21;29;0;0;0;5;0;0;No;Si;2;03/03/2016;2015/2016
Getafe;Local;1;18;1,21;0;0;0;1;1,32;22;0;0;0;0;1;0;0;0;0;Si;No;x;05/03/2016;2015/2016
Sevilla;Visitante;0;0;0;1;10;0,68;0;0;0;1;0,47;9;0;0;0;0;1;0;No;No;x;05/03/2016;2015/2016
Deportivo;Local;3;22;1,32;0;0;0;1;1,05;17;0;0;0;0;1;0;0;0;0;No;No;x;05/03/2016;2015/2016
Málaga;Visitante;0;0;0;3;11;0,63;0;0;0;1;0,95;14;0;0;0;0;2;0;No;No;x;05/03/2016;2015/2016
Real Madrid;Local;7;56;3,68;0;0;0;3;2,58;37;0;0;0;1;0;0;0;0;0;No;Si;1;05/03/2016;2015/2016
Celta;Visitante;0;0;0;1;17;1,16;0;0;0;0;1,16;20;0;0;0;0;0;1;No;Si;1;05/03/2016;2015/2016
Villarreal;Local;0;22;1,37;0;0;0;0;2,11;35;0;0;0;0;0;1;0;0;0;No;Si;2;05/03/2016;2015/2016
Las Palmas;Visitante;0;0;0;1;13;1,05;0;0;0;3;0,79;9;0;0;0;2;0;0;No;No;2;05/03/2016;2015/2016
Betis;Local;2;13;0,89;0;0;0;3;1,26;15;0;0;0;1;0;0;0;0;0;No;No;1;06/03/2016;2015/2016
Granada;Visitante;0;0;0;0;14;1,05;0;0;0;0;0,84;12;0;0;0;0;0;1;No;No;1;06/03/2016;2015/2016
Eibar;Local;0;21;1,37;0;0;0;0;1,53;24;0;0;0;0;0;2;0;0;0;No;No;2;06/03/2016;2015/2016
Barcelona;Visitante;0;0;0;4;30;2,37;0;0;0;3;2,21;32;0;0;0;6;0;0;No;Si;2;06/03/2016;2015/2016
R. Sociedad;Local;1;18;1,15;0;0;0;1;1,37;20;0;0;0;0;2;0;0;0;0;No;No;x;06/03/2016;2015/2016
Levante;Visitante;0;0;0;1;10;0,74;0;0;0;1;0,32;6;0;0;0;0;1;0;Si;No;x;06/03/2016;2015/2016
Sporting Gijón;Local;0;20;1,47;0;0;0;0;1,32;13;0;0;0;0;0;3;0;0;0;No;No;2;06/03/2016;2015/2016
Athletic;Visitante;0;0;0;2;19;1,21;0;0;0;3;1,32;23;0;0;0;1;0;0;No;Si;2;06/03/2016;2015/2016
Valencia;Local;1;19;1,31;0;0;0;0;1,32;19;0;0;0;0;0;2;0;0;0;No;No;2;06/03/2016;2015/2016
Atlético;Visitante;0;0;0;3;24;1,58;0;0;0;3;2,1;34;0;0;0;3;0;0;No;Si;2;06/03/2016;2015/2016
Espanyol;Local;2;13;1,16;0;0;0;3;1,68;22;0;0;0;1;0;0;0;0;0;No;No;1;07/03/2016;2015/2016
Rayo;Visitante;0;0;0;1;19;1,21;0;0;0;0;0,53;8;0;0;0;0;0;1;Si;No;1;07/03/2016;2015/2016
Málaga;Local;1;17;1,37;0;0;0;3;1,58;22;0;0;0;1;0;0;0;0;0;No;No;1;11/03/2016;2015/2016
Sporting Gijón;Visitante;0;0;0;0;10;0,63;0;0;0;0;0,74;11;0;0;0;0;0;2;No;No;1;11/03/2016;2015/2016
Atlético;Local;3;21;1,74;0;0;0;3;2,53;33;0;0;0;2;0;0;0;0;0;No;Si;1;12/03/2016;2015/2016
Deportivo;Visitante;0;0;0;0;15;1,05;0;0;0;0;1,16;16;0;0;0;0;0;3;No;No;1;12/03/2016;2015/2016
Barcelona;Local;6;54;3,52;0;0;0;3;2,58;43;0;0;0;7;0;0;0;0;0;No;Si;1;12/03/2016;2015/2016
Getafe;Visitante;0;0;0;0;9;0,74;0;0;0;0;0,58;5;0;0;0;0;0;5;Si;No;1;12/03/2016;2015/2016
Celta;Local;1;24;1,52;0;0;0;3;1,74;25;0;0;0;1;0;0;0;0;0;No;Si;1;12/03/2016;2015/2016
R. Sociedad;Visitante;0;0;0;0;19;1,47;0;0;0;0;1,16;15;0;0;0;0;0;2;No;No;1;12/03/2016;2015/2016
Rayo;Local;1;20;1,53;0;0;0;1;1,47;19;0;0;0;0;1;0;0;0;0;Si;No;x;12/03/2016;2015/2016
Eibar;Visitante;0;0;0;1;20;1,21;0;0;0;1;0,74;13;0;0;0;0;1;0;No;No;x;12/03/2016;2015/2016
Athletic;Local;3;28;1,84;0;0;0;3;1,95;27;0;0;0;2;0;0;0;0;0;No;Si;1;13/03/2016;2015/2016
Betis;Visitante;0;0;0;1;14;0,89;0;0;0;0;1,11;19;0;0;0;0;0;1;No;No;1;13/03/2016;2015/2016
Las Palmas;Local;1;18;1,31;0;0;0;0;1,53;21;0;0;0;0;0;1;0;0;0;No;No;2;13/03/2016;2015/2016
Real Madrid;Visitante;0;0;0;2;27;2,11;0;0;0;3;2,16;26;0;0;0;2;0;0;No;Si;2;13/03/2016;2015/2016
Levante;Local;1;17;1,21;0;0;0;3;1,37;18;0;0;0;1;0;0;0;0;0;Si;No;1;13/03/2016;2015/2016
Valencia;Visitante;0;0;0;0;14;1,11;0;0;0;0;1;15;0;0;0;0;0;1;No;No;1;13/03/2016;2015/2016
Sevilla;Local;4;33;2;0;0;0;3;2,26;39;0;0;0;13;0;0;0;0;0;No;No;1;13/03/2016;2015/2016
Villarreal;Visitante;0;0;0;2;13;0,95;0;0;0;0;1,26;18;0;0;0;0;0;1;No;Si;1;13/03/2016;2015/2016
Granada;Local;1;16;1,37;0;0;0;1;1,21;15;0;0;0;0;1;0;0;0;0;No;No;x;14/03/2016;2015/2016
Espanyol;Visitante;0;0;0;1;16;0,95;0;0;0;1;0,58;10;0;0;0;0;1;0;No;No;x;14/03/2016;2015/2016
Getafe;Local;1;19;1,21;0;0;0;1;1,32;23;0;0;0;0;2;0;0;0;0;Si;No;x;18/03/2016;2015/2016
Eibar;Visitante;0;0;0;1;21;1,21;0;0;0;1;0,74;14;0;0;0;0;2;0;No;No;x;18/03/2016;2015/2016
Betis;Local;0;13;0,89;0;0;0;0;1,26;15;0;0;0;0;0;1;0;0;0;No;No;2;19/03/2016;2015/2016
Málaga;Visitante;0;0;0;1;12;0,63;0;0;0;3;0,95;17;0;0;0;1;0;0;No;No;2;19/03/2016;2015/2016
Granada;Local;2;18;1,37;0;0;0;1;1,21;16;0;0;0;0;2;0;0;0;0;No;No;x;19/03/2016;2015/2016
Rayo;Visitante;0;0;0;2;21;1,21;0;0;0;1;0,53;9;0;0;0;0;1;0;Si;No;x;19/03/2016;2015/2016
Deportivo;Local;2;24;1,32;0;0;0;3;1,05;20;0;0;0;1;0;0;0;0;0;No;No;1;19/03/2016;2015/2016
Levante;Visitante;0;0;0;1;11;0,74;0;0;0;0;0,32;6;0;0;0;0;0;1;Si;No;1;19/03/2016;2015/2016
R. Sociedad;Local;0;18;1,15;0;0;0;0;1,37;20;0;0;0;0;0;1;0;0;0;No;No;2;19/03/2016;2015/2016
Las Palmas;Visitante;0;0;0;1;14;1,05;0;0;0;3;0,79;12;0;0;0;3;0;0;No;No;2;19/03/2016;2015/2016
Sporting Gijón;Local;2;22;1,47;0;0;0;3;1,32;16;0;0;0;1;0;0;0;0;0;No;No;1;19/03/2016;2015/2016
Atlético;Visitante;0;0;0;1;25;1,58;0;0;0;0;2,1;34;0;0;0;0;0;1;No;Si;1;19/03/2016;2015/2016
Espanyol;Local;2;15;1,16;0;0;0;3;1,68;25;0;0;0;2;0;0;0;0;0;No;No;1;20/03/2016;2015/2016
Athletic;Visitante;0;0;0;1;20;1,21;0;0;0;0;1,32;23;0;0;0;0;0;1;No;Si;1;20/03/2016;2015/2016
Real Madrid;Local;4;60;3,68;0;0;0;3;2,58;40;0;0;0;2;0;0;0;0;0;No;Si;1;20/03/2016;2015/2016
Sevilla;Visitante;0;0;0;0;10;0,68;0;0;0;0;0,47;9;0;0;0;0;0;1;No;No;1;20/03/2016;2015/2016
Valencia;Local;0;19;1,31;0;0;0;0;1,32;19;0;0;0;0;0;3;0;0;0;No;No;2;20/03/2016;2015/2016
Celta;Visitante;0;0;0;2;19;1,16;0;0;0;3;1,16;23;0;0;0;1;0;0;No;Si;2;20/03/2016;2015/2016
Villarreal;Local;2;24;1,37;0;0;0;1;2,11;36;0;0;0;0;1;0;0;0;0;No;Si;x;20/03/2016;2015/2016
Barcelona;Visitante;0;0;0;2;32;2,37;0;0;0;1;2,21;33;0;0;0;0;1;0;No;Si;x;20/03/2016;2015/2016
Rayo;Local;2;22;1,53;0;0;0;3;1,47;22;0;0;0;1;0;0;0;0;0;Si;No;1;01/04/2016;2015/2016
Getafe;Visitante;0;0;0;0;9;0,74;0;0;0;0;0,58;5;0;0;0;0;0;6;Si;No;1;01/04/2016;2015/2016
Atlético;Local;5;26;1,74;0;0;0;3;2,53;36;0;0;0;3;0;0;0;0;0;No;Si;1;02/04/2016;2015/2016
Betis;Visitante;0;0;0;1;15;0,89;0;0;0;0;1,11;19;0;0;0;0;0;2;No;No;1;02/04/2016;2015/2016
Barcelona;Local;1;55;3,52;0;0;0;0;2,58;43;0;0;0;0;0;1;0;0;0;No;Si;2;02/04/2016;2015/2016
Real Madrid;Visitante;0;0;0;2;29;2,11;0;0;0;3;2,16;29;0;0;0;3;0;0;No;Si;2;02/04/2016;2015/2016
Celta;Local;1;25;1,52;0;0;0;1;1,74;26;0;0;0;0;1;0;0;0;0;No;Si;x;02/04/2016;2015/2016
Deportivo;Visitante;0;0;0;1;16;1,05;0;0;0;1;1,16;17;0;0;0;0;1;0;No;No;x;02/04/2016;2015/2016
Las Palmas;Local;2;20;1,31;0;0;0;3;1,53;24;0;0;0;1;0;0;0;0;0;No;No;1;02/04/2016;2015/2016
Valencia;Visitante;0;0;0;1;15;1,11;0;0;0;0;1;15;0;0;0;0;0;2;No;No;1;02/04/2016;2015/2016
Athletic;Local;1;29;1,84;0;0;0;1;1,95;28;0;0;0;0;1;0;0;0;0;No;Si;x;03/04/2016;2015/2016
Granada;Visitante;0;0;0;1;15;1,05;0;0;0;1;0,84;13;0;0;0;0;1;0;No;No;x;03/04/2016;2015/2016
Eibar;Local;1;22;1,37;0;0;0;0;1,53;24;0;0;0;0;0;3;0;0;0;No;No;2;03/04/2016;2015/2016
Villarreal;Visitante;0;0;0;2;15;0,95;0;0;0;3;1,26;21;0;0;0;1;0;0;No;Si;2;03/04/2016;2015/2016
Málaga;Local;1;18;1,37;0;0;0;1;1,58;23;0;0;0;0;1;0;0;0;0;No;No;x;03/04/2016;2015/2016
Espanyol;Visitante;0;0;0;1;17;0,95;0;0;0;1;0,58;11;0;0;0;0;2;0;No;No;x;03/04/2016;2015/2016
Sevilla;Local;1;34;2;0;0;0;0;2,26;39;0;0;0;0;0;1;0;0;0;No;No;2;03/04/2016;2015/2016
R. Sociedad;Visitante;0;0;0;2;21;1,47;0;0;0;3;1,16;18;0;0;0;1;0;0;No;No;2;03/04/2016;2015/2016
Levante;Local;0;17;1,21;0;0;0;1;1,37;19;0;0;0;0;1;0;0;0;0;Si;No;x;04/04/2016;2015/2016
Sporting Gijón;Visitante;0;0;0;0;10;0,63;0;0;0;1;0,74;12;0;0;0;0;1;0;No;No;x;04/04/2016;2015/2016
Granada;Local;0;18;1,37;0;0;0;1;1,21;17;0;0;0;0;3;0;0;0;0;No;No;x;08/04/2016;2015/2016
Málaga;Visitante;0;0;0;0;12;0,63;0;0;0;1;0,95;18;0;0;0;0;1;0;No;No;x;08/04/2016;2015/2016
Betis;Local;1;14;0,89;0;0;0;3;1,26;18;0;0;0;1;0;0;0;0;0;No;No;1;09/04/2016;2015/2016
Levante;Visitante;0;0;0;0;11;0,74;0;0;0;0;0,32;6;0;0;0;0;0;2;Si;No;1;09/04/2016;2015/2016
Espanyol;Local;1;16;1,16;0;0;0;0;1,68;25;0;0;0;0;0;1;0;0;0;No;No;2;09/04/2016;2015/2016
Atlético;Visitante;0;0;0;3;28;1,58;0;0;0;3;2,1;37;0;0;0;1;0;0;No;Si;2;09/04/2016;2015/2016
Real Madrid;Local;4;64;3,68;0;0;0;3;2,58;43;0;0;0;3;0;0;0;0;0;No;Si;1;09/04/2016;2015/2016
Eibar;Visitante;0;0;0;0;21;1,21;0;0;0;0;0,74;14;0;0;0;0;0;1;No;No;1;09/04/2016;2015/2016
R. Sociedad;Local;1;19;1,15;0;0;0;3;1,37;23;0;0;0;1;0;0;0;0;0;No;No;1;09/04/2016;2015/2016
Barcelona;Visitante;0;0;0;0;32;2,37;0;0;0;0;2,21;33;0;0;0;0;0;1;No;Si;1;09/04/2016;2015/2016
Athletic;Local;1;30;1,84;0;0;0;3;1,95;31;0;0;0;1;0;0;0;0;0;No;Si;1;10/04/2016;2015/2016
Rayo;Visitante;0;0;0;0;21;1,21;0;0;0;0;0,53;9;0;0;0;0;0;1;Si;No;1;10/04/2016;2015/2016
Sporting Gijón;Local;0;22;1,47;0;0;0;0;1,32;16;0;0;0;0;0;1;0;0;0;No;No;2;10/04/2016;2015/2016
Celta;Visitante;0;0;0;1;20;1,16;0;0;0;3;1,16;26;0;0;0;2;0;0;No;Si;2;10/04/2016;2015/2016
Valencia;Local;2;21;1,31;0;0;0;3;1,32;22;0;0;0;1;0;0;0;0;0;No;No;1;10/04/2016;2015/2016
Sevilla;Visitante;0;0;0;1;11;0,68;0;0;0;0;0,47;9;0;0;0;0;0;2;No;No;1;10/04/2016;2015/2016
Villarreal;Local;2;26;1,37;0;0;0;3;2,11;39;0;0;0;1;0;0;0;0;0;No;Si;1;10/04/2016;2015/2016
Getafe;Visitante;0;0;0;0;9;0,74;0;0;0;0;0,58;5;0;0;0;0;0;7;Si;No;1;10/04/2016;2015/2016
Deportivo;Local;1;25;1,32;0;0;0;0;1,05;20;0;0;0;0;0;1;0;0;0;No;No;2;11/04/2016;2015/2016
Las Palmas;Visitante;0;0;0;3;17;1,05;0;0;0;3;0,79;15;0;0;0;4;0;0;No;No;2;11/04/2016;2015/2016
Levante;Local;2;19;1,21;0;0;0;3;1,37;22;0;0;0;1;0;0;0;0;0;Si;No;1;15/04/2016;2015/2016
Espanyol;Visitante;0;0;0;1;18;0,95;0;0;0;0;0,58;11;0;0;0;0;0;1;No;No;1;15/04/2016;2015/2016
Celta;Local;1;26;1,52;0;0;0;1;1,74;27;0;0;0;0;2;0;0;0;0;No;Si;x;16/04/2016;2015/2016
Betis;Visitante;0;0;0;1;16;0,89;0;0;0;1;1,11;20;0;0;0;0;1;0;No;No;x;16/04/2016;2015/2016
Eibar;Local;2;24;1,37;0;0;0;3;1,53;27;0;0;0;1;0;0;0;0;0;No;No;1;16/04/2016;2015/2016
R. Sociedad;Visitante;0;0;0;1;22;1,47;0;0;0;0;1,16;18;0;0;0;0;0;1;No;No;1;16/04/2016;2015/2016
Getafe;Local;1;20;1,21;0;0;0;0;1,32;23;0;0;0;0;0;1;0;0;0;Si;No;2;16/04/2016;2015/2016
Real Madrid;Visitante;0;0;0;5;34;2,11;0;0;0;3;2,16;32;0;0;0;4;0;0;No;Si;2;16/04/2016;2015/2016
Las Palmas;Local;1;21;1,31;0;0;0;1;1,53;25;0;0;0;0;1;0;0;0;0;No;No;x;16/04/2016;2015/2016
Sporting Gijón;Visitante;0;0;0;1;11;0,63;0;0;0;1;0,74;13;0;0;0;0;2;0;No;No;x;16/04/2016;2015/2016
Atlético;Local;3;29;1,74;0;0;0;3;2,53;39;0;0;0;4;0;0;0;0;0;No;Si;1;17/04/2016;2015/2016
Granada;Visitante;0;0;0;0;15;1,05;0;0;0;0;0,84;13;0;0;0;0;0;1;No;No;1;17/04/2016;2015/2016
Barcelona;Local;1;56;3,52;0;0;0;0;2,58;43;0;0;0;0;0;2;0;0;0;No;Si;2;17/04/2016;2015/2016
Valencia;Visitante;0;0;0;2;17;1,11;0;0;0;3;1;18;0;0;0;1;0;0;No;No;2;17/04/2016;2015/2016
Málaga;Local;0;18;1,37;0;0;0;0;1,58;23;0;0;0;0;0;1;0;0;0;No;No;2;17/04/2016;2015/2016
Athletic;Visitante;0;0;0;1;21;1,21;0;0;0;3;1,32;26;0;0;0;1;0;0;No;Si;2;17/04/2016;2015/2016
Sevilla;Local;1;35;2;0;0;0;1;2,26;40;0;0;0;0;1;0;0;0;0;No;No;x;17/04/2016;2015/2016
Deportivo;Visitante;0;0;0;1;17;1,05;0;0;0;1;1,16;18;0;0;0;0;2;0;No;No;x;17/04/2016;2015/2016
Rayo;Local;2;24;1,53;0;0;0;3;1,47;25;0;0;0;2;0;0;0;0;0;Si;No;1;17/04/2016;2015/2016
Villarreal;Visitante;0;0;0;1;16;0,95;0;0;0;0;1,26;21;0;0;0;0;0;1;No;Si;1;17/04/2016;2015/2016
Betis;Local;1;15;0,89;0;0;0;3;1,26;21;0;0;0;2;0;0;0;0;0;No;No;1;19/04/2016;2015/2016
Las Palmas;Visitante;0;0;0;0;17;1,05;0;0;0;0;0,79;15;0;0;0;0;0;1;No;No;1;19/04/2016;2015/2016
Espanyol;Local;1;17;1,16;0;0;0;1;1,68;26;0;0;0;0;1;0;0;0;0;No;No;x;19/04/2016;2015/2016
Celta;Visitante;0;0;0;1;21;1,16;0;0;0;1;1,16;27;0;0;0;0;1;0;No;Si;x;19/04/2016;2015/2016
Athletic;Local;0;30;1,84;0;0;0;0;1,95;31;0;0;0;0;0;1;0;0;0;No;Si;2;20/04/2016;2015/2016
Atlético;Visitante;0;0;0;1;29;1,58;0;0;0;3;2,1;40;0;0;0;2;0;0;No;Si;2;20/04/2016;2015/2016
Deportivo;Local;0;25;1,32;0;0;0;0;1,05;20;0;0;0;0;0;2;0;0;0;No;No;2;20/04/2016;2015/2016
Barcelona;Visitante;0;0;0;8;40;2,37;0;0;0;3;2,21;36;0;0;0;1;0;0;No;Si;2;20/04/2016;2015/2016
Málaga;Local;1;19;1,37;0;0;0;1;1,58;24;0;0;0;0;1;0;0;0;0;No;No;x;20/04/2016;2015/2016
Rayo;Visitante;0;0;0;1;22;1,21;0;0;0;1;0,53;10;0;0;0;0;1;0;Si;No;x;20/04/2016;2015/2016
Real Madrid;Local;3;67;3,68;0;0;0;3;2,58;46;0;0;0;4;0;0;0;0;0;No;Si;1;20/04/2016;2015/2016
Villarreal;Visitante;0;0;0;0;16;0,95;0;0;0;0;1,26;21;0;0;0;0;0;2;No;Si;1;20/04/2016;2015/2016
Sporting Gijón;Local;2;24;1,47;0;0;0;3;1,32;19;0;0;0;1;0;0;0;0;0;No;No;1;20/04/2016;2015/2016
Sevilla;Visitante;0;0;0;1;12;0,68;0;0;0;0;0,47;9;0;0;0;0;0;3;No;No;1;20/04/2016;2015/2016
Valencia;Local;4;25;1,31;0;0;0;3;1,32;25;0;0;0;2;0;0;0;0;0;No;No;1;20/04/2016;2015/2016
Eibar;Visitante;0;0;0;0;21;1,21;0;0;0;0;0,74;14;0;0;0;0;0;2;No;No;1;20/04/2016;2015/2016
Granada;Local;5;23;1,37;0;0;0;3;1,21;20;0;0;0;1;0;0;0;0;0;No;No;1;21/04/2016;2015/2016
Levante;Visitante;0;0;0;1;12;0,74;0;0;0;0;0,32;6;0;0;0;0;0;3;Si;No;1;21/04/2016;2015/2016
R. Sociedad;Local;1;20;1,15;0;0;0;0;1,37;23;0;0;0;0;0;1;0;0;0;No;No;2;21/04/2016;2015/2016
Getafe;Visitante;0;0;0;2;11;0,74;0;0;0;3;0,58;8;0;0;0;1;0;0;Si;No;2;21/04/2016;2015/2016
Las Palmas;Local;4;25;1,31;0;0;0;3;1,53;28;0;0;0;1;0;0;0;0;0;No;No;1;22/04/2016;2015/2016
Espanyol;Visitante;0;0;0;0;18;0,95;0;0;0;0;0,58;11;0;0;0;0;0;2;No;No;1;22/04/2016;2015/2016
Atlético;Local;1;30;1,74;0;0;0;3;2,53;42;0;0;0;5;0;0;0;0;0;No;Si;1;23/04/2016;2015/2016
Málaga;Visitante;0;0;0;0;12;0,63;0;0;0;0;0,95;18;0;0;0;0;0;1;No;No;1;23/04/2016;2015/2016
Barcelona;Local;6;62;3,52;0;0;0;3;2,58;46;0;0;0;1;0;0;0;0;0;No;Si;1;23/04/2016;2015/2016
Sporting Gijón;Visitante;0;0;0;0;11;0,63;0;0;0;0;0,74;13;0;0;0;0;0;1;No;No;1;23/04/2016;2015/2016
Eibar;Local;1;25;1,37;0;0;0;1;1,53;28;0;0;0;0;1;0;0;0;0;No;No;x;23/04/2016;2015/2016
Deportivo;Visitante;0;0;0;1;18;1,05;0;0;0;1;1,16;19;0;0;0;0;3;0;No;No;x;23/04/2016;2015/2016
Rayo;Local;2;26;1,53;0;0;0;0;1,47;25;0;0;0;0;0;1;0;0;0;Si;No;2;23/04/2016;2015/2016
Real Madrid;Visitante;0;0;0;3;37;2,11;0;0;0;3;2,16;35;0;0;0;5;0;0;No;Si;2;23/04/2016;2015/2016
Getafe;Local;2;22;1,21;0;0;0;1;1,32;24;0;0;0;0;1;0;0;0;0;Si;No;x;24/04/2016;2015/2016
Valencia;Visitante;0;0;0;2;19;1,11;0;0;0;1;1;19;0;0;0;0;1;0;No;No;x;24/04/2016;2015/2016
Levante;Local;2;21;1,21;0;0;0;1;1,37;23;0;0;0;0;1;0;0;0;0;Si;No;x;24/04/2016;2015/2016
Athletic;Visitante;0;0;0;2;23;1,21;0;0;0;1;1,32;27;0;0;0;0;1;0;No;Si;x;24/04/2016;2015/2016
Sevilla;Local;2;37;2;0;0;0;3;2,26;43;0;0;0;1;0;0;0;0;0;No;No;1;24/04/2016;2015/2016
Betis;Visitante;0;0;0;0;16;0,89;0;0;0;0;1,11;20;0;0;0;0;0;1;No;No;1;24/04/2016;2015/2016
Villarreal;Local;0;26;1,37;0;0;0;1;2,11;40;0;0;0;0;2;0;0;0;0;No;Si;x;24/04/2016;2015/2016
R. Sociedad;Visitante;0;0;0;0;22;1,47;0;0;0;1;1,16;19;0;0;0;0;1;0;No;No;x;24/04/2016;2015/2016
Celta;Local;2;28;1,52;0;0;0;3;1,74;30;0;0;0;1;0;0;0;0;0;No;Si;1;25/04/2016;2015/2016
Granada;Visitante;0;0;0;1;16;1,05;0;0;0;0;0,84;13;0;0;0;0;0;2;No;No;1;25/04/2016;2015/2016
Sporting Gijón;Local;2;26;1,47;0;0;0;3;1,32;22;0;0;0;2;0;0;0;0;0;No;No;1;29/04/2016;2015/2016
Eibar;Visitante;0;0;0;0;21;1,21;0;0;0;0;0,74;14;0;0;0;0;0;3;No;No;1;29/04/2016;2015/2016
Atlético;Local;1;31;1,74;0;0;0;3;2,53;45;0;0;0;6;0;0;0;0;0;No;Si;1;30/04/2016;2015/2016
Rayo;Visitante;0;0;0;0;22;1,21;0;0;0;0;0,53;10;0;0;0;0;0;1;Si;No;1;30/04/2016;2015/2016
